id_recipe,prep_time,cook_time,total_time,freeze_time,cool_time,stand_time,chill_time,soak_time,marinate_time,additional_time,refrigerate_time,rest_time,active_time,bake_time,grill_time,rise_time,fry_time,other_time_time,roast_time,process_time,release_pressure_time
7970816,5 mins,15 mins,20 mins,,,,,,,,,,,,,,,,,,
7814346,15 mins,12 mins,47 mins,20 mins,,,,,,,,,,,,,,,,,
7560981,5 mins,15 mins,20 mins,,,,,,,,,,,,,,,,,,
7509612,20 mins,25 mins, 1 hr 15 mins,,30 mins,,,,,,,,,,,,,,,,
7510155,40 mins,15 mins,55 mins,,,,,,,,,,,,,,,,,,
7510184,10 mins,10 mins,20 mins,,,,,,,,,,,,,,,,,,
7546676,15 mins,20 mins,35 mins,,,,,,,,,,,,,,,,,,
7510181,10 mins,10 mins,20 mins,,,,,,,,,,,,,,,,,,
7511366,20 mins,35 mins, 5 hrs 40 mins,,,45 mins, 4 hrs,,,,,,,,,,,,,,
7510128,25 mins,25 mins,50 mins,,,,,,,,,,,,,,,,,,
7510058,10 mins,15 mins,25 mins,,,,,,,,,,,,,,,,,,
7511370,30 mins,8 mins,38 mins,,,,,,,,,,,,,,,,,,
7509518,15 mins,20 mins,35 mins,,,,,,,,,,,,,,,,,,
7509784,15 mins,6 mins,21 mins,,,,,,,,,,,,,,,,,,
7509875,25 mins,10 mins,45 mins,,20 mins,,,,,,,,,,,,,,,,
7510177,10 mins,15 mins,50 mins,,5 mins,,,20 mins,,,,,,,,,,,,,
7509535,20 mins,25 mins,45 mins,,,,,,,,,,,,,,,,,,
7509591,15 mins,20 mins, 1 hr 40 mins,,,, 1 hr 5 mins,,,,,,,,,,,,,,
7509380,10 mins,12 mins,22 mins,,,,,,,,,,,,,,,,,,
7511002,5 mins,10 mins,15 mins,,,,,,,,,,,,,,,,,,
7510925,12 mins,8 mins,20 mins,,,,,,,,,,,,,,,,,,
7501758,15 mins,15 mins, 1 hr,,,,,,30 mins,,,,,,,,,,,,
7501470,15 mins,25 mins,40 mins,,,,,,,,,,,,,,,,,,
7501307,5 mins,10 mins,15 mins,,,,,,,,,,,,,,,,,,
7500004,20 mins,20 mins, 2 hrs 10 mins, 1 hr,,30 mins,,,,,,,,,,,,,,,
7485060,10 mins,7 mins,17 mins,,,,,,,,,,,,,,,,,,
7484095,5 mins,10 mins,15 mins,,,,,,,,,,,,,,,,,,
7482374,3 mins,7 mins,10 mins,,,,,,,,,,,,,,,,,,
7373417,10 mins,10 mins,20 mins,,,,,,,,,,,,,,,,,,
7109940,3 mins,7 mins,10 mins,,,,,,,,,,,,,,,,,,
7108604,5 mins,,5 mins,,,,,,,,,,,,,,,,,,
7107103,4 mins,14 mins,18 mins,,,,,,,,,,,,,,,,,,
7105087,10 mins,8 mins,18 mins,,,,,,,,,,,,,,,,,,
7099327,10 mins,15 mins,25 mins,,,,,,,,,,,,,,,,,,
7098865,10 mins,12 mins,32 mins,10 mins,,,,,,,,,,,,,,,,,
6665737,10 mins,18 mins,28 mins,,,,,,,,,,,,,,,,,,
6666246,15 mins,14 mins,29 mins,,,,,,,,,,,,,,,,,,
6649943,10 mins,5 mins,15 mins,,,,,,,,,,,,,,,,,,
6664578,10 mins,7 mins,17 mins,,,,,,,,,,,,,,,,,,
6742867,10 mins,10 mins,50 mins,,,,,,30 mins,,,,,,,,,,,,
6663267,5 mins,11 mins,16 mins,,,,,,,,,,,,,,,,,,
6665005,20 mins,10 mins, 1 hr,,,,30 mins,,,,,,,,,,,,,,
7092123,5 mins,30 mins,35 mins,,,,,,,,,,,,,,,,,,
6738175,5 mins,12 mins,22 mins,,5 mins,,,,,,,,,,,,,,,,
6944824,5 mins,15 mins,20 mins,,,,,,,,,,,,,,,,,,
6889025,15 mins,8 mins,23 mins,,,,,,,,,,,,,,,,,,
6833509,45 mins,5 mins,50 mins,,,,,,,,,,,,,,,,,,
6750033,20 mins,15 mins,35 mins,,,,,,,,,,,,,,,,,,
6603055,10 mins, 1 hr 30 mins, 17 hrs 40 mins,,,,,,, 16 hrs,,,,,,,,,,,
6825902,4 mins,6 mins,10 mins,,,,,,,,,,,,,,,,,,
6738678,5 mins,5 mins,10 mins,,,,,,,,,,,,,,,,,,
6650966,5 mins,30 mins,35 mins,,,,,,,,,,,,,,,,,,
6737604,10 mins,20 mins,35 mins,,,,,,,5 mins,,,,,,,,,,,
6739121,10 mins,40 mins,50 mins,,,,,,,,,,,,,,,,,,
6591511,10 mins,10 mins,20 mins,,,,,,,,,,,,,,,,,,
6650074,10 mins,20 mins,30 mins,,,,,,,,,,,,,,,,,,
6572440,,15 mins,30 mins,,,,,,,15 mins,,,,,,,,,,,
6592570,10 mins,25 mins,45 mins,,,,,,,10 mins,,,,,,,,,,,
6664334,5 mins,20 mins,25 mins,,,,,,,,,,,,,,,,,,
6664543,10 mins,10 mins,20 mins,,,,,,,,,,,,,,,,,,
7970546,5 mins,10 mins,15 mins,,,,,,,,,,,,,,,,,,
7968655,20 mins, 2 hrs 25 mins, 2 hrs 45 mins,,,,,,,,,,,,,,,,,,
7969090,15 mins,50 mins, 1 hr 5 mins,,,,,,,,,,,,,,,,,,
7966165,5 mins,,5 mins,,,,,,,,,,,,,,,,,,
