,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:
0,6663850,15 mins, 1 hr, 1 hr 15 mins,12 ,1 9x5-inch loaf,12,229,9g,5g,51mg,223mg,35g,2g,14g,4g,4mg,20mg,1mg,204mg,4.6,"16,411",
1,6650456,15 mins, 1 hr 10 mins, 1 hr 35 mins,10 ,1 9x5-inch loaf,10,378,16g,9g,62mg,490mg,58g,3g,34g,5g,3mg,50mg,2mg,235mg,4.8,"1,430",10 mins
2,6649661,15 mins, 1 hr, 1 hr 15 mins,10 ,1 9x5-inch loaf,10,225,5g,3g,31mg,399mg,42g,1g,24g,3g,3mg,9mg,1mg,155mg,4.8,"2,659",
3,6649845,10 mins, 1 hr, 1 hr 20 mins,10 ,1 9x5-inch loaf,10,291,16g,8g,30mg,295mg,36g,1g,,3g,0mg,25mg,1mg,66mg,4.8,"10,289",10 mins
4,6649041,15 mins, 1 hr, 1 hr 50 mins,24 ,2 9x5-inch loaves,24,232,12g,6g,51mg,268mg,30g,1g,19g,3g,2mg,14mg,1mg,114mg,4.7,"2,730",35 mins
5,6740957,10 mins, 1 hr, 1 hr 10 mins,32 ,4 7x3-inch loaves,32,263,10g,5g,35mg,200mg,40g,1g,23g,4g,2mg,30mg,1mg,144mg,4.8,"5,911",
6,6738756,15 mins, 1 hr, 1 hr 15 mins,15 ,1 9x5-inch loaf,15,196,7g,1g,25mg,175mg,31g,1g,16g,3g,2mg,9mg,1mg,111mg,4.6,"1,701",
7,6650278,10 mins,35 mins,45 mins,12 ,12 muffins,12,270,12g,2g,16mg,208mg,40g,2g,20g,3g,3mg,9mg,1mg,145mg,4.6,"1,062",
8,6664700,20 mins,45 mins, 1 hr 5 mins,12 ,1 9x5-inch loaf pan,12,328,11g,2g,31mg,258mg,56g,3g,30g,5g,3mg,54mg,2mg,275mg,4.3,547,
9,6604094,15 mins,30 mins,55 mins,15 ,3 mini loaves,15,197,7g,4g,41mg,215mg,31g,1g,16g,3g,2mg,10mg,1mg,94mg,4.8,416,10 mins
10,6580888,10 mins,55 mins, 1 hr 5 mins,12 ,1 8x4-inch loaf,12,127,0g,,,100mg,30g,1g,15g,2g,2mg,26mg,1mg,98mg,4.4,936,
