,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Stand Time:,Yield:,Marinate Time:,Rest Time:,Additional Time:,Active Time:,Chill Time:,Grill Time:,Bake Time:
0,7970578,5 Ingredient Cheesy Taco Soup,5 mins,20 mins,25 mins,4 ,4,546,20g,7g,105mg,1728mg,47g,13g,7g,45g,16mg,151mg,7mg,1306mg,,,,,,,,,,,
1,7965584,Big Mac Casserole,15 mins,35 mins,55 mins,8 ,8,569,44g,12g,103mg,813mg,15g,2g,4g,28g,4mg,240mg,3mg,567mg,4.5,4,5 mins,,,,,,,,
2,7852451,Steak and Potato Foil Packets,15 mins,8 mins,23 mins,4 ,4,665,36g,17g,187mg,335mg,34g,5g,5g,50g,84mg,85mg,5mg,1406mg,5.0,1,,,,,,,,,
3,7853525,Rotel Tacos,5 mins,20 mins,25 mins,8 ,8,283,17g,8g,73mg,704mg,11g,1g,3g,22g,3mg,157mg,2mg,416mg,4.7,3,,8 tacos,,,,,,,
4,7693579,Sheet Pan Steak,10 mins, 1 hr 6 mins, 1 hr 46 mins,4 ,4,592,32g,5g,102mg,3931mg,39g,8g,6g,41g,24mg,120mg,6mg,1202mg,,,,,30 mins,,,,,,
5,7566818,Magic Meatball Crackers,,,,12 ,12,243,15g,5g,45mg,436mg,15g,1g,3g,12g,1mg,135mg,2mg,200mg,,,,24 meatball crackers,,,,,,,
6,7567649,Charcoal-Grilled Ribeye Steak,5 mins,6 mins,15 mins,1 ,1,924,65g,29g,265mg,957mg,1g,0g,0g,85g,0mg,50mg,8mg,962mg,4.5,2,,,,4 mins,,,,,
7,7568496,Air Fryer New York Strip Steak,5 mins,10 mins,55 mins,3 ,3,704,50g,20g,179mg,479mg,0g,0g,0g,59g,0mg,24mg,5mg,809mg,,,30 mins,,,10 mins,,,,,
8,7564469,Loaded Steak Fries,15 mins,40 mins, 2 hrs 55 mins,4 ,4,1079,61g,28g,201mg,1509mg,78g,6g,8g,54g,41mg,603mg,5mg,1921mg,5.0,2,,, 2 hrs,,,,,,
9,7563621,Crunchwrap Casserole,20 mins,40 mins, 1 hr 5 mins,8 ,8,657,40g,20g,130mg,1218mg,42g,4g,5g,33g,9mg,610mg,4mg,703mg,4.9,22,5 mins,,,,,,,,
10,7562950,Lazy Hazy Beef Chili,10 mins, 1 hr 10 mins, 1 hr 20 mins,8 ,8,622,33g,15g,137mg,1975mg,31g,8g,8g,46g,8mg,361mg,6mg,1222mg,5.0,2,,,,,,,,,
11,7550363,Ultimate Tomahawk Steak,5 mins,30 mins, 1 hr 20 mins,4 ,4,1079,76g,34g,310mg,1646mg,1g,0g,0g,99g,0mg,54mg,10mg,1125mg,,,30 mins,,,15 mins,,,,,
12,7552430,These Grilled Ribeye Steaks Are Juicy and Flavorful,5 mins,6 mins, 1 hr 16 mins,1 ,1,758,57g,21g,177mg,1100mg,6g,1g,1g,57g,14mg,49mg,6mg,738mg,,,30 mins,,30 mins,5 mins,,,,,
13,7509498,Air Fryer Crispy Beef and Broccoli,20 mins,10 mins,30 mins,4 ,4,521,22g,7g,104mg,245mg,45g,5g,12g,37g,138mg,105mg,4mg,889mg,4.4,5,,,,,,,,,
14,7509081,Bihari Kabab,30 mins,30 mins, 7 hrs,4 ,4,835,68g,17g,122mg,772mg,21g,5g,9g,37g,53mg,110mg,6mg,866mg,5.0,3,,, 6 hrs,,,,,,
15,7508957,Grilled Tomahawk Steak,15 mins,50 mins, 13 hrs 15 mins,6 ,6,649,47g,22g,182mg,424mg,4g,0g,2g,52g,1mg,38mg,5mg,627mg,4.5,4,,, 12 hrs,10 mins,,,,,
16,7505087,Tex-Mex Ground Beef and Potato Skillet,15 mins,15 mins,30 mins,4 ,4,199,11g,4g,35mg,661mg,14g,2g,2g,12g,43mg,154mg,2mg,452mg,4.6,5,,,,,,,,,
17,6665024,Grilled Tri-Tip,15 mins,35 mins, 1 hr 55 mins,8 ,8,366,21g,8g,121mg,3711mg,4g,1g,,38g,1mg,42mg,5mg,570mg,4.1,52,,,,, 1 hr 5 mins,,,,
18,6649266,Keema Aloo (Ground Beef and Potatoes),20 mins,55 mins, 1 hr 20 mins,8 ,8,362,18g,6g,74mg,687mg,23g,4g,5g,26g,29mg,74mg,6mg,816mg,4.6,322,,,,,5 mins,,,,
19,7108102,Perfect Pan Seared Filet Mignon,10 mins,10 mins,50 mins,2 ,2,1624,103g,44g,271mg,2285mg,108g,31g,,92g,,,,10671mg,,,30 mins,2 filet mignons,,,,,,,
20,6664323,John Wayne Casserole,15 mins,45 mins, 1 hr,12 ,12,538,41g,16g,92mg,781mg,21g,1g,,21g,,,,351mg,4.6,44,,1 9x13-inch casserole,,,,,,,
21,6598884,Corned Beef Roast,15 mins, 5 hrs, 5 hrs 15 mins,8 ,8,465,26g,9g,134mg,1560mg,28g,4g,2g,28g,31mg,34mg,4mg,851mg,4.4,68,,,,,,,,,
22,6568739,Slow Cooker Irish Stew,15 mins, 3 hrs 15 mins, 3 hrs 30 mins,8 ,8,334,15g,5g,52mg,365mg,30g,5g,7g,18g,27mg,57mg,3mg,937mg,3.8,5,,,,,,,,,
23,7097828,Sous Vide Tri Tip,,, 3 hrs 15 mins,4 ,4,226,16g,5g,15mg,3637mg,21g,2g,,3g,,,,223mg,1.0,1,,,,,,20 mins,,,
24,7097119,Sous Vide Beef Tenderloin Roast,, 2 hrs 40 mins, 10 hrs 50 mins,10 ,10,637,53g,22g,154mg,101mg,0g,0g,,37g,,,,610mg,,,,,,10 mins,,, 8 hrs,,
25,6666175,Slow Cooker Beef Massaman Curry,10 mins, 4 hrs 30 mins, 4 hrs 42 mins,8 ,8,832,66g,31g,123mg,523mg,40g,3g,,40g,,,,759mg,5.0,2,2 mins,,,,,,,,
26,6666358,Beef Ragu,20 mins, 3 hrs, 3 hrs 20 mins,4 ,4,935,54g,20g,164mg,1921mg,54g,7g,,48g,,,,1441mg,4.0,1,,,,,,,,,
27,7093286,Ground Beef Stroganoff Noodles,10 mins,30 mins,40 mins,4 ,4,598,44g,19g,137mg,1082mg,24g,2g,,26g,,,,566mg,4.8,41,,,,,,,,,
28,7092203,Sous Vide Beef Brisket with Ancho Chili Sauce,30 mins,2 days,2 days 55 mins,8 ,8,1239,104g,41g,264mg,1863mg,11g,2g,,59g,,,,1182mg,4.0,1,15 mins,,,,,,,10 mins,
29,6663843,Korean Barbecue-Style Meatballs,20 mins,30 mins, 1 hr 20 mins,4 ,4,558,39g,14g,97mg,2502mg,27g,1g,,23g,,,,397mg,4.7,23,,12 meatballs,,30 mins,,,,,
30,6741493,Pan-Fried Cube Steaks with Simple Pan Sauce,5 mins,10 mins,15 mins,4 ,4,393,25g,12g,127mg,307mg,4g,,,37g,,,,785mg,5.0,3,,4 cube steaks,,,,,,,
31,6745720,Crispy Garlic Crumb Steak,10 mins,5 mins,15 mins,2 ,2,666,45g,8g,138mg,265mg,20g,0g,,51g,,,,831mg,4.3,3,,,,,,,,,
32,6750847,Homemade Smash Burgers,15 mins,5 mins,20 mins,4 ,4,632,47g,22g,138mg,781mg,22g,1g,,29g,,,,369mg,5.0,13,,4 burgers,,,,,,,
33,6748210,Manti (Armenian Dumplings),40 mins,, 2 hrs 5 mins,6 ,6,257,15g,5g,65mg,1014mg,20g,1g,,11g,,,,220mg,5.0,3,,42 dumplings (manti),,30 mins,,,,,55 mins
34,6649349,Empanadas (Beef Turnovers),45 mins,50 mins, 1 hr 35 mins,4 ,,,,,,,,,,,,,,,4.8,156,,20 empanadas,,,,,,,
35,6664604,Slow Cooker Beef Stew,20 mins, 4 hrs, 4 hrs 20 mins,6 ,6,576,30g,12g,132mg,542mg,30g,4g,4g,44g,26mg,57mg,6mg,1187mg,4.5,"5,462",,6 servings,,,,,,,
36,6664508,Homemade Spaghetti Sauce with Ground Beef,10 mins, 1 hr 5 mins, 1 hr 15 mins,8 ,8,185,9g,4g,35mg,931mg,15g,4g,9g,12g,28mg,72mg,4mg,785mg,4.7,"1,436",,8 servings,,,,,,,
37,6664254,World's Best Lasagna,30 mins, 2 hrs 30 mins, 3 hrs 15 mins,12 ,12,448,21g,10g,82mg,1400mg,37g,4g,9g,30g,17mg,442mg,4mg,876mg,4.8,"20,198",,,,,15 mins,,,,
38,6663440,Easy Meatloaf,15 mins, 1 hr, 1 hr 15 mins,8 ,8,372,25g,10g,98mg,335mg,19g,1g,9g,18g,3mg,81mg,2mg,343mg,4.6,"9,032",,,,,,,,,
39,6663249,Slow-Cooker Corned Beef and Cabbage,15 mins, 8 hrs, 8 hrs 15 mins,8 ,8,473,20g,7g,100mg,1281mg,50g,7g,7g,24g,55mg,68mg,3mg,1126mg,4.6,"2,062",,,,,,,,,
40,6650289,Chef John's Perfect Prime Rib,10 mins, 2 hrs 20 mins, 4 hrs 30 mins,4 ,4,1757,161g,70g,362mg,343mg,1g,0g,,73g,0mg,51mg,8mg,1189mg,4.8,"2,430",,4 servings,,, 2 hrs,,,,
41,6649667,Corned Beef and Cabbage,, 2 hrs 30 mins, 2 hrs 30 mins,6 ,6,839,41g,13g,147mg,3378mg,69g,12g,,50g,,,,2780mg,4.7,"1,388",,,,,,,,,
42,6649567,Sloppy Joes,5 mins,30 mins,35 mins,6 ,6,243,16g,6g,57mg,397mg,11g,0g,,14g,10mg,16mg,2mg,340mg,4.7,"7,780",,6 sandwiches,,,,,,,
43,6648676,Cast Iron Pan-Seared Steak (Oven-Finished),5 mins,13 mins, 1 hr 23 mins,2 ,2,457,15g,5g,73mg,2961mg,43g,1g,28g,32g,134mg,176mg,9mg,1551mg,4.5,58,,2 steaks,45 mins,20 mins,,,,,
44,6664414,Best Meatloaf,15 mins, 1 hr 10 mins, 1 hr 25 mins,12 ,12,213,12g,5g,76mg,649mg,9g,1g,3g,18g,4mg,39mg,3mg,335mg,4.5,"1,062",,1 meatloaf,,,,,,,
45,6650587,Quick Beef Stir-Fry,15 mins,10 mins,25 mins,4 ,4,268,16g,4g,49mg,526mg,9g,3g,3g,23g,70mg,92mg,3mg,563mg,4.4,422,,4 servings,,,,,,,
46,6664255,Absolute Best Liver and Onions,20 mins,15 mins,35 mins,4 ,4,687,21g,11g,578mg,309mg,74g,4g,11g,49g,13mg,165mg,12mg,939mg,4.7,779,,,,,,,,,
47,6648238,Slow Cooker Pot Roast,20 mins, 8 hrs 20 mins, 8 hrs 40 mins,8 ,8,540,31g,12g,147mg,272mg,18g,3g,2g,46g,18mg,47mg,6mg,1173mg,4.6,"2,412",,,,,,,,,
48,6648220,Salisbury Steak,15 mins,25 mins,40 mins,6 ,6,440,32g,13g,128mg,818mg,14g,1g,4g,23g,2mg,48mg,3mg,381mg,4.4,"4,807",,,,,,,,,
49,6651006,Chef John's Italian Meatballs,20 mins,35 mins, 2 hrs 15 mins,8 ,8,390,31g,12g,91mg,617mg,5g,1g,,21g,4mg,62mg,2mg,349mg,4.8,"2,322",,,,, 1 hr 20 mins,,,,
