,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:,Additional Time:
0,7494546,45 mins, 5 hrs 15 mins, 6 hrs,25 servings,25,513,32g,11g,174mg,359mg,4g,1g,1g,48g,26mg,43mg,4mg,547mg,,,,
1,6664604,20 mins, 4 hrs, 4 hrs 20 mins,6 ,6,576,30g,12g,132mg,542mg,30g,4g,4g,44g,26mg,57mg,6mg,1187mg,4.5,"5,462",6 servings,
2,6568739,15 mins, 3 hrs 15 mins, 3 hrs 30 mins,8 ,8,334,15g,5g,52mg,365mg,30g,5g,7g,18g,27mg,57mg,3mg,937mg,3.8,5,,
3,6650895,30 mins, 2 hrs 30 mins, 3 hrs,6 ,6,528,25g,10g,96mg,1605mg,42g,5g,9g,29g,20mg,91mg,4mg,1015mg,4.9,"1,206",,
4,6648264,20 mins, 2 hrs 15 mins, 2 hrs 35 mins,10 ,10,401,21g,7g,79mg,436mg,25g,3g,3g,27g,10mg,38mg,3mg,748mg,4.6,"3,759",,
5,6664066,40 mins, 2 hrs 30 mins, 3 hrs 10 mins,12 ,12,424,8g,2g,30mg,276mg,74g,10g,8g,19g,59mg,94mg,5mg,1874mg,4.7,9,,
6,6578560,20 mins,55 mins, 1 hr 25 mins,4 ,4,352,16g,7g,59mg,1321mg,32g,4g,5g,20g,8mg,49mg,3mg,542mg,4.6,205,,10 mins
7,6579133,45 mins, 2 hrs 25 mins, 3 hrs 10 mins,6 ,6,344,23g,6g,52mg,226mg,19g,8g,2g,18g,41mg,92mg,4mg,326mg,4.9,17,,
8,6585605,20 mins, 8 hrs 10 mins, 8 hrs 30 mins,12 ,12,241,9g,3g,62mg,428mg,18g,4g,5g,21g,20mg,44mg,4mg,687mg,4.7,17,,
9,6585400,15 mins,30 mins,45 mins,8 ,8,487,24g,9g,76mg,900mg,42g,6g,4g,26g,45mg,49mg,4mg,1372mg,4.5,141,,
10,6603781,10 mins, 1 hr 5 mins, 1 hr 15 mins,8 ,8,257,10g,4g,35mg,1096mg,29g,5g,5g,14g,29mg,52mg,3mg,882mg,4.9,22,,
11,6598654,15 mins, 2 hrs 55 mins, 3 hrs 10 mins,6 ,6,318,16g,6g,63mg,690mg,22g,4g,6g,23g,37mg,65mg,3mg,914mg,4.8,262,,
12,6581115,30 mins, 3 hrs 10 mins, 3 hrs 40 mins,8 ,8,515,15g,5g,62mg,1261mg,65g,7g,5g,30g,42mg,173mg,5mg,1306mg,4.7,67,,
