,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Refrigerate Time:,Bake Time:,Additional Time:
0,7564428,15 mins,15 mins,30 mins,8 ,8 biscuits,8,336,18g,12g,49mg,427mg,40g,1g,18g,4g,13mg,141mg,2mg,103mg,4.5,2,,,
1,7505885,10 mins,20 mins,30 mins,6 ,,6,170,9g,5g,23mg,434mg,18g,1g,1g,5g,1mg,162mg,1mg,68mg,4.7,7,,,
2,7495124,20 mins,25 mins, 1 hr 45 mins,10 ,8 to 10 biscuits,10,233,10g,6g,25mg,328mg,34g,1g,12g,4g,14mg,112mg,1mg,135mg,5.0,4, 1 hr,,
3,7372647,15 mins,15 mins,30 mins,10 ,10 biscuits,10,193,10g,6g,25mg,349mg,24g,1g,4g,3g,0mg,109mg,1mg,60mg,4.8,4,,,
4,7095787,30 mins,,50 mins,14 ,14 biscuits,14,188,9g,5g,23mg,411mg,24g,1g,,3g,,,,73mg,5.0,2,,20 mins,
5,6663469,15 mins,10 mins,25 mins,10 ,10 biscuits,10,191,11g,3g,2mg,225mg,20g,1g,1g,3g,,81mg,1mg,54mg,4.5,"1,210",,,
6,6663436,20 mins,15 mins,35 mins,12 ,12 biscuits,12,143,7g,4g,19mg,321mg,17g,1g,1g,3g,0mg,71mg,1mg,51mg,4.7,"1,518",,,
7,6663275,10 mins,15 mins,25 mins,12 ,24 small biscuits,12,190,11g,7g,45mg,366mg,17g,1g,,6g,0mg,138mg,1mg,61mg,4.6,224,,,
8,6575028,10 mins,10 mins,20 mins,6 ,,6,472,20g,10g,41mg,855mg,64g,2g,0g,9g,,108mg,4mg,94mg,4.3,69,,,
9,6650858,30 mins,15 mins,45 mins,6 ,,6,282,13g,3g,3mg,649mg,36g,1g,4g,6g,0mg,189mg,2mg,106mg,4.6,"4,512",,,
10,6568201,15 mins,15 mins,30 mins,12 ,12 biscuits,12,163,9g,5g,23mg,264mg,18g,1g,2g,3g,,91mg,1mg,61mg,4.3,416,,,
11,6737582,15 mins,15 mins,35 mins,20 ,,20,96,5g,1g,1mg,218mg,10g,0g,1g,2g,,67mg,1mg,27mg,4.4,459,,,5 mins
12,6737971,15 mins,10 mins,25 mins,20 ,20 biscuits,20,139,6g,4g,17mg,551mg,18g,,1g,3g,,37mg,1mg,38mg,4.6,"1,861",,,
13,6575257,10 mins,15 mins,25 mins,12 ,1 dozen,12,134,6g,1g,4mg,312mg,17g,1g,1g,3g,,95mg,1mg,57mg,4.4,568,,,
14,6578736,15 mins,15 mins,30 mins,24 ,2 dozen,24,66,3g,1g,1mg,127mg,8g,0g,0g,1g,,39mg,1mg,23mg,4.3,339,,,
15,6650675,5 mins,25 mins,30 mins,9 ,9 biscuits,9,244,11g,7g,29mg,527mg,31g,1g,4g,5g,1mg,184mg,2mg,113mg,4.5,169,,,
16,6574422,10 mins,10 mins,20 mins,12 ,12 biscuits,12,126,6g,2g,6mg,263mg,15g,,1g,2g,0mg,18mg,,24mg,4.9,16,,,
17,6648858,20 mins,10 mins,40 mins,12 ,,12,301,19g,9g,29mg,634mg,31g,1g,1g,4g,0mg,93mg,2mg,87mg,4.8,105,,,10 mins
18,6738501,15 mins,15 mins,30 mins,12 ,1 dozen,12,155,8g,5g,22mg,196mg,17g,1g,1g,3g,,76mg,1mg,76mg,4.6,"1,300",,,
19,6648544,10 mins,15 mins,25 mins,8 ,8 large biscuits,8,336,12g,5g,17mg,910mg,49g,2g,3g,8g,1mg,275mg,3mg,160mg,4.7,55,,,
20,6579421,10 mins,10 mins,20 mins,4 ,1 dozen,4,465,25g,15g,65mg,834mg,53g,2g,4g,8g,0mg,269mg,3mg,205mg,4.7,527,,,
21,6603262,10 mins,12 mins,22 mins,12 ,1 dozen,12,107,3g,2g,6mg,279mg,17g,1g,0g,3g,0mg,88mg,1mg,43mg,4.1,165,,,
22,6649699,15 mins,10 mins,25 mins,12 ,,12,119,4g,3g,11mg,357mg,18g,2g,2g,3g,0mg,120mg,1mg,84mg,4.6,117,,,
23,6736685,10 mins,15 mins,25 mins,12 ,1 dozen,12,191,12g,8g,34mg,240mg,15g,1g,1g,5g,0mg,106mg,1mg,63mg,4.3,760,,,
24,6591800,15 mins,15 mins,30 mins,8 ,8 biscuits,8,416,19g,12g,69mg,474mg,55g,2g,14g,8g,0mg,160mg,3mg,204mg,4.5,62,,,
25,6568426,15 mins,,15 mins,48 ,11 cups,48,148,6g,1g,,341mg,21g,1g,1g,3g,,139mg,2mg,28mg,4.4,132,,,
26,6590461,15 mins,10 mins,25 mins,12 ,1 dozen biscuits,12,173,9g,3g,17mg,271mg,19g,1g,3g,3g,,111mg,1mg,69mg,4.7,226,,,
27,6581466,15 mins,30 mins,45 mins,6 ,,6,150,8g,1g,5mg,325mg,17g,1g,1g,3g,,95mg,1mg,57mg,4.5,97,,,
28,6583131,15 mins,10 mins,55 mins,12 ,1 dozen biscuits,12,170,9g,2g,1mg,345mg,18g,1g,1g,3g,0mg,103mg,1mg,60mg,4.5,200,,,30 mins
29,6587525,15 mins,15 mins,30 mins,6 ,6 biscuits,6,312,16g,5g,13mg,707mg,35g,1g,2g,8g,1mg,258mg,2mg,118mg,4.7,42,,,
30,6590777,10 mins,25 mins,35 mins,12 ,1 dozen,12,206,13g,4g,2mg,306mg,18g,1g,1g,3g,,103mg,1mg,60mg,4.1,331,,,
31,6601450,10 mins,12 mins,22 mins,6 ,6 biscuits,6,250,13g,8g,33mg,726mg,30g,1g,3g,6g,0mg,171mg,1mg,45mg,4.7,126,,,
32,6580019,20 mins,15 mins, 8 hrs 35 mins,12 ,12 servings,12,273,12g,3g,2mg,572mg,35g,1g,4g,6g,0mg,188mg,2mg,113mg,4.6,127,,, 8 hrs
33,6580647,5 mins,,15 mins,9 ,9 biscuits,9,166,9g,4g,15mg,401mg,17g,1g,1g,4g,,108mg,1mg,68mg,4.3,50,,,10 mins
34,6583958,20 mins,15 mins,35 mins,12 ,12 biscuits,12,124,5g,1g,2mg,190mg,17g,1g,1g,3g,,74mg,1mg,53mg,4.4,247,,,
35,6596000,10 mins,20 mins,30 mins,8 ,8 biscuits,8,279,9g,5g,40mg,730mg,44g,2g,8g,6g,4mg,176mg,2mg,203mg,4.6,127,,,
36,6739407,15 mins,10 mins,25 mins,10 ,10 biscuits,10,237,16g,10g,55mg,347mg,21g,1g,1g,3g,0mg,108mg,1mg,59mg,4.7,101,,,
37,6587165,20 mins,20 mins,40 mins,12 ,12 biscuits,12,136,6g,1g,1mg,292mg,17g,1g,1g,3g,0mg,66mg,1mg,43mg,3.8,53,,,
38,6576064,15 mins,15 mins,30 mins,12 ,12 biscuits,12,154,8g,5g,21mg,231mg,18g,1g,2g,3g,0mg,65mg,1mg,48mg,4.6,"1,089",,,
39,6591696,20 mins,20 mins,40 mins,9 ,9 large biscuits,9,329,27g,9g,118mg,391mg,7g,3g,1g,17g,0mg,335mg,1mg,70mg,4.6,75,,,
40,6583078,15 mins,15 mins,30 mins,12 ,12 biscuits,12,215,14g,9g,37mg,214mg,18g,1g,2g,5g,0mg,146mg,1mg,89mg,4.4,24,,,
41,6573830,20 mins,12 mins,32 mins,18 ,18 biscuits,18,216,12g,5g,12mg,337mg,23g,1g,1g,4g,0mg,96mg,1mg,99mg,4.8,258,,,
42,6581025,10 mins,20 mins,30 mins,12 ,12 biscuits,12,232,10g,3g,33mg,584mg,31g,1g,10g,5g,0mg,247mg,2mg,86mg,3.9,7,,,
43,6593995,20 mins,10 mins,30 mins,24 ,2 dozen,24,149,5g,3g,34mg,143mg,23g,1g,7g,3g,0mg,77mg,1mg,70mg,4.7,12,,,
44,6598505,5 mins,20 mins,35 mins,5 ,5 biscuits,5,247,8g,2g,1mg,560mg,41g,1g,19g,4g,5mg,31mg,2mg,117mg,4.8,18,,,10 mins
45,6571212,15 mins,20 mins,35 mins,8 ,8 biscuits,8,214,12g,5g,17mg,732mg,20g,1g,2g,6g,0mg,174mg,1mg,91mg,4.6,646,,,
46,6585516,15 mins,15 mins,30 mins,12 ,12 biscuits,12,131,6g,2g,4mg,278mg,17g,1g,1g,3g,0mg,85mg,1mg,48mg,4.1,134,,,
47,6738971,20 mins,8 mins,28 mins,12 ,12 biscuits,12,133,6g,3g,14mg,160mg,18g,1g,1g,3g,1mg,104mg,2mg,63mg,4.4,36,,,
48,6648318,5 mins,25 mins,30 mins,6 ,6 servings,6,483,31g,11g,62mg,1419mg,34g,1g,7g,17g,2mg,164mg,3mg,466mg,4.4,16,,,
49,6575376,25 mins,20 mins,45 mins,12 ,,12,199,10g,5g,20mg,351mg,25g,4g,1g,5g,,19mg,2mg,135mg,4.1,14,,,
50,6601557,15 mins,10 mins,25 mins,6 ,6 servings,6,186,10g,4g,7mg,492mg,22g,1g,1g,4g,0mg,125mg,1mg,67mg,4.8,32,,,
51,6736476,30 mins,, 1 hr 30 mins,6 ,,6,266,14g,9g,36mg,532mg,31g,1g,0g,4g,,146mg,2mg,56mg,4.4,35,,, 1 hr
52,6588370,10 mins,20 mins,30 mins,8 ,8 biscuits,8,282,21g,12g,45mg,616mg,20g,1g,2g,5g,0mg,128mg,1mg,85mg,4.7,44,,,
53,6570610,25 mins,15 mins,40 mins,24 ,24 biscuits,24,67,3g,1g,4mg,31mg,9g,0g,1g,1g,,8mg,1mg,15mg,3.5,8,,,
