,id_recipe,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count
0,6601872,15 mins,40 mins, 3 hrs, 3 hrs 55 mins,8 ,1 (9x13-inch) pie,8,631,33g,12g,48mg,278mg,79g,3g,60g,9g,13mg,181mg,2mg,349mg,4.7,16
1,6664586,20 mins,45 mins,30 mins, 1 hr 35 mins,6 ,1 galette,6,423,17g,10g,72mg,180mg,64g,3g,,6g,,,,137mg,5.0,5
2,6648169,25 mins,50 mins,, 1 hr 15 mins,8 ,1 pie,8,366,17g,5g,4mg,318mg,53g,4g,26g,3g,7mg,11mg,2mg,86mg,4.6,"2,038"
3,6590133,30 mins,45 mins,, 1 hr 15 mins,8 ,1 9-inch pie,8,467,20g,12g,52mg,360mg,69g,4g,34g,5g,3mg,29mg,2mg,109mg,4.3,26
4,6741714,30 mins,45 mins,30 mins, 1 hr 45 mins,8 ,1 9-inch berry pie,8,361,18g,4g,,147mg,48g,4g,18g,4g,22mg,17mg,2mg,131mg,4.6,482
5,6648768,20 mins,40 mins,, 1 hr,8 ,1 9-inch pie,8,461,17g,8g,23mg,125mg,76g,4g,,5g,10mg,34mg,2mg,157mg,4.5,390
6,6664731,20 mins,20 mins, 1 hr 50 mins, 2 hrs 30 mins,16 ,1 10x15-inch flan,16,314,18g,8g,42mg,87mg,36g,1g,,4g,23mg,24mg,1mg,126mg,4.7,49
7,6573744,45 mins, 1 hr,, 1 hr 45 mins,16 ,2 to 9 - inch pies,16,554,27g,7g,24mg,44mg,74g,4g,32g,6g,21mg,34mg,3mg,204mg,4.8,109
8,6737204,30 mins,45 mins,30 mins, 1 hr 45 mins,8 ,1 9-inch pie,8,436,21g,6g,8mg,313mg,60g,4g,27g,5g,14mg,21mg,2mg,143mg,4.6,223
9,6738818,25 mins,55 mins, 1 hr, 2 hrs 20 mins,8 ,1 9-inch deep dish pie,8,440,18g,8g,68mg,250mg,67g,2g,44g,5g,5mg,35mg,2mg,121mg,4.7,859
10,6599945,15 mins,5 mins, 1 hr 20 mins, 1 hr 40 mins,8 ,1 9-inch pie,8,232,6g,1g,,104mg,44g,5g,27g,2g,47mg,24mg,1mg,186mg,4.8,13
11,6602095,15 mins,45 mins, 2 hrs, 3 hrs,8 ,1 pie,8,324,15g,4g,,310mg,45g,4g,17g,4g,9mg,51mg,2mg,209mg,4.7,32
12,6590354,15 mins,45 mins,, 1 hr,8 ,1 9-inch pie,8,394,21g,7g,15mg,276mg,49g,4g,22g,4g,9mg,16mg,2mg,108mg,4.8,49
13,6592791,30 mins,45 mins, 1 hr, 2 hrs 15 mins,8 ,1 9-inch pie,8,402,18g,4g,,227mg,58g,3g,27g,4g,11mg,15mg,2mg,110mg,4.6,18
14,6575460,20 mins, 1 hr,20 mins, 1 hr 40 mins,8 ,1 9-inch pie,8,464,26g,11g,56mg,335mg,55g,3g,29g,6g,4mg,87mg,2mg,236mg,4.7,26
15,6603975,15 mins,45 mins, 2 hrs, 3 hrs,8 ,1 9-inch pie,8,409,16g,4g,,274mg,62g,3g,16g,4g,3mg,16mg,2mg,132mg,4.7,213
16,6590940,30 mins,55 mins, 3 hrs 45 mins, 5 hrs 10 mins,10 ,1 9-inch tart,10,347,22g,13g,143mg,108mg,33g,1g,19g,4g,4mg,34mg,1mg,102mg,3.8,4
17,6588925,40 mins,40 mins,40 mins, 2 hrs,8 ,1 to 9 - inch double-crust pie,8,290,9g,3g,4mg,128mg,52g,2g,37g,2g,6mg,8mg,1mg,61mg,4.6,88
18,6574463,30 mins,55 mins,, 1 hr 25 mins,8 ,1 9-inch pie,8,371,17g,4g,0mg,294mg,53g,3g,27g,4g,24mg,24mg,2mg,120mg,4.8,22
19,6568368,15 mins,45 mins,, 1 hr,8 ,1 (9-inch) double-crust pie,8,378,18g,4g,,412mg,53g,2g,30g,3g,24mg,13mg,1mg,66mg,4.7,36
20,6739656,15 mins,15 mins,,30 mins,10 ,2 galettes,10,269,12g,3g,,192mg,38g,3g,17g,3g,35mg,21mg,2mg,129mg,4.7,92
21,6594274,30 mins,25 mins, 1 hr, 1 hr 55 mins,8 ,1 10-inch galette,8,317,17g,11g,69mg,145mg,38g,2g,18g,4g,1mg,23mg,1mg,57mg,3.0,2
22,6575585,15 mins,10 mins, 2 hrs 5 mins, 2 hrs 30 mins,8 ,1 9-inch pie,8,219,7g,3g,4mg,113mg,40g,2g,27g,1g,7mg,8mg,1mg,74mg,4.5,96
23,6597932,30 mins,40 mins,15 mins, 1 hr 25 mins,8 ,1 9-inch double-crust pie,8,238,9g,2g,2mg,196mg,40g,3g,24g,2g,9mg,9mg,1mg,78mg,4.3,65
