,id_recipe,name,Prep Time:,Cook Time:,Cool Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Rise Time:,Stand Time:,Bake Time:,Additional Time:,Rest Time:,Freeze Time:,Active Time:,Fry Time:
0,7970341,Chef John's Chocolate Chip Pumpkin Bread,15 mins, 1 hr,45 mins, 2 hrs,8 ,1 pumpkin bread loaf,8,435,19g,4g,47mg,383mg,63g,4g,37g,6g,2mg,54mg,3mg,247mg,5.0,1,,,,,,,,
1,7643590,Brioche Col Tuppo (Sicilian Brioche),30 mins,20 mins,, 4 hrs 10 mins,8 ,,8,431,14g,8g,78mg,265mg,66g,2g,12g,10g,1mg,42mg,4mg,133mg,,, 3 hrs,20 mins,,,,,,
2,7642461,Jalapeno Cheddar Cornbread Muffins,15 mins,15 mins,,30 mins,12 ,12 jalapeno cornbread muffins,12,254,13g,5g,38mg,526mg,27g,1g,9g,8g,1mg,272mg,1mg,108mg,5.0,2,,,,,,,,
3,7643020,Jalapeño Cornbread Muffins,10 mins,25 mins,5 mins,40 mins,12 ,12 muffins,12,115,5g,3g,42mg,301mg,14g,1g,2g,3g,3mg,33mg,1mg,101mg,,,,,,,,,,
4,7565482,Mochi Muffins,10 mins,40 mins,10 mins, 1 hr,12 ,12 muffins,12,216,6g,3g,41mg,305mg,38g,1g,16g,3g,0mg,70mg,1mg,61mg,4.0,2,,,,,,,,
5,7563489,"Easy, Cheesy Pull Apart Garlic Bread",15 mins,40 mins,5 mins, 1 hr,6 ,,6,668,26g,14g,63mg,1335mg,85g,3g,8g,25g,0mg,330mg,6mg,239mg,,,,,,,,,,
6,7510692,Sausage Gravy Kolaches,45 mins,30 mins,, 3 hrs 30 mins,8 ,8 kolaches,8,379,22g,10g,105mg,502mg,34g,1g,5g,13g,1mg,61mg,2mg,232mg,4.7,3, 2 hrs 15 mins,,,,,,,
7,7505885,Parmesan Chive Biscuits,10 mins,20 mins,,30 mins,6 ,,6,170,9g,5g,23mg,434mg,18g,1g,1g,5g,1mg,162mg,1mg,68mg,4.7,7,,,,,,,,
8,7504941,Baked Apple Fritters,15 mins,13 mins,,28 mins,10 ,10 apple fritters,10,234,8g,5g,38mg,129mg,37g,1g,22g,3g,1mg,90mg,1mg,77mg,5.0,1,,,,,,,,
9,7111592,Crescent Roll Pretzels,15 mins,14 mins,,29 mins,8 ,8 pretzels,8,129,8g,3g,21mg,1625mg,11g,,,3g,,,,9mg,5.0,1,,,,,,,,
