,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Protein,Potassium,Average_Review,Review_Count,Total Sugars,Vitamin C,Calcium,Iron,Additional Time:
0,6649232,20 mins, 3 hrs 20 mins, 3 hrs 40 mins,12 ,12 burritos,12,746,51g,20g,264mg,1347mg,46g,3g,28g,585mg,4.0,2,,,,,
1,6650593,30 mins,25 mins,55 mins,10 ,10 burritos,10,546,30g,10g,217mg,1269mg,55g,4g,23g,639mg,4.8,25,3g,6mg,270mg,5mg,
2,6649548,5 mins,10 mins,15 mins,4 ,,4,537,34g,14g,343mg,1298mg,28g,4g,31g,512mg,4.5,287,3g,1mg,324mg,3mg,
3,6604670,15 mins,15 mins,30 mins,4 ,4 burritos,4,822,54g,21g,243mg,1760mg,43g,3g,40g,616mg,4.3,114,4g,29mg,346mg,5mg,
4,6738878,5 mins,10 mins,15 mins,4 ,,4,494,33g,13g,248mg,1194mg,24g,5g,27g,349mg,4.2,137,2g,1mg,327mg,3mg,
5,6663324,50 mins,15 mins, 1 hr 5 mins,20 ,20 burritos,20,296,19g,7g,140mg,707mg,19g,1g,12g,192mg,4.6,98,2g,2mg,137mg,2mg,
6,6663572,10 mins,30 mins,40 mins,6 ,6 burritos,6,873,50g,17g,492mg,1291mg,66g,6g,40g,1086mg,4.6,50,5g,37mg,454mg,6mg,
7,6569330,5 mins,3 mins,8 mins,6 ,6 tacos,6,436,22g,9g,218mg,1295mg,41g,3g,19g,375mg,4.3,20,3g,1mg,212mg,4mg,
8,6600725,10 mins,10 mins,20 mins,4 ,4 tacos,4,316,19g,9g,220mg,922mg,24g,3g,18g,339mg,4.5,2,2g,23mg,161mg,2mg,
9,6579394,,10 mins,20 mins,6 ,6 burritos,6,518,19g,5g,101mg,1155mg,70g,5g,16g,266mg,4.8,9,,13mg,196mg,5mg,10 mins
10,6588148,10 mins,5 mins,15 mins,1 ,1 wrap,1,704,37g,22g,447mg,1722mg,78g,9g,37g,986mg,4.7,7,8g,25mg,545mg,6mg,
11,6576025,15 mins,30 mins,45 mins,4 ,4 servings,4,254,10g,3g,98mg,298mg,31g,2g,8g,198mg,4.3,3,1g,5mg,36mg,2mg,
12,6594315,25 mins,,35 mins,10 ,,10,638,39g,15g,244mg,1181mg,45g,5g,26g,415mg,4.4,144,2g,3mg,301mg,4mg,10 mins
13,6737898,30 mins,50 mins, 9 hrs 30 mins,10 ,,10,511,31g,15g,173mg,1104mg,31g,2g,26g,390mg,4.4,305,2g,26mg,351mg,3mg, 8 hrs 10 mins
14,6584937,15 mins,10 mins,25 mins,4 ,,4,582,31g,8g,293mg,1400mg,53g,9g,26g,859mg,4.2,34,9g,12mg,287mg,5mg,
15,6586538,15 mins,20 mins,35 mins,1 ,1 wrap,1,533,27g,8g,333mg,1016mg,45g,4g,28g,438mg,4.6,27,3g,15mg,331mg,5mg,
16,6599285,30 mins,,30 mins,4 ,4 servings,4,627,34g,14g,601mg,1321mg,42g,3g,37g,554mg,4.6,51,5g,10mg,416mg,6mg,
