,id_recipe,name,Prep Time:,Cook Time:,Cool Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Sodium,Total Carbohydrate,Dietary Fiber,Protein,Potassium,Average_Review,Review_Count,Additional Time:,Total Sugars,Vitamin C,Calcium,Iron,Saturated Fat,Cholesterol
0,6663783,Turkey Brine,5 mins,5 mins, 8 hrs 30 mins, 8 hrs 40 mins,15 ,2 gallons,15,3,0g,5640mg,1g,0g,0g,57mg,4.8,"1,364",,,,,,,
1,6650592,Simple Chicken Brine,10 mins,,, 4 hrs 10 mins,,1 gallon,,,,,,,,,4.7,295, 4 hrs,,,,,,
2,6585034,Ultimate Turkey Brine,,30 mins,,30 mins,30 ,1 gallon,30,44,0g,6081mg,11g,0g,0g,20mg,4.9,24,,11g,0mg,20mg,0mg,,
3,6741005,Out of This World Turkey Brine,10 mins,,,10 mins,12 ,34 cups,,,,,,,,,4.8,851,,,,,,,
4,6586585,Basic Pork Brine,10 mins,,,10 mins,10 ,,10,85,,1160mg,22g,,0g,36mg,4.8,19,,21g,0mg,21mg,0mg,,
5,6582593,Basic Brine for Smoking Meat,5 mins,,,5 mins,8 ,1 quart,,,,,,,,,4.7,80,,,,,,,
6,6564166,Perfect Chicken Brine,5 mins,40 mins,, 3 hrs 45 mins,16 ,1 gallon,16,47,0g,4279mg,12g,1g,1g,64mg,4.9,40, 3 hrs,,2mg,46mg,1mg,,
7,6663623,Citrus Turkey Brine,20 mins,,, 10 hrs 20 mins,12 ,1 1/2 gallons,12,732,36g,8091mg,4g,1g,92g,1262mg,4.8,283, 10 hrs,,,,,10g,305mg
8,6574866,Matt's Fried Turkey Brine,10 mins,5 mins,, 4 hrs 15 mins,16 ,2 gallons,16,66,1g,6163mg,14g,2g,1g,44mg,5.0,10, 4 hrs,11g,1mg,41mg,1mg,,
9,6590868,Orange Turkey Brine,10 mins,15 mins,, 2 hrs 25 mins,1 ,1 1/2 gallon,1,697,2g,91282mg,177g,17g,13g,3004mg,4.8,68, 2 hrs,143g,662mg,561mg,10mg,0g,
10,6568173,Dry Brine Turkey,15 mins, 2 hrs 30 mins,,3 days 12 hrs 15 mins,15 ,1 15-pound turkey,15,684,32g,1383mg,1g,0g,92g,953mg,4.8,18,3 days 9 hrs 30 mins,1g,1mg,91mg,6mg,9g,268mg
11,6571858,Juicy Two-Stage Thanksgiving Turkey Marinade,25 mins,,,2 days 25 mins,15 ,1 marinated turkey,15,814,36g,238mg,27g,4g,93g,1150mg,4.8,28,2 days,20g,51mg,156mg,7mg,10g,268mg
12,6569403,Apple Brine for Turkey the Night Before Cooking,5 mins,,,5 mins,12 ,1 1/2 gallons,,,,,,,,,4.7,84,,,,,,,
13,6583278,Apple Cider Turkey Brine,5 mins,10 mins,,15 mins,12 ,12 servings,12,24,,7608mg,6g,0g,0g,12mg,4.8,17,,5g,0mg,16mg,0mg,,
14,6597552,Barbeque Rib Brine,10 mins,20 mins,,30 mins,30 ,30 servings,30,71,0g,2928mg,17g,1g,1g,130mg,4.5,2,,12g,2mg,63mg,1mg,,
15,6564120,Brown Sugar Chicken Brine,10 mins,,, 1 hr,16 ,1 gallon,16,58,,4508mg,15g,0g,0g,107mg,4.8,12,50 mins,13g,1mg,29mg,0mg,,
