,id_recipe,name,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count
0,6650442,Beef Bulgogi,10 mins,5 mins, 1 hr, 1 hr 15 mins,4 ,4 servings,4,232,13g,3g,27mg,1157mg,12g,1g,8g,16g,3mg,68mg,2mg,269mg,4.8,"1,166"
1,6736572,Easy Bulgogi (Korean BBQ Beef),10 mins,5 mins, 1 hr, 1 hr 15 mins,6 ,,6,226,10g,3g,49mg,844mg,11g,1g,8g,21g,2mg,27mg,6mg,316mg,4.7,183
2,6664598,Skillet Chicken Bulgogi,15 mins,15 mins,,30 mins,4 ,,4,269,12g,2g,69mg,1230mg,13g,1g,9g,28g,2mg,55mg,2mg,311mg,4.6,254
3,6648759,Korean Spicy Marinated Pork (Dae Ji Bool Gogi),45 mins,15 mins, 3 hrs, 4 hrs,8 ,8 servings,8,300,17g,4g,55mg,390mg,17g,1g,8g,19g,5mg,29mg,1mg,377mg,4.6,93
4,6598550,Spicy Beef Bulgogi,15 mins,2 mins, 1 hr, 1 hr 17 mins,4 ,1 pound flank steak,4,248,14g,3g,25mg,1792mg,15g,2g,8g,16g,5mg,71mg,3mg,295mg,4.6,21
5,6603430,Bulgogi (Korean Barbecued Beef),30 mins,20 mins, 2 hrs 30 mins, 3 hrs 20 mins,4 ,4 servings,4,243,15g,5g,61mg,1055mg,6g,1g,3g,20g,3mg,46mg,3mg,377mg,4.4,191
6,6589423,Slow Cooker Bulgogi,25 mins, 6 hrs 5 mins,30 mins, 7 hrs,4 ,,4,365,19g,6g,91mg,1868mg,16g,1g,13g,31g,1mg,29mg,4mg,469mg,4.1,22
7,6570746,Beef Bulgogi with Dipping Sauce,15 mins,8 mins,30 mins,53 mins,4 ,2 pounds beef bulgogi,4,405,19g,6g,98mg,2339mg,15g,1g,11g,43g,3mg,72mg,4mg,639mg,5.0,2
8,6602163,Bulgogi (Korean BBQ),25 mins,10 mins, 1 hr, 1 hr 35 mins,4 ,,4,439,18g,6g,101mg,3820mg,24g,2g,16g,44g,4mg,49mg,5mg,738mg,4.3,100
9,6589587,Korean BBQ Beef (Pul-Kogi),25 mins,5 mins,,30 mins,4 ,4 servings,4,276,15g,5g,60mg,947mg,14g,2g,9g,21g,4mg,50mg,3mg,364mg,4.7,203
10,6578041,Bulgogi Meatballs,30 mins,20 mins,30 mins, 1 hr 20 mins,8 ,45 mini meatballs,8,331,22g,7g,94mg,453mg,12g,0g,6g,22g,2mg,28mg,5mg,283mg,4.0,1
11,6577695,Korean Bulgogi Bowl,15 mins,15 mins,,30 mins,4 ,4 servings,4,425,19g,6g,79mg,987mg,37g,5g,18g,27g,62mg,99mg,4mg,777mg,4.2,6
12,6571095,Dak Bulgogi (Korean Barbeque Chicken),10 mins,15 mins, 6 hrs, 6 hrs 25 mins,4 ,4 servings,4,435,25g,7g,141mg,1940mg,10g,1g,6g,41g,2mg,42mg,3mg,457mg,4.0,3
13,6575305,Bulgogi Burgers,20 mins,20 mins,,40 mins,8 ,8 burgers,8,275,16g,6g,74mg,698mg,7g,0g,6g,22g,1mg,28mg,2mg,304mg,4.8,25
14,6585593,Daeji Bulgogi (Pork Bulgogi),20 mins,15 mins, 3 hrs, 3 hrs 35 mins,6 ,6 servings,6,150,5g,2g,43mg,583mg,10g,1g,6g,15g,2mg,21mg,1mg,267mg,5.0,2
15,6588155,Slow Cooker Bulgogi (Korean Roast Beef),10 mins, 10 hrs,, 10 hrs 10 mins,4 ,1 pound beef,4,283,13g,4g,90mg,519mg,8g,0g,7g,33g,1mg,33mg,2mg,449mg,4.0,1
16,6602223,Instant Pot Vegan Bulgogi,20 mins,30 mins,30 mins, 1 hr 20 mins,5 ,,5,230,8g,1g,,1253mg,29g,3g,15g,9g,4mg,60mg,2mg,356mg,5.0,1
17,6596769,Spicy Hawaiian Slow Cooker Chicken Bulgogi,10 mins, 4 hrs 15 mins,, 4 hrs 25 mins,8 ,8 servings,8,239,3g,1g,65mg,315mg,27g,3g,16g,25g,23mg,46mg,1mg,448mg,,
18,6587003,Chicken Thigh Bulgogi Tacos,20 mins,10 mins,,30 mins,8 ,8 tacos,8,270,12g,4g,56mg,403mg,22g,2g,2g,18g,28mg,85mg,3mg,289mg,,
19,6573357,Korean-Style Bulgogi Beef Tacos,30 mins,15 mins, 1 hr, 1 hr 45 mins,12 ,12 tacos,12,268,13g,4g,27mg,560mg,26g,4g,9g,12g,7mg,60mg,2mg,433mg,,
20,6592859,Sloppy Bulgogi,15 mins,20 mins,,35 mins,6 ,6 sloppy buljoegis,6,402,14g,5g,46mg,1409mg,49g,2g,23g,19g,3mg,101mg,4mg,393mg,4.8,8
