,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:,Additional Time:
0,6665014,Easier Chicken Marsala,10 mins,15 mins,25 mins,4 ,4,286,10g,3g,80mg,313mg,11g,1g,3g,28g,1mg,22mg,2mg,317mg,4.5,834,,
1,6737704,Chef John's Chicken Marsala,20 mins,40 mins, 1 hr,2 ,2,799,39g,16g,185mg,2391mg,27g,1g,12g,51g,8mg,56mg,3mg,760mg,4.7,642,2 servings,
2,6651063,Chicken Marsala with Portobello Mushrooms,20 mins,40 mins, 1 hr,6 ,6,426,23g,11g,108mg,622mg,20g,2g,3g,29g,0mg,32mg,2mg,645mg,4.4,94,6 servings,
3,6570154,Chicken Marsala Over White Rice,15 mins,40 mins,55 mins,4 ,4,562,14g,5g,85mg,197mg,67g,2g,3g,33g,1mg,45mg,5mg,395mg,4.5,171,4 servings,
4,6650316,Chicken Marsala Milanese,20 mins,30 mins,50 mins,2 ,2,953,34g,17g,254mg,1911mg,101g,2g,9g,62g,8mg,212mg,5mg,830mg,4.7,40,2 servings,
5,6740973,Easy Chicken Marsala,15 mins,25 mins,40 mins,4 ,4,388,20g,7g,127mg,125mg,5g,0g,,41g,4mg,47mg,2mg,553mg,4.4,234,4 servings,
6,6588140,Chicken Marsala Florentine,10 mins,25 mins,35 mins,4 ,4,671,43g,23g,160mg,693mg,25g,3g,10g,32g,7mg,68mg,3mg,1112mg,4.6,516,4 servings,
7,6588024,Creamy Chicken Marsala,15 mins,15 mins,30 mins,4 ,4,355,17g,3g,35mg,539mg,20g,2g,8g,16g,4mg,33mg,2mg,292mg,4.4,86,,
8,6589995,Chicken with Chanterelle Mushrooms and Marsala Wine,15 mins,30 mins,45 mins,2 ,2,637,38g,23g,161mg,337mg,25g,2g,6g,30g,3mg,41mg,4mg,328mg,4.6,11,,
9,6600922,Slow Cooker Chicken Marsala,10 mins, 4 hrs 5 mins, 4 hrs 15 mins,12 ,12,225,5g,1g,96mg,230mg,5g,1g,1g,36g,2mg,22mg,2mg,415mg,3.8,45,,
10,6592348,Sweet Chicken Marsala,20 mins,30 mins,50 mins,4 ,4,612,19g,8g,95mg,404mg,50g,1g,31g,28g,4mg,60mg,2mg,515mg,4.5,10,4 servings,
11,6596826,Chicken with a Creamy Marsala Sauce,10 mins,20 mins,30 mins,4 ,4,825,46g,21g,304mg,260mg,13g,0g,3g,79g,0mg,82mg,3mg,710mg,4.4,36,4 servings,
12,6596437,Instant Pot® Chicken Marsala,10 mins,15 mins,25 mins,6 ,6,322,19g,7g,79mg,300mg,8g,1g,2g,24g,1mg,16mg,1mg,272mg,4.7,6,6 servings,
13,6578000,Easy Paleo Chicken Marsala,15 mins,15 mins,30 mins,5 ,5,357,21g,8g,97mg,811mg,6g,1g,2g,29g,4mg,19mg,2mg,216mg,4.8,6,,
14,6593135,Spicy Chicken Marsala,15 mins, 1 hr 50 mins, 2 hrs 5 mins,6 ,6,753,25g,10g,111mg,1595mg,70g,4g,6g,48g,6mg,375mg,5mg,525mg,4.1,7,6 servings,
15,6606148,Marsala Cream Chicken with Asparagus,20 mins,30 mins,50 mins,4 ,4,952,42g,16g,211mg,380mg,60g,4g,8g,65g,4mg,127mg,6mg,906mg,4.2,9,4 servings,
16,6569902,Instant Pot® Easy Chicken Marsala,15 mins,35 mins, 1 hr 5 mins,4 ,4,415,28g,14g,109mg,1279mg,11g,0g,4g,19g,3mg,41mg,1mg,277mg,4.7,7,4 servings,15 mins
17,6590557,Chicken Marsala Meatballs,15 mins,19 mins,34 mins,4 ,4,382,21g,5g,123mg,605mg,11g,2g,4g,34g,4mg,66mg,7mg,573mg,4.0,3,4 servings,
18,6588620,Easy Tomato Chicken Marsala,10 mins,30 mins,40 mins,4 ,4,252,6g,1g,68mg,642mg,17g,2g,9g,30g,17mg,90mg,4mg,736mg,4.2,18,4 servings,
19,6604444,Instant Pot Creamy Chicken Marsala Florentine,10 mins,35 mins,50 mins,4 ,4,741,21g,8g,61mg,256mg,100g,5g,8g,30g,8mg,82mg,6mg,742mg,,,,5 mins
