,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Protein,Potassium,Average_Review,Review_Count,Total Sugars,Vitamin C,Calcium,Iron,Yield:,Additional Time:
0,6822293,2 mins,10 mins,12 mins,2 ,2,305,14g,3g,98mg,594mg,34g,3g,11g,124mg,,,,,,,,
1,6755093,5 mins,10 mins,15 mins,1 ,1,589,18g,7g,101mg,1655mg,58g,3g,45g,308mg,3.8,4,,,,,,
2,6649288,10 mins,30 mins,40 mins,6 ,6,162,6g,2g,46mg,1357mg,12g,2g,13g,174mg,4.7,"3,457",4g,2mg,31mg,1mg,,
3,6663769,10 mins,20 mins,30 mins,6 ,6,504,20g,5g,99mg,2356mg,55g,1g,27g,187mg,4.6,594,5g,0mg,35mg,5mg,,
4,7151647,15 mins,15 mins,30 mins,4 ,4,916,66g,43g,53mg,1801mg,68g,13g,44g,1380mg,5.0,2,,,,,,
5,6579367,20 mins, 1 hr, 1 hr 20 mins,12 ,12,167,4g,2g,20mg,187mg,22g,3g,12g,321mg,4.8,491,4g,20mg,69mg,2mg,6 quarts,
6,6650840,25 mins,25 mins,50 mins,6 ,6,360,10g,2g,100mg,1019mg,37g,4g,29g,609mg,4.5,32,6g,6mg,70mg,3mg,,
7,6605358,30 mins,50 mins, 1 hr 30 mins,8 ,8,335,15g,4g,81mg,203mg,24g,2g,26g,312mg,4.8,9,3g,7mg,36mg,2mg,,10 mins
8,6738409,10 mins,45 mins,55 mins,10 ,10,227,8g,4g,74mg,1124mg,18g,1g,19g,262mg,4.7,"1,078",1g,1mg,43mg,2mg,,
9,6736630,15 mins,30 mins,45 mins,12 ,12,147,4g,1g,33mg,1664mg,11g,1g,16g,355mg,4.6,"1,890",2g,1mg,26mg,1mg,,
10,6737784,20 mins, 2 hrs 15 mins, 2 hrs 35 mins,12 ,12,303,12g,3g,81mg,864mg,22g,4g,25g,483mg,4.7,423,5g,6mg,73mg,3mg,,
11,6576352,25 mins,40 mins, 1 hr 20 mins,6 ,6,300,8g,3g,85mg,2046mg,35g,3g,22g,412mg,4.7,22,4g,5mg,69mg,3mg,6 servings,15 mins
12,6648419,15 mins, 5 hrs 45 mins, 6 hrs,8 ,8,207,3g,1g,77mg,1055mg,17g,1g,26g,276mg,4.6,29,1g,2mg,45mg,2mg,8 servings,
13,6592039,20 mins,40 mins, 1 hr 30 mins,8 ,8,396,15g,5g,102mg,1118mg,29g,1g,33g,334mg,4.6,70,3g,12mg,49mg,2mg,8 servings,30 mins
14,6591634,20 mins,35 mins,55 mins,6 ,6,329,9g,3g,51mg,1067mg,44g,5g,18g,948mg,4.7,45,10g,32mg,158mg,2mg,6 servings,
