,id_recipe,Prep Time:,Stand Time:,Rise Time:,Bake Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Protein,Potassium,Average_Review,Review_Count,Cool Time:,Cook Time:,Total Sugars,Calcium,Iron,Additional Time:,Vitamin C
0,6892134,45 mins,10 mins, 1 hr 30 mins,25 mins, 2 hrs 50 mins,12 ,12 orange cinnamon rolls,12,536,28g,17g,108mg,416mg,59g,1g,14g,441mg,4.5,2,,,,,,,
1,6831139,35 mins,, 2 hrs 30 mins,22 mins, 3 hrs 45 mins,8 ,32 mini cinnamon rolls,8,642,21g,13g,99mg,283mg,103g,2g,11g,176mg,5.0,1,10 mins,,,,,,
2,6752540,45 mins,, 2 hrs 25 mins,25 mins, 3 hrs 50 mins,12 ,,12,530,24g,15g,77mg,370mg,73g,2g,7g,219mg,1.0,1,15 mins,,,,,,
3,6745326,45 mins,, 3 hrs,, 4 hrs 25 mins,12 ,12 eggnog cinnamon rolls,12,511,25g,15g,85mg,371mg,67g,2g,7g,122mg,4.8,5,15 mins,25 mins,,,,,
4,6649341,20 mins,,,,40 mins,18 ,18 cinnamon rolls,18,223,10g,6g,37mg,262mg,32g,1g,3g,54mg,4.0,515,,20 mins,20g,62mg,1mg,,
5,6648710,20 mins,,,, 3 hrs,12 ,12 rolls,12,502,19g,9g,64mg,388mg,77g,2g,8g,148mg,4.8,"7,927",,15 mins,43g,76mg,3mg, 2 hrs 25 mins,0mg
6,6663838,35 mins,,,, 3 hrs 10 mins,15 ,15 buns,15,392,22g,11g,66mg,282mg,45g,2g,6g,122mg,4.7,"1,421",,25 mins,19g,45mg,2mg, 2 hrs 10 mins,0mg
7,6650554,15 mins,,,, 2 hrs 10 mins,20 ,20 rolls,20,152,6g,2g,9mg,139mg,23g,1g,3g,28mg,4.7,70,,25 mins,12g,14mg,1mg, 1 hr 30 mins,0mg
8,6738217,25 mins,,,, 1 hr 30 mins,12 ,12 rolls,12,347,13g,2g,17mg,262mg,55g,2g,5g,160mg,4.7,"2,432",,25 mins,27g,54mg,2mg,40 mins,0mg
9,6572708,45 mins,,,, 3 hrs,9 ,9 rolls,9,251,12g,6g,26mg,178mg,34g,1g,4g,72mg,4.4,5,,25 mins,14g,30mg,1mg, 1 hr 50 mins,0mg
10,6739396,30 mins,,,, 3 hrs,16 ,16 rolls,16,372,19g,10g,51mg,198mg,45g,2g,6g,122mg,4.8,"1,767",,15 mins,19g,54mg,2mg, 2 hrs 15 mins,0mg
11,6571416,10 mins,,,, 8 hrs 35 mins,20 ,1 (10-inch) Bundt cake,20,430,7g,3g,8mg,832mg,79g,4g,16g,32mg,4.7,188,,25 mins,12g,173mg,6mg, 8 hrs,0mg
12,6569546,30 mins,,,, 1 hr 40 mins,12 ,24 sticky buns,12,484,19g,9g,68mg,605mg,70g,3g,9g,188mg,4.4,76,,30 mins,24g,110mg,3mg,40 mins,0mg
13,6650559,30 mins,,,, 2 hrs 25 mins,24 ,2 dozen,24,331,10g,6g,42mg,181mg,56g,1g,5g,91mg,4.5,737,,25 mins,31g,39mg,2mg, 1 hr 30 mins,
14,6664480,30 mins,,,,55 mins,15 ,1 - 10x15 inch pan,15,315,14g,5g,17mg,271mg,42g,1g,5g,115mg,4.5,480,,25 mins,13g,49mg,2mg,,0mg
15,6571370,20 mins,,,,35 mins,20 ,20 small rolls,20,116,5g,2g,8mg,161mg,18g,1g,1g,31mg,4.9,23,,15 mins,12g,17mg,0mg,,
16,6737753, 1 hr 20 mins,,,, 2 hrs,12 ,12 rolls,12,388,8g,4g,63mg,262mg,73g,2g,8g,181mg,4.4,454,,30 mins,35g,59mg,3mg,10 mins,0mg
17,6605693,10 mins,,,,10 mins,4 ,4 servings,4,124,6g,4g,15mg,126mg,17g,0g,1g,14mg,4.3,61,,,5g,21mg,1mg,,
18,6602026,25 mins,,,, 9 hrs 8 mins,24 ,24 caramel rolls,24,234,8g,4g,17mg,259mg,37g,2g,4g,25mg,4.2,11,,33 mins,20g,20mg,2mg, 8 hrs 10 mins,
19,6591655,30 mins,,,, 2 hrs 45 mins,24 ,24 rolls,24,404,14g,8g,49mg,318mg,65g,2g,6g,100mg,4.8,392,,30 mins,30g,20mg,2mg, 1 hr 45 mins,1mg
20,6739524, 1 hr,,,, 1 hr 40 mins,15 ,15 rolls,15,301,15g,9g,58mg,148mg,37g,2g,6g,77mg,4.5,67,,10 mins,9g,41mg,2mg,30 mins,0mg
21,6581225,15 mins,,,,35 mins,12 ,12 cinnamon rolls,12,425,16g,9g,34mg,377mg,71g,2g,2g,72mg,2.9,14,,15 mins,55g,87mg,1mg,5 mins,0mg
22,6598909,10 mins,,,, 13 hrs 55 mins,9 ,8 to 10 servings,9,371,21g,3g,2mg,366mg,41g,2g,7g,160mg,4.4,135,,25 mins,18g,118mg,2mg, 13 hrs 20 mins,0mg
23,6663589,25 mins,,,, 2 hrs 20 mins,20 ,20 cinnamon rolls,20,157,6g,2g,10mg,144mg,23g,1g,3g,29mg,4.6,96,,25 mins,12g,15mg,1mg, 1 hr 30 mins,0mg
