,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Cool Time:
0,6598821,Fresh Strawberry Cobbler,15 mins,35 mins,50 mins,8 ,1 cobbler,8,249,13g,8g,40mg,295mg,32g,2g,17g,2g,34mg,75mg,1mg,119mg,4.5,254,,
1,6746701,Blackberry Cobbler with Frozen Blackberries,5 mins,40 mins,55 mins,6 ,1 blackberry cobbler,6,367,11g,6g,56mg,81mg,65g,4g,,4g,,,,144mg,5.0,4,10 mins,
2,6596794,Instant Pot Peach Cobbler,10 mins,25 mins, 1 hr,4 ,,4,432,16g,8g,31mg,306mg,72g,5g,56g,4g,12mg,109mg,2mg,459mg,4.0,1,25 mins,
3,6649785,Fresh Southern Peach Cobbler,20 mins,40 mins, 1 hr,4 ,,4,562,18g,11g,46mg,400mg,99g,1g,73g,4g,84mg,114mg,2mg,146mg,4.7,"4,161",,
4,6648712,Quick and Easy Peach Cobbler,10 mins,30 mins,50 mins,12 ,1 cobbler,12,238,8g,5g,22mg,201mg,39g,1g,31g,2g,1mg,61mg,1mg,110mg,4.3,522,10 mins,
5,6650277,Old Fashioned Peach Cobbler,30 mins, 1 hr 10 mins, 2 hrs 10 mins,18 ,1 9x13-inch dish,18,338,18g,7g,26mg,177mg,44g,1g,30g,2g,31mg,16mg,1mg,69mg,4.6,708,30 mins,
6,6577819,Bisquick Peach Cobbler,10 mins,50 mins, 1 hr,6 ,1 (8x8-inch) dish,6,427,19g,11g,44mg,383mg,63g,2g,50g,4g,5mg,91mg,1mg,266mg,4.5,176,,
7,6649810,Fresh Cherry Cobbler, 1 hr, 1 hr, 2 hrs,12 ,,12,244,8g,5g,22mg,94mg,42g,1g,32g,2g,3mg,49mg,1mg,90mg,4.3,491,,
8,6591034,Easy Blueberry Cobbler,10 mins, 1 hr, 1 hr 10 mins,8 ,1 8-inch cobbler,8,310,13g,8g,33mg,293mg,49g,2g,34g,3g,7mg,97mg,1mg,125mg,4.2,165,,
9,6576870,3-Ingredient Cake Mix Cobbler,5 mins,50 mins,55 mins,8 ,,8,439,19g,8g,32mg,512mg,66g,2g,42g,4g,3mg,94mg,1mg,161mg,4.3,50,,
10,6737300,Easy Batter Fruit Cobbler,15 mins,55 mins, 1 hr 10 mins,4 ,,4,384,13g,8g,34mg,371mg,65g,1g,47g,4g,28mg,136mg,1mg,119mg,4.6,"2,020",,
11,7967888,Sweet Potato Cobbler,40 mins, 1 hr 10 mins, 2 hrs 5 mins,12 ,,12,621,26g,11g,20mg,399mg,92g,6g,42g,6g,18mg,70mg,3mg,523mg,,,,15 mins
12,6737564,Easy Peach Cobbler,10 mins,25 mins,35 mins,6 ,,6,292,12g,8g,33mg,295mg,44g,1g,,3g,2mg,95mg,1mg,136mg,4.2,377,,
13,6598778,Chocolate Cobbler,15 mins,30 mins,45 mins,8 ,1 8-inch cobbler,8,319,10g,6g,24mg,268mg,58g,2g,45g,3g,,80mg,1mg,103mg,4.5,496,,
14,6578509,Easy Apple Cobbler,10 mins,30 mins,40 mins,12 ,1 (9x13-inch) cobbler,12,168,1g,0g,16mg,48mg,41g,2g,31g,2g,5mg,34mg,1mg,135mg,4.6,19,,
15,6664366,Rhubarb Cobbler,20 mins,30 mins,50 mins,9 ,1 9-inch square cobbler,9,218,7g,4g,38mg,205mg,36g,2g,22g,3g,4mg,109mg,1mg,192mg,4.6,205,,
16,6602147,Strawberry Cream Cheese Cobbler,15 mins,30 mins,45 mins,12 ,,12,222,12g,7g,32mg,269mg,28g,1g,19g,3g,15mg,85mg,1mg,94mg,4.6,208,,
17,6737998,Very Best Blueberry Cobbler!,30 mins,20 mins, 1 hr,8 ,1 8-inch cobbler,8,359,10g,6g,25mg,328mg,65g,2g,41g,4g,6mg,185mg,2mg,116mg,4.1,448,10 mins,
18,6561478,Easy Peach Cobbler with Canned Peaches,10 mins,45 mins,55 mins,16 ,1 9x13-inch cobbler,16,273,14g,6g,23mg,6mg,37g,2g,23g,3g,4mg,16mg,1mg,177mg,3.8,6,,
19,6579258,Easy Cherry Cobbler,10 mins,50 mins, 1 hr,12 ,,12,238,8g,5g,22mg,113mg,40g,1g,18g,2g,2mg,56mg,1mg,96mg,4.4,244,,
20,6581307,Easy Fruit Cobbler,15 mins, 1 hr, 1 hr 15 mins,8 ,1 to 9 - inch cobbler,8,200,6g,4g,17mg,174mg,34g,0g,22g,2g,14mg,102mg,1mg,64mg,4.3,491,,
21,6648946,Butter Biscuit Peach Cobbler,15 mins, 1 hr, 1 hr 35 mins,10 ,10 servings,10,495,21g,9g,25mg,552mg,73g,3g,46g,5g,6mg,50mg,2mg,313mg,4.6,63,20 mins,
22,6576322,Black Raspberry Cobbler,10 mins,30 mins,40 mins,8 ,1 11x7-inch baking dish,8,310,12g,8g,32mg,183mg,49g,3g,34g,3g,10mg,92mg,1mg,114mg,4.7,26,,
23,6591168,Easy Peach Cobbler with Cake Mix,20 mins,45 mins, 1 hr 5 mins,12 ,1 9x13-inch cobbler,12,356,16g,9g,39mg,383mg,53g,1g,38g,3g,4mg,102mg,1mg,156mg,4.3,332,,
24,6665065,Nikki's Best Rhubarb Dessert Ever,20 mins,55 mins, 1 hr 15 mins,12 ,,12,519,20g,12g,110mg,248mg,81g,2g,52g,7g,3mg,98mg,2mg,244mg,4.5,39,,
25,6574299,Southern Peach Cobbler,10 mins,45 mins, 1 hr,8 ,8 servings,8,306,12g,8g,32mg,245mg,50g,2g,40g,3g,3mg,73mg,1mg,151mg,4.4,333,5 mins,
26,6650028,Crisp Peach Cobbler,20 mins,45 mins, 1 hr 35 mins,8 ,8 servings,8,371,13g,8g,33mg,279mg,62g,1g,45g,3g,43mg,111mg,1mg,105mg,4.6,297,30 mins,
27,6649956,Blackberry Cobbler,15 mins,55 mins, 1 hr 10 mins,10 ,1 9x13-inch cobbler,10,422,11g,7g,28mg,466mg,76g,5g,47g,6g,18mg,171mg,2mg,252mg,4.5,296,,
28,6648732,Pear Cobbler,15 mins,45 mins, 1 hr,9 ,,9,317,14g,8g,34mg,110mg,49g,3g,33g,2g,3mg,47mg,1mg,170mg,4.7,122,,
29,6575630,Fresh Apricot Cobbler,20 mins,40 mins, 1 hr,12 ,12 servings,12,272,9g,5g,23mg,385mg,46g,2g,27g,4g,8mg,120mg,1mg,272mg,4.7,44,,
30,6648421,Peach and Blackberry Cobbler,30 mins,45 mins, 1 hr 15 mins,12 ,1 9x13-inch dish,12,223,8g,5g,22mg,243mg,36g,1g,25g,2g,21mg,84mg,1mg,83mg,4.6,61,,
31,6576991,Plum Pudding,15 mins,35 mins,50 mins,6 ,1 2-quart baking dish,6,468,13g,3g,2mg,641mg,86g,3g,55g,5g,13mg,113mg,2mg,310mg,4.4,29,,
