,id_recipe,name,Prep Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Saturated Fat,Cholesterol,Yield:,Cook Time:,Cool Time:,Stand Time:,Freeze Time:,Additional Time:
0,6808558,Saints and Strangers Cocktail,15 mins,15 mins,1 ,1,228,0g,12mg,20g,0g,7g,0g,26mg,15mg,0mg,113mg,5.0,2,,,,,,,,
1,7966103,Tamarind Margarita,5 mins,5 mins,1 ,1,402,1g,2273mg,75g,8g,47g,3g,38mg,197mg,6mg,577mg,,,0g,0mg,,,,,,
2,7963518,Fresh Peaches and Cream Cocktail,5 mins,5 mins,1 ,1,402,2g,12mg,54g,6g,49g,4g,27mg,32mg,1mg,773mg,,,1g,0mg,1 cocktail,,,,,
3,7814457,Tequila Orange Fizz,5 mins,5 mins,1 ,1,119,0g,15mg,5g,0g,4g,0g,26mg,21mg,0mg,91mg,,,0g,0mg,,,,,,
4,7686376,Apple Cider Margarita,5 mins,5 mins,2 ,2,434,1g,13mg,74g,11g,52g,2g,68mg,75mg,1mg,523mg,,,0g,0mg,2 margaritas,0 mins,,,,
5,7642408,Spanish Gin and Tonic (Gin Tonica),9 mins,9 mins,1 ,1,366,2g,29mg,74g,19g,28g,7g,357mg,180mg,4mg,936mg,5.0,1,0g,0mg,1 cocktail,,,,,
6,7570310,Mango Daiquiri,5 mins,5 mins,1 ,1,419,1g,6mg,73g,3g,62g,2g,88mg,27mg,0mg,353mg,,,0g,0mg,,,,,,
7,7567979,Maple Rum Flip,5 mins,5 mins,1 ,1,261,6g,75mg,15g,1g,12g,6g,0mg,50mg,1mg,113mg,,,2g,186mg,1 maple rum flip,,,,,
8,7562213,Gold Rush,10 mins,26 mins,1 ,1,442,0g,25mg,85g,1g,83g,0g,17mg,30mg,1mg,87mg,,,0g,0mg,1 gold rush cocktail,1 mins,15 mins,,,
9,7506839,Big-Batch Pineapple-Basil Vodka Sours,5 mins,1 day 1 hr 5 mins,16 ,16,169,0g,5mg,18g,1g,15g,0g,18mg,9mg,0mg,63mg,,,0g,0mg,,,,1 day 1 hr,,
10,7505118,Chilton Cocktail,5 mins,5 mins,,,302,2g,6361mg,66g,19g,18g,8g,374mg,215mg,4mg,976mg,,,0g,0mg,,0 mins,,,,
11,7501505,Passion Fruit Martini,5 mins,5 mins,1 ,1,265,0g,15mg,10g,0g,7g,0g,8mg,11mg,0mg,158mg,3.0,1,0g,0mg,,0 mins,,,,
12,7497208,Tropical Matcha Cocktail,5 mins,5 mins,1 ,1,157,0g,15mg,27g,4g,11g,1g,71mg,61mg,1mg,237mg,5.0,2,0g,0mg,1 cocktail,,,,,
13,6565651,Cape Cod,2 mins,2 mins,1 ,,,,,,,,,,,,,4.7,22,,,,,,,,
14,6944443,Kombucha Margarita,5 mins,5 mins,1 ,1,227,0g,5857mg,14g,0g,,0g,,,,37mg,,,,,1 kombucha margarita,,,,,
15,6891020,Blood Orange Margarita,5 mins,5 mins,2 ,2,101,0g,3mg,12g,1g,,0g,,,,21mg,,,,,2 blood orange margaritas,,,,,
16,6743129,Big Batch Freezer Dirty Martini,5 mins, 4 hrs 5 mins,8 ,8,295,,140mg,2g,,,,,,,14mg,4.5,2,,,,,,, 4 hrs,
17,6739026,Cape Codder Cocktail,5 mins,5 mins,1 ,1,202,0g,5mg,28g,2g,20g,1g,86mg,27mg,1mg,91mg,4.3,9,,,1 cocktail,,,,,
18,6752794,Pineapple Margarita,5 mins,5 mins,1 ,1,266,0g,5856mg,24g,0g,,1g,,,,159mg,4.7,3,,,1 pineapple margarita,,,,,
19,6566490,Party Punch IV,10 mins,10 mins,48 ,,,,,,,,,,,,,4.7,78,,,48 (4 ounce) servings,,,,,
20,6664149,Classic Old Fashioned,5 mins,5 mins,1 ,,,,,,,,,,,,,4.5,97,,,,,,,,
21,6663482,The REAL Long Island Iced Tea,10 mins,10 mins,1 ,1,262,0g,3mg,23g,1g,21g,0g,10mg,9mg,0mg,23mg,4.7,114,,,1 drink,,,,,
22,6650935,Moscow Mule Cocktail,5 mins,5 mins,1 ,1,153,,10mg,15g,0g,14g,0g,6mg,11mg,,26mg,4.7,121,,,,,,,,
23,6650355,The Real Mojito,10 mins,10 mins,1 ,1,203,0g,11mg,29g,1g,,0g,,,,39mg,4.8,773,,,1 cocktail,,,,,
