,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:,Stand Time:,Additional Time:
0,7569687,Baked Mac ‘n' Cheese with Chicken Meatballs,15 mins,30 mins,45 mins,6 ,6,617,42g,17g,172mg,996mg,26g,2g,8g,34g,4mg,545mg,2mg,597mg,,,,,
1,6569224,Steak and Kidney Pie,30 mins, 2 hrs 30 mins, 3 hrs,6 ,6,658,31g,10g,403mg,1169mg,42g,4g,3g,51g,30mg,46mg,9mg,1264mg,4.7,15,,,
2,7112860,Cheddar Bay Biscuit Chicken Cobbler,15 mins,40 mins,55 mins,8 ,8,531,34g,14g,188mg,1231mg,21g,3g,4g,36g,2mg,145mg,2mg,506mg,4.3,28,1 (13x9-inch) cobbler,,
3,6825229,Frito Chicken Casserole,10 mins,40 mins, 1 hr 20 mins,8 ,,,,,,,,,,,,,,,4.4,5,1 casserole,30 mins,
4,6831322,King Ranch Chicken and Fresh Veggie Casserole,30 mins,55 mins, 1 hr 35 mins,12 ,12,285,17g,7g,58mg,350mg,13g,3g,,22g,,,,444mg,,,,10 mins,
5,6828145,Chef John's Chicken Fricassee,30 mins, 1 hr 20 mins, 1 hr 50 mins,6 ,6,407,27g,10g,124mg,934mg,7g,1g,,22g,,,,431mg,4.9,11,,,
6,6649349,Empanadas (Beef Turnovers),45 mins,50 mins, 1 hr 35 mins,4 ,,,,,,,,,,,,,,,4.8,156,20 empanadas,,
7,6665030,Homemade Mac and Cheese,10 mins,45 mins,55 mins,4 ,4,845,48g,30g,142mg,881mg,65g,3g,,37g,1mg,865mg,3mg,522mg,4.2,"2,687",,,
8,6664922,Microwave Baked Potato,1 mins,11 mins,12 mins,1 ,1,368,20g,13g,54mg,203mg,39g,3g,,9g,12mg,168mg,2mg,929mg,4.2,396,1 serving,,
9,6664765,Basic Mashed Potatoes,15 mins,20 mins,35 mins,4 ,4,257,7g,5g,20mg,76mg,44g,4g,5g,6g,15mg,89mg,1mg,763mg,4.6,618,,,
10,6664743,Creamy au Gratin Potatoes,30 mins, 1 hr 30 mins, 2 hrs,4 ,4,499,25g,16g,77mg,683mg,49g,4g,9g,20g,19mg,484mg,3mg,1184mg,4.6,"5,995",4 servings,,
11,6664604,Slow Cooker Beef Stew,20 mins, 4 hrs, 4 hrs 20 mins,6 ,6,576,30g,12g,132mg,542mg,30g,4g,4g,44g,26mg,57mg,6mg,1187mg,4.5,"5,462",6 servings,,
12,6664254,World's Best Lasagna,30 mins, 2 hrs 30 mins, 3 hrs 15 mins,12 ,12,448,21g,10g,82mg,1400mg,37g,4g,9g,30g,17mg,442mg,4mg,876mg,4.8,"20,198",,,15 mins
13,6663977,Best Green Bean Casserole,10 mins,15 mins,25 mins,6 ,6,322,23g,9g,20mg,1068mg,20g,2g,3g,7g,1mg,164mg,2mg,50mg,4.7,"1,079",,,
14,6663603,Chicken Pot Pie,20 mins,50 mins, 1 hr 20 mins,8 ,8,412,24g,9g,55mg,517mg,30g,3g,3g,18g,6mg,53mg,2mg,320mg,4.8,"13,210",1 9-inch pie,,10 mins
15,6663440,Easy Meatloaf,15 mins, 1 hr, 1 hr 15 mins,8 ,8,372,25g,10g,98mg,335mg,19g,1g,9g,18g,3mg,81mg,2mg,343mg,4.6,"9,032",,,
16,6649813,Spaghetti Aglio e Olio,10 mins,15 mins,25 mins,4 ,4,755,35g,8g,18mg,355mg,87g,4g,3g,23g,7mg,260mg,4mg,321mg,4.7,474,,,
