,id_recipe,name,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Prep Time:,Total Fat,Additional Time:,Yield:,Saturated Fat,Cholesterol
0,6649291,Fresh Cranberry Sauce,20 mins,20 mins,16 ,16,58,1mg,15g,1g,13g,0g,3mg,2mg,0mg,18mg,4.7,54,,,,,,
1,6739036,Cranberry Sauce with Orange Juice,15 mins,20 mins,12 ,12,87,1mg,22g,1g,20g,0g,14mg,5mg,0mg,66mg,4.7,"1,146",5 mins,0g,,,,
2,6650663,Cranberry Sauce,15 mins,20 mins,10 ,10,95,1mg,24g,2g,21g,0g,15mg,5mg,0mg,71mg,4.8,"2,981",5 mins,0g,,,,
3,6567650,Amazing Pineapple Cranberry Sauce,10 mins,50 mins,10 ,10,120,1mg,31g,2g,28g,0g,9mg,9mg,0mg,84mg,4.5,27,10 mins,0g,30 mins,10 servings,,
4,6571454,Cranberry Sauce Extraordinaire,35 mins,45 mins,12 ,12,195,100mg,36g,3g,22g,2g,13mg,24mg,1mg,220mg,4.8,741,10 mins,7g,,12 servings,1g,
5,6563527,Slow Cooker Cranberry Sauce, 3 hrs 45 mins, 3 hrs 50 mins,12 ,12,85,4mg,22g,1g,19g,0g,9mg,12mg,0mg,57mg,4.5,84,5 mins,0g,,12 servings,,
6,6567351,Blue Cranberry Sauce,,,9 ,9,82,1mg,21g,3g,16g,0g,9mg,8mg,0mg,62mg,4.6,361,,0g,,8 to 10 servings,,
7,6575446,Cranberry Sauce with Apples,25 mins,30 mins,10 ,10,112,2mg,29g,2g,26g,0g,7mg,7mg,0mg,76mg,4.9,24,5 mins,,,,,
8,6572847,Jalapeño Cranberry Sauce,20 mins,30 mins,8 ,8,132,92mg,33g,2g,,0g,9mg,6mg,0mg,58mg,4.6,68,10 mins,,,,,
9,6565919,Cranberry Raspberry Sauce,20 mins,25 mins,10 ,10,106,2mg,23g,3g,18g,0g,11mg,10mg,0mg,96mg,4.5,45,5 mins,0g,,,,
