,id_recipe,name,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count
0,6578547,Pain au Chocolat (Chocolate Croissants),45 mins,15 mins, 3 hrs, 4 hrs,9 ,9 croissants,9,1326,78g,47g,101mg,337mg,153g,6g,118g,16g,0mg,287mg,3mg,80mg,4.7,17
1,6568840,Danish Pastry, 1 hr,10 mins, 2 hrs, 3 hrs 10 mins,36 ,36 pastries,36,273,11g,7g,39mg,128mg,39g,1g,,4g,2mg,33mg,2mg,80mg,4.4,82
2,6663119,Baked Apple Roses,25 mins,45 mins,5 mins, 1 hr 15 mins,2 ,2 apple roses,2,1058,71g,27g,143mg,496mg,96g,5g,38g,12g,5mg,49mg,4mg,229mg,4.7,160
3,6570148,Danish Kringle,45 mins,30 mins, 8 hrs 30 mins, 9 hrs 45 mins,12 ,2 (10-inch) kringles,12,277,14g,7g,48mg,155mg,34g,1g,14g,5g,1mg,49mg,1mg,153mg,4.8,149
4,6650557,Easy Cream Cheese Danish,10 mins,30 mins,,40 mins,10 ,1 - 9x13 inch pan,10,498,29g,14g,53mg,582mg,51g,,32g,8g,0mg,40mg,2mg,60mg,4.6,610
5,6603013,Danish Almond Puff,15 mins, 1 hr,45 mins, 2 hrs,8 ,8 servings,8,424,26g,15g,131mg,193mg,42g,1g,18g,6g,,25mg,2mg,78mg,4.4,52
6,6597706,Apple Danish, 1 hr,20 mins, 1 hr 15 mins, 2 hrs 35 mins,8 ,1 12-inch long braid,8,336,11g,7g,27mg,442mg,58g,2g,31g,4g,2mg,27mg,2mg,119mg,4.7,61
7,6604466,Swedish Tea Ring,45 mins,20 mins, 2 hrs 15 mins, 3 hrs 20 mins,24 ,2 pastries,24,83,2g,1g,12mg,68mg,16g,0g,15g,1g,0mg,24mg,0mg,55mg,4.6,20
8,6739524,Danish Cinnamon Snails, 1 hr,10 mins,30 mins, 1 hr 40 mins,15 ,15 rolls,15,301,15g,9g,58mg,148mg,37g,2g,9g,6g,0mg,41mg,2mg,77mg,4.5,67
9,6592894,Chocolate Babka,40 mins,25 mins, 1 hr 40 mins, 2 hrs 45 mins,10 ,2 loaves,10,378,20g,12g,75mg,295mg,46g,2g,23g,6g,0mg,40mg,2mg,93mg,4.7,64
10,6584625,Blueberry Turnovers,10 mins,15 mins,5 mins,30 mins,8 ,8 turnovers,8,159,7g,2g,,233mg,21g,0g,11g,2g,1mg,1mg,1mg,9mg,4.5,129
11,6600439,Juleskringle (Marzipan Christmas Kringle),50 mins,25 mins, 12 hrs 55 mins, 14 hrs 10 mins,15 ,1 loaf,15,397,20g,8g,39mg,214mg,49g,2g,18g,7g,0mg,72mg,2mg,158mg,4.7,29
12,6575787,Puff Pastry Bear Claws,30 mins,15 mins,15 mins, 1 hr,8 ,,8,354,22g,7g,90mg,88mg,30g,1g,12g,10g,0mg,78mg,2mg,241mg,5.0,3
