,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Yield:
0,6596950,10 mins, 1 hr 30 mins, 1 hr 40 mins,8 ,8,459,14g,4g,18mg,187mg,80g,5g,70g,9g,7mg,260mg,1mg,792mg,5.0,1,,
1,6736677,30 mins, 1 hr 20 mins, 1 hr 50 mins,6 ,6,832,35g,8g,134mg,1522mg,79g,5g,5g,48g,29mg,73mg,4mg,1021mg,4.3,160,,
2,6600620,20 mins,15 mins,35 mins,6 ,6,217,16g,2g,,406mg,16g,3g,4g,5g,26mg,39mg,2mg,215mg,4.6,112,,
3,6664957,10 mins,20 mins,40 mins,8 ,8,81,1g,0g,,891mg,14g,3g,1g,4g,12mg,20mg,1mg,218mg,3.8,5,10 mins,
4,6648409,20 mins,55 mins, 1 hr 15 mins,8 ,8,60,3g,0g,,30mg,7g,1g,2g,1g,4mg,18mg,1mg,82mg,5.0,2,,8 bhajis
5,6664923,15 mins, 2 hrs, 4 hrs 15 mins,6 ,6,390,22g,10g,48mg,420mg,37g,16g,3g,13g,8mg,111mg,7mg,757mg,4.5,82, 2 hrs,6 servings
6,6601512,30 mins,20 mins,50 mins,20 ,20,144,8g,3g,10mg,40mg,17g,0g,16g,2g,1mg,74mg,0mg,107mg,3.7,47,,20 balls
7,6582933,20 mins,30 mins,50 mins,30 ,30,105,7g,3g,12mg,135mg,7g,0g,0g,3g,8mg,6mg,1mg,54mg,4.1,45,,30 samosas
8,6571844,25 mins, 1 hr, 1 hr 25 mins,8 ,8,544,25g,9g,43mg,429mg,64g,5g,8g,17g,71mg,92mg,3mg,539mg,4.5,37,,8 servings
9,6737341,10 mins,45 mins, 2 hrs 55 mins,8 ,8,324,18g,3g,6mg,233mg,37g,1g,23g,6g,1mg,123mg,1mg,182mg,4.0,1, 2 hrs,8 servings
10,6736933,5 mins,15 mins, 2 hrs 20 mins,6 ,6,215,11g,3g,94mg,93mg,2g,1g,0g,26g,3mg,31mg,2mg,267mg,4.5,41, 2 hrs,6 servings
11,6741830,5 mins,20 mins, 1 hr 25 mins,6 ,6,194,9g,4g,22mg,108mg,23g,1g,21g,7g,1mg,220mg,0mg,342mg,4.8,9, 1 hr,3 cups
12,6736641,15 mins,,15 mins,4 ,4,25,1g,0g,,8mg,3g,1g,1g,1g,35mg,15mg,1mg,144mg,4.6,52,,4 servings
13,6570247,15 mins,20 mins, 3 hrs 35 mins,4 ,4,147,3g,1g,65mg,1966mg,3g,0g,1g,24g,7mg,27mg,1mg,266mg,4.5,54, 3 hrs,4 servings
14,6739734,20 mins,, 8 hrs 20 mins,24 ,24,139,7g,6g,9mg,67mg,16g,0g,15g,3g,1mg,87mg,0mg,107mg,4.6,120, 8 hrs,1 9x13 inch baking dish
15,6598893,20 mins,30 mins, 2 hrs 30 mins,12 ,12,252,5g,3g,26mg,424mg,43g,2g,3g,8g,0mg,18mg,3mg,86mg,4.4,12, 1 hr 40 mins,12 naan breads
16,6585011,5 mins,15 mins,20 mins,2 ,2,194,15g,2g,,1334mg,13g,4g,4g,3g,13mg,100mg,2mg,295mg,,,,
17,6580158,20 mins,35 mins, 1 hr 25 mins,12 ,12,216,10g,6g,33mg,72mg,26g,0g,21g,6g,1mg,163mg,0mg,136mg,4.5,16,30 mins,12 dumplings
18,6581198,5 mins,30 mins,35 mins,8 ,8,323,21g,12g,52mg,13mg,33g,1g,28g,3g,0mg,49mg,1mg,49mg,4.6,19,,8 servings
19,6565996,20 mins,7 mins, 1 hr 42 mins,4 ,4,217,7g,3g,11mg,419mg,28g,3g,21g,11g,38mg,173mg,1mg,488mg,,, 1 hr 15 mins,4 servings
20,6739873,20 mins,50 mins, 1 hr 10 mins,4 ,4,314,14g,2g,,274mg,44g,8g,3g,7g,32mg,70mg,4mg,782mg,4.5,50,,4 servings
21,6573708,5 mins,10 mins,45 mins,24 ,24,138,9g,5g,22mg,7mg,13g,1g,8g,2g,,4mg,0mg,69mg,5.0,6,30 mins,2 dozen
22,6584410,25 mins,45 mins, 1 hr 25 mins,6 ,6,457,5g,1g,,14mg,93g,15g,2g,16g,58mg,69mg,5mg,912mg,,,15 mins,6 parathas
23,6597901,10 mins,17 mins, 1 hr 17 mins,12 ,12,187,5g,1g,3mg,45mg,36g,0g,35g,1g,0mg,42mg,0mg,59mg,5.0,2,50 mins,12 gulab
24,6581423,30 mins,30 mins,1 day 1 hr,6 ,6,293,16g,8g,124mg,115mg,5g,2g,1g,33g,24mg,57mg,2mg,401mg,4.4,20,1 day,6 servings
25,6599392,15 mins,30 mins,45 mins,12 ,12,284,18g,11g,46mg,15mg,32g,0g,31g,1g,0mg,43mg,0mg,104mg,3.3,3,,12 servings
26,6604548,15 mins,50 mins, 1 hr 5 mins,4 ,4,207,10g,3g,8mg,641mg,26g,4g,5g,4g,30mg,73mg,3mg,571mg,5.0,1,,4 servings
27,6569288,15 mins,35 mins, 1 hr 50 mins,20 ,20,134,2g,1g,6mg,32mg,29g,,28g,2g,1mg,89mg,,115mg,4.8,5, 1 hr,20 rasgullas
28,6588275,10 mins,20 mins,30 mins,16 ,16,646,9g,5g,18mg,25mg,135g,3g,89g,9g,0mg,33mg,1mg,164mg,3.0,2,,16 servings
29,6590721,5 mins, 1 hr, 1 hr 5 mins,4 ,4,556,36g,11g,206mg,154mg,48g,0g,47g,13g,2mg,244mg,1mg,374mg,4.6,5,,4 servings
30,6567088,20 mins,10 mins,30 mins,20 ,20,126,8g,3g,,19mg,13g,3g,2g,2g,28mg,34mg,1mg,141mg,,,,20 patties
31,6579856,25 mins,25 mins, 6 hrs 50 mins,4 ,4,332,6g,2g,6mg,71mg,52g,21g,6g,19g,16mg,89mg,6mg,996mg,4.5,12, 6 hrs,4 servings
32,6663331,10 mins,30 mins,40 mins,4 ,4,435,24g,9g,34mg,975mg,25g,4g,9g,31g,67mg,189mg,1mg,667mg,4.3,12,,4 servings
33,6604349,5 mins,30 mins,35 mins,8 ,8,300,15g,8g,33mg,32mg,41g,2g,28g,3g,0mg,14mg,1mg,127mg,4.0,2,,8 servings
34,6594966,5 mins,45 mins, 1 hr 50 mins,4 ,4,439,20g,10g,42mg,92mg,63g,1g,55g,5g,0mg,111mg,1mg,198mg,3.0,1, 1 hr,4 servings
35,6593799,45 mins,40 mins, 1 hr 25 mins,8 ,8,336,18g,2g,,1024mg,35g,3g,5g,9g,23mg,54mg,4mg,274mg,4.7,6,,10 cups
36,6595216,30 mins,30 mins, 2 hrs,18 ,18,258,15g,4g,21mg,346mg,24g,2g,2g,8g,14mg,21mg,2mg,307mg,4.5,243, 1 hr,18 samosas
37,6602503,25 mins,45 mins, 1 hr 10 mins,24 ,24,163,10g,2g,25mg,213mg,11g,1g,0g,8g,1mg,17mg,2mg,110mg,4.2,42,,2 dozen
38,6650295,30 mins,35 mins, 1 hr 35 mins,16 ,16,315,19g,4g,,396mg,33g,4g,1g,5g,13mg,26mg,2mg,325mg,4.6,40,30 mins,32 samosas
39,6577254,20 mins, 1 hr, 1 hr 25 mins,6 ,6,243,7g,1g,0mg,176mg,40g,5g,4g,7g,26mg,56mg,2mg,582mg,4.2,16,5 mins,1 9-inch pie
40,6601737,25 mins,40 mins, 1 hr 20 mins,24 ,24,94,4g,1g,13mg,154mg,10g,1g,1g,5g,2mg,14mg,1mg,77mg,4.0,4,15 mins,24 samosas
41,6585164,,,,10 ,10,649,54g,10g,38mg,318mg,28g,1g,1g,13g,12mg,30mg,3mg,201mg,3.9,23,,10 servings
42,6591764,50 mins,20 mins, 1 hr 40 mins,16 ,16,137,6g,1g,,130mg,19g,2g,1g,3g,6mg,17mg,2mg,145mg,4.6,5,30 mins,16 samosas
43,6562414, 1 hr,10 mins, 1 hr 10 mins,8 ,8,303,15g,2g,,50mg,40g,4g,7g,4g,36mg,29mg,2mg,573mg,3.0,1,,8 samosas
44,6575594,30 mins,25 mins,55 mins,16 ,16,461,37g,8g,26mg,303mg,30g,2g,9g,5g,12mg,42mg,2mg,218mg,4.0,1,,16 samosas
45,6588531,20 mins,25 mins,45 mins,4 ,4,169,3g,1g,7mg,332mg,31g,2g,2g,5g,1mg,36mg,2mg,152mg,4.0,27,,20 samosas
46,6571272,15 mins,30 mins,45 mins,8 ,8,322,16g,4g,,279mg,39g,4g,1g,6g,4mg,11mg,2mg,61mg,4.0,2,,8 servings
