,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Yield:
0,7481614,15 mins,15 mins,30 mins,8 servings,8,462,31g,11g,66mg,893mg,29g,3g,1g,16g,2mg,170mg,2mg,318mg,,,,
1,6649019,40 mins,25 mins, 1 hr 10 mins,15 ,15,168,11g,3g,23mg,288mg,11g,1g,1g,7g,3mg,20mg,1mg,142mg,4.8,508,5 mins,30 lumpia
2,6649166,25 mins,15 mins,40 mins,8 ,8,334,21g,5g,40mg,220mg,23g,2g,1g,14g,7mg,56mg,2mg,240mg,4.4,714,,8 egg rolls
3,6648864,10 mins,30 mins, 4 hrs 40 mins,5 ,5,419,31g,7g,29mg,575mg,22g,3g,1g,14g,8mg,186mg,2mg,230mg,4.8,"1,597", 4 hrs,
4,6581074,5 mins,,5 mins,4 ,4,11,0g,,,677mg,2g,0g,0g,1g,0mg,4mg,0mg,38mg,3.7,55,,
5,6663768, 1 hr,5 mins, 1 hr 25 mins,12 ,12,132,5g,1g,45mg,225mg,14g,1g,1g,7g,1mg,19mg,1mg,82mg,4.7,19,20 mins,24 spring rolls
6,6650487, 1 hr,30 mins, 2 hrs 30 mins,20 ,20,169,7g,1g,46mg,315mg,16g,3g,2g,10g,17mg,38mg,1mg,232mg,4.7,243, 1 hr,20 egg rolls
7,6573177,40 mins,35 mins, 1 hr 25 mins,24 ,24,133,9g,5g,28mg,330mg,6g,0g,1g,7g,3mg,87mg,1mg,93mg,4.6,8,10 mins,24 egg rolls
8,6606355,15 mins,5 mins,35 mins,8 ,8,89,4g,1g,23mg,82mg,11g,0g,0g,2g,,5mg,1mg,23mg,3.7,64,15 mins,8 wrappers
9,6650079,10 mins,20 mins,30 mins,4 ,4,509,41g,11g,74mg,1941mg,17g,2g,0g,18g,41mg,83mg,2mg,535mg,4.6,38,,
10,6596271,30 mins,25 mins,55 mins,16 ,16,267,16g,3g,21mg,577mg,22g,2g,3g,9g,27mg,52mg,2mg,253mg,4.6,191,,16 egg rolls
11,6596614,35 mins,15 mins,55 mins,20 ,20,112,3g,1g,8mg,155mg,16g,1g,0g,4g,1mg,15mg,1mg,52mg,5.0,1,5 mins,
12,6649309,25 mins,25 mins,50 mins,15 ,15,189,8g,3g,29mg,369mg,19g,1g,1g,10g,1mg,74mg,2mg,117mg,4.3,54,,15 egg rolls
