,id_recipe,Prep Time:,Additional Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Calcium,Iron,Potassium,Average_Review,Review_Count,Cholesterol,Vitamin C,Cook Time:
0,6740913,15 mins, 1 hr, 1 hr 15 mins,24 ,2 dozen bites,24,94,5g,1g,28mg,11g,2g,6g,3g,14mg,1mg,94mg,4.8,685,,,
1,6663973,10 mins,30 mins,40 mins,10 ,,10,188,10g,2g,68mg,22g,3g,13g,6g,30mg,1mg,144mg,4.9,172,0mg,0mg,
2,6581203,10 mins,30 mins,40 mins,20 ,20 balls,20,114,7g,2g,32mg,13g,2g,8g,3g,19mg,1mg,107mg,4.8,220,,0mg,
3,6573561,20 mins, 2 hrs, 2 hrs 20 mins,45 ,45 balls,45,86,4g,1g,5mg,11g,1g,8g,2g,10mg,1mg,98mg,5.0,1,,0mg,
4,6585618,15 mins,30 mins,45 mins,24 ,24 energy balls,24,148,10g,2g,50mg,13g,2g,6g,5g,14mg,1mg,130mg,4.5,23,,0mg,
5,6591903,15 mins,,15 mins,30 ,30 bites,30,146,8g,3g,55mg,16g,3g,8g,6g,19mg,1mg,126mg,4.7,23,6mg,0mg,
6,6738273,10 mins,15 mins,30 mins,16 ,16 chokladbollar,16,131,9g,7g,27mg,13g,2g,7g,2g,7mg,1mg,64mg,4.9,9,8mg,0mg,5 mins
7,6664093,15 mins,,25 mins,12 ,12 2-inch balls,12,119,7g,1g,41mg,15g,2g,,2g,,,144mg,5.0,3,,,10 mins
8,6596885,15 mins,,15 mins,12 ,12 servings,12,169,9g,1g,44mg,19g,2g,8g,6g,18mg,1mg,202mg,4.6,47,,0mg,
9,6587881,15 mins, 1 hr 30 mins, 6 hrs 45 mins,24 ,24 servings,24,217,12g,6g,35mg,24g,2g,14g,5g,23mg,1mg,212mg,4.6,5,,0mg, 5 hrs
10,6598787,10 mins,20 mins,30 mins,20 ,20 1-inch balls,20,109,7g,2g,47mg,11g,1g,7g,3g,9mg,1mg,104mg,4.8,14,0mg,0mg,
11,6594952,15 mins, 1 hr, 1 hr 15 mins,12 ,,12,102,6g,1g,30mg,10g,2g,6g,3g,10mg,0mg,69mg,4.7,3,0mg,,
12,6587722,20 mins,30 mins,50 mins,18 ,18 balls,18,229,14g,3g,66mg,26g,4g,14g,5g,62mg,2mg,207mg,4.8,6,,0mg,
13,6570860,15 mins,15 mins,30 mins,34 ,34 energy balls,34,240,16g,6g,58mg,22g,4g,11g,7g,25mg,1mg,222mg,4.4,8,,0mg,
14,6575230,15 mins,,15 mins,12 ,1 dozen energy balls,12,144,8g,3g,52mg,17g,3g,9g,5g,13mg,1mg,190mg,4.7,80,,0mg,
