,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Yield:
0,6650657,15 mins,15 mins,30 mins,6 ,6,964,61g,37g,184mg,582mg,84g,4g,4g,24g,0mg,303mg,3mg,285mg,4.6,"2,272",,
1,6649182,5 mins,15 mins,20 mins,8 ,8,294,11g,6g,26mg,135mg,41g,2g,2g,9g,,51mg,2mg,113mg,4.6,146,,
2,6591131,10 mins,15 mins,25 mins,4 ,4,791,44g,26g,245mg,723mg,46g,3g,3g,53g,5mg,150mg,4mg,813mg,4.5,246,,
3,6737986,20 mins,20 mins,40 mins,6 ,6,440,11g,6g,172mg,281mg,58g,3g,3g,29g,4mg,148mg,5mg,350mg,4.5,904,,
4,6648995,15 mins,25 mins,40 mins,6 ,6,311,22g,11g,53mg,286mg,20g,2g,4g,8g,4mg,112mg,2mg,404mg,4.8,298,,
5,6593113,10 mins,25 mins,35 mins,6 ,6,614,29g,12g,166mg,750mg,65g,3g,5g,26g,5mg,172mg,3mg,469mg,4.5,539,,
6,6737400,15 mins,15 mins,30 mins,8 ,8,398,14g,7g,40mg,520mg,50g,3g,7g,20g,4mg,181mg,3mg,333mg,4.2,246,,
7,6739401,5 mins,15 mins,20 mins,6 ,6,663,51g,27g,156mg,859mg,34g,2g,1g,18g,1mg,133mg,1mg,148mg,4.6,372,,
8,6579326,15 mins,15 mins,35 mins,4 ,4,350,13g,3g,21mg,192mg,47g,4g,3g,15g,24mg,158mg,3mg,295mg,4.0,76,5 mins,
9,6737857,15 mins,30 mins,45 mins,6 ,6,695,37g,22g,193mg,1054mg,62g,4g,3g,32g,20mg,275mg,5mg,532mg,4.7,"1,254",,
10,6738522,20 mins,25 mins,45 mins,8 ,8,673,31g,19g,133mg,1386mg,57g,3g,8g,43g,7mg,283mg,3mg,732mg,4.5,"1,858",,
11,6664199,15 mins,20 mins,35 mins,8 ,8,497,14g,8g,158mg,751mg,53g,3g,1g,38g,4mg,236mg,5mg,504mg,4.6,258,,
12,6576394,25 mins, 1 hr 35 mins, 2 hrs,16 ,16,274,22g,11g,57mg,442mg,15g,1g,1g,5g,2mg,50mg,1mg,141mg,4.8,92,,
13,6736777,10 mins,20 mins,30 mins,4 ,4,641,35g,17g,156mg,502mg,47g,3g,5g,36g,5mg,76mg,3mg,681mg,4.6,"2,787",,4 servings
14,6650912,5 mins,10 mins,15 mins,4 ,4,392,20g,10g,36mg,205mg,44g,3g,2g,11g,3mg,137mg,2mg,180mg,4.3,33,,4 servings
15,6605603,15 mins, 1 hr 15 mins, 1 hr 30 mins,8 ,8,490,23g,13g,122mg,682mg,49g,3g,6g,24g,14mg,296mg,3mg,446mg,4.7,144,,8 servings
16,6595934,5 mins,15 mins,20 mins,4 ,4,901,41g,15g,89mg,1315mg,100g,7g,9g,39g,7mg,76mg,5mg,532mg,4.4,108,,
17,6579760,10 mins,35 mins,45 mins,4 ,4,544,23g,10g,217mg,552mg,48g,3g,3g,39g,5mg,399mg,5mg,584mg,4.5,34,,4 servings
18,6594359,,,,4 ,4,923,46g,27g,228mg,1093mg,71g,5g,5g,49g,101mg,98mg,2mg,658mg,4.5,431,,4 servings
19,6601015,20 mins, 1 hr 20 mins, 1 hr 50 mins,6 ,6,519,23g,12g,60mg,316mg,65g,4g,6g,15g,8mg,165mg,3mg,373mg,5.0,8,10 mins,6 servings
20,6739845,20 mins,20 mins,40 mins,4 ,4,645,43g,25g,151mg,355mg,40g,4g,5g,28g,76mg,134mg,3mg,622mg,4.3,425,,4 servings
21,6605586,15 mins,20 mins,35 mins,8 ,8,395,18g,9g,133mg,450mg,42g,2g,2g,18g,3mg,144mg,2mg,219mg,4.2,167,,
22,6592394, 1 hr,30 mins, 5 hrs 30 mins,6 ,6,1141,72g,31g,491mg,1476mg,70g,3g,11g,56g,13mg,412mg,4mg,545mg,4.7,3, 4 hrs,6 servings
23,6579285,,,,5 ,5,579,33g,9g,91mg,115mg,60g,6g,5g,12g,8mg,50mg,4mg,339mg,4.3,204,,4 to 6 servings
24,6582016,5 mins,15 mins,20 mins,4 ,4,821,46g,28g,126mg,399mg,86g,4g,4g,20g,0mg,113mg,4mg,330mg,4.1,156,,4 servings
25,6568126,5 mins,10 mins,15 mins,8 ,8,516,32g,18g,106mg,458mg,43g,2g,2g,17g,8mg,163mg,2mg,229mg,4.2,57,,8 servings
26,6592582,15 mins,20 mins,35 mins,6 ,6,310,6g,1g,16mg,326mg,50g,4g,7g,16g,19mg,89mg,11mg,553mg,4.5,24,,6 servings
