,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Rest Time:,Yield:,Additional Time:,Cool Time:,Refrigerate Time:
0,7966411,PB&J Stuffed French Toast,10 mins,8 mins,18 mins,4 ,4,840,50g,25g,370mg,816mg,79g,3g,22g,22g,0mg,124mg,5mg,358mg,,,,,,,
1,7112447,Croissant French Toast,10 mins,15 mins, 8 hrs 25 mins,4 ,4,436,27g,15g,211mg,686mg,36g,2g,,11g,,,,176mg,5.0,2, 8 hrs,,,,
2,6664040,French Toast,5 mins,10 mins,15 mins,3 ,3,240,6g,2g,128mg,478mg,34g,2g,6g,11g,0mg,174mg,3mg,190mg,4.6,"2,131",,6 slices,,,
3,6648752,Fluffy French Toast,10 mins,20 mins,30 mins,12 ,12,123,3g,1g,48mg,230mg,19g,1g,3g,5g,,77mg,2mg,81mg,4.6,"4,614",,,,,
4,6663400,Overnight Blueberry French Toast,15 mins,55 mins, 9 hrs 40 mins,10 ,10,485,25g,13g,279mg,451mg,52g,1g,33g,15g,3mg,180mg,3mg,282mg,4.5,"2,282",,1 9x13-inch casserole, 8 hrs 30 mins,,
5,6664362,Best Oven Baked French Toast,10 mins,30 mins, 8 hrs 40 mins,8 ,8,343,17g,9g,171mg,421mg,41g,1g,23g,8g,0mg,124mg,2mg,145mg,4.4,218,,1 9x13-inch casserole, 8 hrs,,
6,7372061,Cinnamon Apple Baked French Toast,10 mins,50 mins, 1 hr 10 mins,12 ,12,304,14g,2g,115mg,329mg,34g,4g,10g,11g,1mg,115mg,2mg,260mg,,,,,,10 mins,
7,7113436,Chicken Leg Toast,20 mins, 1 hr 10 mins, 2 hrs 30 mins,2 ,2,691,38g,18g,351mg,2946mg,54g,2g,,36g,,,,514mg,5.0,1,,,,, 1 hr
8,6592800,French Toast without Milk,5 mins,20 mins,25 mins,2 ,2,289,13g,6g,201mg,412mg,33g,2g,9g,10g,,111mg,3mg,126mg,4.6,16,,,,,
9,6649488,Crème Brûlée French Toast,20 mins,40 mins, 9 hrs,6 ,6,510,27g,16g,218mg,359mg,59g,1g,39g,10g,1mg,133mg,2mg,221mg,4.6,"1,042",,1 9x13-inch casserole, 8 hrs,,
10,6568859,French Toast for One,10 mins,5 mins,15 mins,1 ,1,481,21g,4g,169mg,790mg,61g,2g,30g,12g,0mg,223mg,4mg,297mg,4.0,8,,1 serving,,,
11,6592496,Best Brioche French Toast,15 mins,20 mins,35 mins,4 ,4,732,37g,15g,339mg,721mg,80g,2g,33g,21g,0mg,159mg,1mg,273mg,4.6,77,,,,,
12,6663689,Eggnog French Toast,15 mins,10 mins,25 mins,6 ,6,158,7g,3g,100mg,155mg,19g,1g,6g,6g,1mg,117mg,1mg,156mg,4.3,135,,,,,
13,6588837,Sweet French Toast,5 mins,20 mins,30 mins,4 ,4,255,6g,2g,141mg,417mg,41g,2g,15g,9g,1mg,128mg,3mg,155mg,4.5,38,,8 slices,5 mins,,
14,6588481,Air Fryer French Toast,5 mins,,15 mins,4 ,4,145,7g,3g,102mg,234mg,15g,1g,3g,6g,0mg,82mg,1mg,94mg,4.2,9,,4 slices,10 mins,,
15,6585057,Eggless French Toast,5 mins,20 mins,25 mins,4 ,4,112,3g,2g,8mg,203mg,17g,1g,4g,4g,0mg,121mg,1mg,123mg,3.6,26,,4 slices,,,
16,6650181,Cinnamon-Accented French Toast,5 mins,10 mins,15 mins,6 ,6,109,3g,1g,93mg,302mg,15g,1g,3g,5g,,55mg,1mg,60mg,4.6,67,,6 slices,,,
17,6589153,French Toast Sticks,10 mins,10 mins,20 mins,18 ,18,52,1g,0g,21mg,66mg,10g,0g,6g,1g,,22mg,0mg,26mg,4.7,15,,18 sticks,,,
18,6583246,Banana Bread French Toast,5 mins,10 mins,15 mins,4 ,4,544,24g,9g,208mg,336mg,73g,2g,50g,11g,2mg,82mg,2mg,255mg,4.5,60,,4 servings,,,
19,6571972,Savory Parmesan French Toast,10 mins,5 mins,15 mins,4 ,4,204,11g,5g,201mg,333mg,13g,2g,3g,13g,0mg,151mg,2mg,173mg,4.6,10,,,,,
20,6573194,Panettone French Toast,5 mins,10 mins,15 mins,1 ,1,346,22g,10g,224mg,293mg,31g,2g,16g,10g,0mg,126mg,2mg,232mg,5.0,10,,1 slice,,,
21,6598427,Make Ahead French Toast,15 mins,45 mins, 14 hrs 10 mins,8 ,8,503,29g,12g,162mg,347mg,52g,2g,33g,11g,1mg,153mg,2mg,293mg,4.6,506,,8 servings, 13 hrs 10 mins,,
22,6576270,Deep Fried French Toast,10 mins,10 mins,20 mins,4 ,4,895,55g,10g,289mg,756mg,75g,3g,14g,25g,0mg,218mg,5mg,407mg,4.5,32,,8 pieces,,,
23,6739309,Stuffed French Toast,15 mins,10 mins,25 mins,4 ,4,531,22g,11g,272mg,577mg,66g,2g,35g,17g,,74mg,2mg,141mg,4.6,167,,,,,
24,6737183,Caramelized French Toast,10 mins,20 mins,30 mins,8 ,8,248,11g,5g,156mg,312mg,31g,1g,20g,7g,,93mg,2mg,124mg,4.2,264,,8 servings,,,
25,6737457,Peanut Butter and Banana French Toast,10 mins,5 mins,15 mins,2 ,2,346,23g,10g,124mg,362mg,28g,3g,9g,10g,4mg,64mg,2mg,349mg,4.4,380,,,,,
26,6575972,Reduced Fat French Toast,5 mins,10 mins,15 mins,6 ,6,77,1g,0g,1mg,153mg,12g,2g,3g,5g,0mg,69mg,1mg,131mg,4.1,21,,6 servings,,,
27,6736936,Chef John's French Toast,10 mins,20 mins,30 mins,6 ,6,199,5g,2g,69mg,396mg,30g,2g,3g,9g,0mg,59mg,2mg,123mg,4.7,255,,6 servings,,,
28,6663139,Air Fryer French Toast Sticks,10 mins,10 mins,20 mins,12 ,12,48,2g,1g,34mg,78mg,5g,0g,1g,2g,,27mg,1mg,31mg,4.4,21,,12 sticks,,,
29,6736381,Nutella®-Stuffed French Toast,10 mins,5 mins,15 mins,2 ,2,296,13g,3g,95mg,296mg,40g,4g,18g,11g,0mg,49mg,2mg,80mg,4.7,45,,2 servings,,,
30,6600884,Grandma's Peach French Toast, 9 hrs,45 mins, 9 hrs 45 mins,8 ,8,362,15g,8g,147mg,276mg,51g,2g,38g,7g,4mg,60mg,2mg,242mg,4.5,354,,8 servings,,,
31,6568452,Easy French Toast,5 mins,10 mins,15 mins,2 ,2,163,5g,2g,100mg,243mg,20g,2g,6g,8g,0mg,193mg,2mg,214mg,2.8,233,,2 servings,,,
32,6604692,Peanut Butter French Toast,10 mins,10 mins,20 mins,2 ,2,573,33g,8g,284mg,619mg,48g,3g,21g,23g,0mg,204mg,4mg,454mg,4.3,125,,2 servings,,,
33,6584483,Chocolate French Toast,10 mins,15 mins,25 mins,8 ,8,190,4g,2g,95mg,299mg,33g,2g,19g,7g,0mg,96mg,2mg,159mg,4.2,82,,8 slices french toast,,,
34,6601909,Ultimate French Toast,10 mins,10 mins,20 mins,4 ,4,209,7g,2g,187mg,414mg,26g,1g,3g,10g,,112mg,3mg,129mg,4.5,279,,4 servings,,,
35,6599153,Overnight Apple Cinnamon French Toast,20 mins, 1 hr 30 mins, 15 hrs,15 ,15,375,13g,7g,101mg,370mg,61g,2g,23g,6g,1mg,116mg,2mg,177mg,4.5,378,,1 - 9x13 inch pan, 13 hrs 10 mins,,
36,6737526,Orange Pecan French Toast,20 mins,35 mins, 1 hr 55 mins,12 ,12,235,9g,4g,45mg,166mg,36g,1g,25g,5g,11mg,47mg,1mg,141mg,4.6,428,,, 1 hr,,
37,6576898,French Toast II,10 mins,25 mins,35 mins,4 ,4,341,9g,3g,190mg,603mg,52g,3g,16g,14g,0mg,220mg,4mg,234mg,4.4,553,,12 slices,,,
38,6575980,Simple French Toast in a Cup,5 mins,5 mins,10 mins,1 ,1,345,19g,10g,221mg,518mg,30g,2g,7g,12g,0mg,183mg,3mg,216mg,3.9,44,,1 serving,,,
39,6572752,Oven-Baked Caramel French Toast, 9 hrs,40 mins, 10 hrs,8 ,8,615,33g,14g,189mg,527mg,73g,3g,46g,12g,0mg,145mg,3mg,287mg,4.4,227,,8 servings,20 mins,,
40,6739498,Pain Perdu,15 mins,10 mins,25 mins,4 ,4,360,19g,11g,109mg,274mg,39g,1g,13g,8g,0mg,107mg,2mg,150mg,3.4,13,,,,,
41,6599022,Buttermilk French Toast with Maple Syrup,15 mins,10 mins,25 mins,4 ,4,361,4g,1g,95mg,291mg,75g,1g,60g,7g,1mg,121mg,2mg,146mg,4.3,8,,4 servings,,,
42,6738688,Strawberry Cheesecake French Toast,20 mins,20 mins,40 mins,8 ,8,436,21g,12g,195mg,329mg,53g,1g,37g,10g,24mg,133mg,2mg,230mg,4.8,226,,8 servings,,,
43,6736456,French Egg and Bacon Sandwich,5 mins,15 mins,20 mins,2 ,2,738,37g,12g,410mg,954mg,79g,1g,50g,23g,,185mg,5mg,461mg,4.4,143,,2 servings,,,
44,6739368,Mascarpone Stuffed French Toast with Peaches,35 mins,25 mins, 1 hr,8 ,8,457,20g,10g,180mg,92mg,56g,1g,26g,13g,43mg,109mg,3mg,171mg,4.8,92,,8 servings,,,
45,6564287,Overnight French Toast,10 mins,40 mins, 8 hrs 50 mins,10 ,10,276,11g,5g,169mg,420mg,32g,1g,5g,13g,1mg,121mg,2mg,210mg,4.0,6,,1 9x13-inch baking dish, 8 hrs,,
46,6593060,Pumpkin Pie French Toast,15 mins,15 mins,30 mins,4 ,4,284,14g,4g,151mg,443mg,30g,3g,3g,11g,1mg,145mg,3mg,208mg,4.5,132,,,,,
47,6581315,Easy Baked Banana French Toast,15 mins,35 mins,50 mins,6 ,6,405,18g,8g,274mg,520mg,47g,3g,19g,15g,4mg,209mg,3mg,405mg,4.3,29,,,,,
48,6580938,Overnight French Toast II,20 mins,45 mins, 1 hr 5 mins,5 ,5,723,27g,15g,241mg,947mg,104g,2g,51g,20g,0mg,195mg,5mg,357mg,4.5,278,,4 to 6 servings,,,
49,6602141,French Toast Waffles,5 mins,20 mins,25 mins,6 ,6,123,3g,1g,64mg,354mg,20g,0g,3g,5g,0mg,138mg,1mg,92mg,4.1,144,,6 waffles,,,
50,6599782,Baked Caramel-Apple French Toast,40 mins, 1 hr, 15 hrs,12 ,12,361,11g,2g,94mg,385mg,57g,3g,33g,10g,3mg,97mg,2mg,238mg,4.5,151,,18 pieces, 13 hrs 20 mins,,
51,6603850,Pumpkin French Toast,10 mins,15 mins,25 mins,4 ,4,238,9g,3g,191mg,390mg,26g,5g,4g,14g,1mg,98mg,3mg,243mg,4.5,81,,4 servings,,,
52,6579897,Skiers' French Toast,10 mins,55 mins, 9 hrs 5 mins,8 ,8,444,17g,9g,150mg,614mg,62g,1g,33g,10g,0mg,183mg,3mg,210mg,4.4,85,,, 8 hrs,,
53,6592162,Gingerbread French Toast,10 mins,6 mins,16 mins,4 ,4,162,7g,3g,103mg,820mg,18g,1g,6g,6g,0mg,91mg,1mg,111mg,4.5,13,,4 slices,,,
54,6649997,Feta Cheese French Toast with Spiced Honey Syrup,20 mins,20 mins, 2 hrs 40 mins,2 ,2,953,52g,28g,321mg,1812mg,99g,3g,,27g,,,,297mg,5.0,1,,2 servings, 2 hrs,,
55,6569301,French Toast Corners,5 mins,10 mins,15 mins,6 ,6,140,5g,2g,69mg,204mg,17g,1g,3g,6g,0mg,90mg,1mg,103mg,4.5,171,,,,,
56,6576874,French Toast Soufflé,20 mins,30 mins, 9 hrs 20 mins,12 ,12,241,10g,5g,142mg,321mg,28g,1g,12g,10g,0mg,142mg,2mg,196mg,4.2,360,,1 9x13-inch soufflé, 8 hrs 30 mins,,
57,6597327,Vanilla Almond Spiced French Toast,10 mins,10 mins,20 mins,4 ,4,337,11g,4g,198mg,530mg,43g,2g,15g,15g,,264mg,3mg,315mg,4.7,15,,8 slices,,,
58,6651116,Raspberry Cheesecake Stuffed French Toast,20 mins,10 mins,30 mins,6 ,6,622,19g,10g,132mg,661mg,97g,4g,53g,16g,8mg,153mg,4mg,292mg,4.3,148,,6 servings,,,
59,6575243,Banana and Nutella French Toast,15 mins,10 mins,25 mins,2 ,2,563,28g,11g,219mg,552mg,63g,3g,31g,14g,5mg,146mg,3mg,394mg,4.4,9,,,,,
