,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Marinate Time:,Yield:,Additional Time:
0,7775399,25 mins,25 mins,50 mins,8 ,8,190,14g,2g,6mg,314mg,15g,1g,2g,2g,6mg,12mg,1mg,368mg,,,,,
1,7564469,15 mins,40 mins, 2 hrs 55 mins,4 ,4,1079,61g,28g,201mg,1509mg,78g,6g,8g,54g,41mg,603mg,5mg,1921mg,5.0,2, 2 hrs,,
2,7560981,5 mins,15 mins,20 mins,4 ,4,527,29g,5g,7mg,1253mg,61g,5g,2g,9g,20mg,101mg,2mg,1152mg,,,,,
3,6650966,5 mins,30 mins,35 mins,4 ,4,129,5g,1g,,230mg,19g,3g,1g,2g,22mg,16mg,4mg,466mg,4.8,148,,16 potato wedges,
4,6648804,10 mins,25 mins,35 mins,4 ,4,138,5g,1g,4mg,229mg,20g,3g,1g,4g,21mg,71mg,1mg,469mg,4.6,819,,,
5,6664092,10 mins,10 mins,50 mins,2 ,2,2087,220g,29g,,11mg,32g,4g,,4g,36mg,22mg,1mg,777mg,4.8,248,,,30 mins
6,6664543,10 mins,10 mins,20 mins,2 ,2,114,7g,1g,0mg,335mg,12g,2g,4g,1g,11mg,23mg,0mg,280mg,4.6,69,,,
7,6651199,15 mins,10 mins,25 mins,8 ,8,193,3g,0g,,751mg,38g,3g,1g,4g,10mg,15mg,1mg,444mg,4.5,893,,,
8,6663305,10 mins,25 mins, 1 hr,4 ,4,108,2g,0g,,247mg,20g,3g,1g,2g,22mg,14mg,1mg,479mg,4.8,50,,,25 mins
9,6569597,10 mins,5 mins,30 mins,4 ,4,498,33g,4g,,305mg,49g,4g,18g,4g,36mg,26mg,1mg,778mg,4.6,365,,,15 mins
10,6648674,5 mins,45 mins,50 mins,1 ,1,357,14g,2g,,27mg,55g,5g,5g,5g,33mg,23mg,1mg,1012mg,4.3,"1,783",,,
11,6664063,10 mins,20 mins,35 mins,4 ,4,120,10g,2g,0mg,307mg,10g,2g,3g,1g,9mg,19mg,0mg,224mg,4.6,228,,,5 mins
12,6649369,10 mins,40 mins, 1 hr 10 mins,4 ,4,388,14g,2g,,601mg,60g,7g,6g,7g,63mg,42mg,3mg,1360mg,4.7,492,,,20 mins
13,6576835,10 mins,20 mins,30 mins,4 ,4,282,8g,2g,3mg,134mg,48g,6g,2g,6g,55mg,34mg,4mg,1168mg,4.7,46,,,
14,6576174,10 mins,10 mins,20 mins,5 ,5,412,19g,3g,4mg,191mg,53g,5g,4g,8g,35mg,90mg,3mg,872mg,5.0,3,,,
15,6571490,20 mins,40 mins, 1 hr,4 ,4,481,18g,5g,13mg,365mg,69g,5g,3g,14g,27mg,230mg,4mg,1591mg,4.5,251,,,
16,6586545,15 mins,35 mins,50 mins,6 ,6,437,29g,4g,,9mg,41g,2g,2g,5g,75mg,142mg,5mg,,4.7,27,,,
17,6738380,10 mins, 1 hr, 1 hr 10 mins,4 ,4,187,7g,1g,,332mg,29g,3g,2g,3g,13mg,22mg,2mg,732mg,4.6,147,,,
18,6572854,15 mins,15 mins,30 mins,2 ,2,294,10g,4g,195mg,505mg,47g,4g,4g,18g,32mg,235mg,4mg,618mg,4.1,65,,,
19,6588308,30 mins, 1 hr, 1 hr 30 mins,6 ,6,545,28g,14g,60mg,367mg,62g,6g,6g,11g,1mg,10mg,0mg,92mg,4.3,40,,6 servings,
20,6598725,20 mins,20 mins, 9 hrs 10 mins,6 ,6,579,44g,6g,14mg,322mg,44g,3g,3g,6g,19mg,35mg,2mg,1020mg,5.0,9,,6 servings, 8 hrs 30 mins
21,6570551,5 mins,25 mins,30 mins,3 ,3,536,28g,13g,51mg,1361mg,57g,6g,0g,19g,,274mg,0mg,90mg,4.8,19,,3 servings,
22,6572117,15 mins,15 mins, 1 hr,4 ,4,97,1g,0g,,152mg,20g,3g,1g,2g,22mg,14mg,1mg,478mg,4.8,16,,4 servings,30 mins
23,6592673,10 mins,20 mins, 1 hr,4 ,4,226,8g,1g,1mg,552mg,36g,3g,1g,5g,12mg,41mg,2mg,839mg,5.0,2,,4 servings,30 mins
24,6569104,10 mins,40 mins,50 mins,4 ,4,427,15g,2g,,1827mg,69g,9g,5g,8g,78mg,63mg,4mg,1660mg,4.5,69,,4 servings,
25,6569740,10 mins,45 mins,55 mins,4 ,4,258,10g,2g,,159mg,38g,5g,2g,5g,43mg,31mg,2mg,915mg,4.6,39,,4 servings,
26,6579138,15 mins,30 mins,45 mins,6 ,6,156,1g,0g,,403mg,34g,3g,4g,4g,15mg,23mg,2mg,810mg,4.3,329,,6 servings,
27,6598524,10 mins,15 mins,25 mins,2 ,2,103,4g,1g,,248mg,16g,7g,3g,5g,48mg,189mg,2mg,693mg,,,,2 servings,
28,6574668,10 mins,35 mins,45 mins,6 ,6,431,26g,10g,36mg,1653mg,39g,3g,1g,12g,26mg,234mg,1mg,706mg,4.0,1,,,
29,6602486,15 mins,20 mins,35 mins,6 ,6,380,11g,2g,32mg,421mg,62g,6g,3g,9g,43mg,53mg,4mg,983mg,3.6,25,,6 servings,
30,6561595,15 mins,20 mins,55 mins,8 ,8,562,56g,13g,70mg,1420mg,4g,0g,1g,12g,2mg,15mg,1mg,210mg,4.7,21,,,20 mins
31,6568237,15 mins,20 mins,35 mins,4 ,4,102,0g,,,9mg,27g,5g,5g,2g,48mg,109mg,2mg,799mg,4.3,292,,,
32,6739390,15 mins, 1 hr, 1 hr 15 mins,4 ,4,203,7g,2g,6mg,9mg,34g,3g,1g,4g,12mg,27mg,2mg,774mg,5.0,22,,4 servings,
33,6591876,10 mins,22 mins,32 mins,4 ,4,92,4g,1g,,165mg,13g,2g,3g,1g,24mg,55mg,1mg,401mg,5.0,7,,,
34,6585385,15 mins,15 mins,30 mins,4 ,4,217,14g,3g,5mg,667mg,18g,2g,2g,6g,10mg,110mg,1mg,214mg,4.2,171,,4 servings,
35,6582104,5 mins,20 mins,25 mins,6 ,6,509,25g,11g,49mg,1484mg,52g,5g,2g,20g,1mg,329mg,1mg,301mg,4.2,26,,6 servings,
36,6596024,15 mins,45 mins, 1 hr,6 ,6,369,9g,1g,,399mg,66g,8g,3g,8g,73mg,47mg,7mg,1578mg,4.7,54,,6 servings,
37,6586952,15 mins,15 mins, 1 hr,4 ,4,397,12g,2g,4mg,539mg,65g,8g,3g,9g,74mg,102mg,8mg,1570mg,4.3,4,,,30 mins
38,6663767,5 mins,12 mins,17 mins,2 ,2,196,9g,2g,,615mg,28g,2g,,3g,,,,457mg,4.3,3,,,
39,6581681,10 mins,30 mins, 1 hr 10 mins,1 ,1,150,0g,,,166mg,33g,3g,,4g,,0mg,,,3.8,6,,1 serving,30 mins
40,6594897,15 mins,30 mins,45 mins,4 ,4,142,7g,3g,95mg,284mg,10g,3g,5g,12g,40mg,233mg,2mg,690mg,4.2,37,,,
41,6568101,20 mins,30 mins, 2 hrs,2 ,2,465,6g,1g,62mg,1006mg,62g,4g,1g,38g,25mg,67mg,4mg,1192mg,3.0,1,,, 1 hr 10 mins
42,6573379,10 mins,15 mins,25 mins,3 ,3,189,5g,1g,,234mg,35g,5g,11g,3g,4mg,51mg,3mg,530mg,4.5,2,,3 servings,
43,6575199,10 mins,15 mins,25 mins,2 ,2,105,3g,0g,,485mg,19g,1g,1g,2g,6mg,14mg,1mg,444mg,5.0,1,,2 servings,
44,6581194,15 mins,30 mins,45 mins,4 ,4,322,16g,5g,18mg,899mg,34g,5g,3g,12g,33mg,255mg,2mg,786mg,4.8,23,,4 servings,
