,id_recipe,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count
0,6582418,15 mins, 2 hrs 20 mins,5 mins, 2 hrs 40 mins,10 ,1 8-inch cake,10,588,19g,10g,76mg,621mg,99g,2g,38g,7g,0mg,159mg,2mg,130mg,4.8,65
1,6649648,20 mins, 1 hr 30 mins,, 1 hr 50 mins,16 ,2 9-inch round cakes,16,598,24g,15g,61mg,284mg,93g,1g,,4g,3mg,128mg,4mg,820mg,4.4,103
2,6596143,10 mins, 1 hr,, 1 hr 10 mins,8 ,1 6-inch cake,8,348,13g,8g,55mg,368mg,56g,1g,18g,5g,1mg,125mg,2mg,288mg,3.5,2
3,6594628, 1 hr, 4 hrs 30 mins,30 mins, 6 hrs,40 ,1 to 3 - tiered wedding cake,40,451,15g,7g,86mg,177mg,80g,4g,40g,6g,1mg,90mg,2mg,532mg,4.8,35
4,6595455,15 mins, 1 hr 30 mins,, 1 hr 45 mins,12 ,1 - 9x5 inch loaf,12,506,13g,8g,62mg,431mg,97g,3g,17g,4g,0mg,79mg,2mg,135mg,4.6,27
5,6584090,35 mins, 2 hrs, 8 hrs, 10 hrs 35 mins,36 ,3 loaves,36,369,20g,8g,68mg,102mg,46g,2g,31g,4g,2mg,31mg,2mg,216mg,4.8,112
6,6593435,10 mins, 1 hr 10 mins,30 mins, 1 hr 50 mins,24 ,24 servings,24,221,6g,2g,,60mg,42g,1g,24g,2g,0mg,41mg,2mg,321mg,4.7,6
7,6568100,,,,,18 ,1 to 12 - x inch cake,18,475,29g,9g,7mg,116mg,53g,4g,32g,6g,1mg,92mg,3mg,335mg,4.4,19
8,6593033,20 mins,,,20 mins,14 ,1 to 10 - inch ring,14,356,18g,4g,10mg,111mg,46g,2g,23g,6g,1mg,106mg,1mg,297mg,4.7,69
9,6585436,15 mins, 2 hrs 30 mins, 8 hrs, 10 hrs 45 mins,14 ,1 tube cake,14,400,11g,7g,53mg,324mg,75g,2g,40g,4g,4mg,69mg,2mg,303mg,4.9,11
10,6594651,,,,,10 ,10 servings,10,626,20g,12g,105mg,584mg,106g,2g,65g,7g,0mg,69mg,3mg,187mg,3.8,10
11,6581960,40 mins, 1 hr 30 mins,1 day 15 mins,1 day 2 hrs 25 mins,12 ,1 9x5-inch loaf cake,12,401,20g,8g,58mg,133mg,45g,4g,24g,5g,8mg,74mg,1mg,260mg,5.0,6
12,6578955, 1 hr,40 mins,10 mins, 1 hr 50 mins,48 ,1 4-layer 9-inch cake,48,211,8g,5g,36mg,86mg,34g,2g,24g,3g,7mg,41mg,1mg,132mg,5.0,4
13,6599962,20 mins, 1 hr 40 mins,, 2 hrs,12 ,1 (8x3-inch) cake,12,456,22g,11g,103mg,179mg,63g,3g,35g,7g,2mg,78mg,2mg,312mg,4.8,6
14,6604185, 1 hr 10 mins, 1 hr 30 mins,12 days 8 hrs 30 mins,12 days 11 hrs 10 mins,24 ,24 mini cakes,24,422,14g,6g,46mg,58mg,67g,3g,42g,5g,3mg,78mg,2mg,388mg,,
15,6580123,20 mins,40 mins,, 1 hr,24 ,1 9x13-inch pan,24,186,7g,2g,,206mg,31g,1g,16g,2g,0mg,21mg,1mg,123mg,4.2,17
16,6566890,20 mins, 2 hrs 30 mins,14 days 8 hrs,14 days 10 hrs 50 mins,16 ,2 9-inch cakes,16,728,27g,16g,177mg,618mg,110g,4g,69g,9g,2mg,190mg,4mg,577mg,5.0,1
17,6588661, 1 hr 30 mins, 3 hrs 30 mins,1 day 12 hrs,1 day 17 hrs,30 ,2 9x5-inch loaves,30,422,15g,7g,65mg,172mg,65g,3g,33g,5g,3mg,69mg,2mg,322mg,4.8,13
18,6591249,15 mins, 2 hrs,, 2 hrs 15 mins,24 ,2 9x4-inch loaf pans,24,140,6g,1g,10mg,97mg,20g,1g,6g,3g,7mg,18mg,1mg,103mg,4.9,33
19,6602426,15 mins, 1 hr 30 mins,5 mins, 1 hr 50 mins,24 ,,24,598,41g,8g,31mg,122mg,52g,8g,35g,14g,1mg,105mg,3mg,485mg,4.4,7
20,6739405,20 mins, 1 hr 30 mins,, 1 hr 50 mins,30 ,,30,451,22g,10g,9mg,139mg,64g,6g,54g,5g,1mg,94mg,1mg,375mg,4.2,24
21,6599436,30 mins, 2 hrs 30 mins,20 mins, 3 hrs 20 mins,12 ,1 to 8 - inch springform pan,12,583,28g,4g,78mg,461mg,79g,4g,36g,9g,7mg,178mg,3mg,384mg,4.7,3
22,6599827,,,,,12 ,1 to 10 - inch bundt pan,12,625,29g,6g,31mg,271mg,90g,5g,52g,8g,1mg,50mg,3mg,425mg,4.7,16
23,6593080,30 mins, 1 hr 40 mins,, 2 hrs 10 mins,20 ,20 servings,20,621,35g,3g,37mg,465mg,78g,5g,28g,6g,1mg,129mg,2mg,267mg,3.9,9
24,6598512,20 mins, 1 hr 15 mins, 1 hr, 2 hrs 35 mins,12 ,1 9-inch tube cake,12,548,26g,5g,73mg,465mg,75g,2g,50g,6g,0mg,38mg,2mg,122mg,4.4,9
25,6588101,15 mins,30 mins,,45 mins,8 ,8 servings,8,477,26g,2g,,6mg,60g,7g,33g,9g,3mg,89mg,3mg,641mg,,
26,6576151,10 mins, 1 hr,, 1 hr 10 mins,48 ,48 servings,48,210,8g,1g,,132mg,35g,2g,16g,2g,0mg,21mg,1mg,122mg,5.0,5
27,6738391,15 mins, 1 hr 15 mins,7 days 7 hrs 22 mins,7 days 8 hrs 52 mins,16 ,4 mini loaves,16,302,13g,6g,46mg,343mg,39g,3g,22g,4g,13mg,52mg,2mg,275mg,4.4,5
28,6601280,15 mins, 1 hr 30 mins,14 days,14 days 1 hr 45 mins,20 ,2 loaves,20,429,19g,10g,92mg,187mg,59g,2g,33g,6g,1mg,55mg,2mg,153mg,5.0,2
29,6586659,,,,,10 ,1 to 8 - inch round cake,10,220,1g,0g,19mg,233mg,53g,1g,32g,3g,1mg,88mg,1mg,214mg,3.8,26
30,6590520,,,,,36 ,3 fruit cakes,36,430,11g,2g,46mg,55mg,76g,3g,45g,6g,1mg,52mg,3mg,323mg,3.0,5
31,6739959,35 mins,40 mins,1 day 10 mins,1 day 1 hr 25 mins,8 ,1 6-inch fruitcake,8,302,15g,8g,54mg,203mg,33g,1g,21g,3g,0mg,51mg,1mg,244mg,4.7,120
32,6601159,45 mins, 4 hrs,17 days 15 mins,17 days 5 hrs,14 ,1 10-inch cake,14,1077,46g,15g,140mg,234mg,131g,5g,86g,11g,1mg,100mg,4mg,397mg,4.7,28
33,6594086,30 mins, 2 hrs, 1 hr, 3 hrs 30 mins,16 ,1 tube cake,16,413,17g,9g,77mg,221mg,62g,2g,38g,6g,1mg,46mg,2mg,226mg,4.5,23
34,6591216,30 mins, 3 hrs, 2 hrs, 5 hrs 30 mins,16 ,1 8-inch cake,16,645,18g,8g,100mg,256mg,113g,4g,74g,7g,1mg,115mg,4mg,667mg,4.7,111
35,6585187,,,,,16 ,1 to 9 - inch tube cake,16,639,27g,13g,92mg,378mg,72g,4g,36g,8g,3mg,88mg,3mg,424mg,4.0,90
36,6581806,30 mins, 1 hr 30 mins,10 mins, 2 hrs 10 mins,16 ,1 10-inch tube pan,16,633,38g,4g,51mg,81mg,71g,9g,50g,13g,1mg,120mg,3mg,652mg,4.7,15
37,6576212,,,,,48 ,4 large loaf cakes,48,467,16g,6g,72mg,174mg,82g,4g,46g,6g,5mg,69mg,2mg,494mg,4.7,6
38,6570369,,,,,24 ,2 to 9 - inch tube pans,24,296,10g,4g,46mg,145mg,51g,1g,26g,4g,1mg,26mg,2mg,310mg,4.6,9
