,id_recipe,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Protein,Calcium,Iron,Potassium,Average_Review,Review_Count,Vitamin C,Total Sugars
0,6650432,15 mins,5 mins, 1 hr, 1 hr 20 mins,32 ,1 8x8-inch pan,32,168,6g,3g,8mg,54mg,28g,0g,2g,20mg,0mg,65mg,4.5,"2,492",,
1,6663357,5 mins,5 mins, 2 hrs, 2 hrs 10 mins,16 ,16 pieces,16,359,18g,11g,16mg,32mg,45g,,5g,70mg,0mg,92mg,4.5,"1,776",1mg,
2,6737629,5 mins,10 mins, 1 hr, 1 hr 15 mins,48 ,3 pounds,48,141,7g,2g,1mg,41mg,21g,1g,1g,15mg,0mg,49mg,4.5,423,0mg,
3,6649884,20 mins,15 mins,50 mins, 1 hr 25 mins,64 ,64 1-inch squares,64,35,1g,1g,2mg,2mg,7g,0g,0g,6mg,0mg,16mg,4.3,721,,
4,6664487,5 mins,5 mins, 1 hr, 1 hr 10 mins,36 ,,36,126,9g,2g,,88mg,8g,1g,4g,6mg,0mg,95mg,4.8,43,,6g
5,6664820,25 mins,25 mins, 1 hr 10 mins, 2 hrs,16 ,1 9x9-inch pan,16,256,6g,4g,9mg,71mg,50g,0g,2g,65mg,0mg,58mg,3.8,455,1mg,45g
6,6739823,5 mins,10 mins,,15 mins,60 ,3 3/4 pounds,60,116,5g,2g,4mg,41mg,18g,0g,2g,8mg,0mg,45mg,4.6,603,,16g
7,6737219,10 mins,15 mins,30 mins,55 mins,24 ,24 pieces,24,357,15g,5g,15mg,140mg,54g,1g,6g,59mg,1mg,185mg,4.7,"1,117",0mg,49g
8,6602259,5 mins,10 mins,35 mins,50 mins,24 ,1 9x13 inch pan,24,254,10g,2g,3mg,115mg,40g,1g,4g,34mg,0mg,104mg,4.4,78,0mg,37g
9,6576596,,,,,48 ,2 9x9 inch pans,48,206,9g,4g,4mg,18mg,33g,1g,2g,31mg,1mg,105mg,4.6,236,0mg,29g
10,6737841,,,,,36 ,36 1-inch squares,36,159,6g,1g,1mg,59mg,26g,1g,3g,23mg,0mg,97mg,4.3,220,,24g
11,6738777,20 mins,, 2 hrs, 2 hrs 20 mins,16 ,1 8x8-inch pan,16,354,12g,8g,8mg,110mg,56g,,4g,70mg,0mg,92mg,4.3,466,1mg,
