,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Protein,Calcium,Iron,Potassium,Average_Review,Review_Count,Total Sugars,Additional Time:,Vitamin C
0,6650159,Grandma's Gingersnap Cookies,20 mins,10 mins,30 mins,60 ,60 cookies,60,61,3g,1g,3mg,60mg,9g,0g,1g,4mg,0mg,27mg,4.8,"1,226",,,
1,6584237,Mom's Ginger Snaps,15 mins,10 mins,25 mins,36 ,3 dozen,36,105,5g,1g,5mg,91mg,15g,0g,1g,12mg,1mg,52mg,4.7,"1,192",9g,,
2,6737683,Grandma's Gingersnaps,15 mins,10 mins,30 mins,36 ,3 dozen,36,100,4g,1g,5mg,149mg,16g,0g,1g,9mg,1mg,47mg,4.7,478,10g,5 mins,
3,6595772,Gluten-Free Gingersnap Cookies,30 mins,10 mins, 1 hr 45 mins,25 ,25 cookies,25,123,8g,4g,22mg,57mg,13g,2g,2g,40mg,1mg,110mg,5.0,3,8g, 1 hr 5 mins,0mg
4,6586886,Soft Gingersnaps,15 mins,10 mins,25 mins,36 ,3 dozen,36,104,5g,1g,5mg,40mg,15g,0g,1g,13mg,1mg,53mg,4.6,66,9g,,
5,6585921,Gingersnap Cookies,15 mins,15 mins,30 mins,36 ,36 cookies,36,118,5g,3g,19mg,142mg,17g,0g,1g,9mg,1mg,47mg,4.6,8,10g,,
6,6599664,Whole Wheat Ginger Snaps,10 mins,15 mins,25 mins,60 ,5 dozen,60,106,3g,2g,14mg,98mg,19g,1g,1g,24mg,1mg,119mg,4.7,280,11g,,0mg
7,6575617,Amazing Ginger Snaps,10 mins,10 mins, 1 hr 30 mins,24 ,2 dozen cookies,24,147,7g,1g,8mg,158mg,21g,0g,1g,11mg,1mg,66mg,4.3,23,12g, 1 hr 10 mins,
8,6577590,Chocolate Gingersnaps,20 mins,10 mins,35 mins,18 ,18 cookies,18,193,9g,6g,17mg,130mg,27g,1g,2g,38mg,1mg,118mg,4.3,6,17g,5 mins,
9,6589858,Basic Gingersnap Cookies,15 mins,8 mins, 1 hr 53 mins,36 ,6 dozen cookies,36,176,6g,3g,24mg,147mg,29g,1g,3g,36mg,2mg,175mg,4.7,12,11g, 1 hr 30 mins,0mg
10,6578768,Honey and Molasses Gingersnaps,25 mins,10 mins,40 mins,48 ,4 dozen cookies,48,80,3g,2g,12mg,54mg,13g,0g,1g,8mg,0mg,33mg,4.0,5,8g,5 mins,
11,6584749,Gluten-Free Gingersnaps,20 mins,15 mins,40 mins,36 ,36 cookies,36,95,4g,1g,5mg,120mg,14g,1g,1g,34mg,0mg,58mg,3.5,4,10g,5 mins,
12,6561357,Gingersnap-Crusted Pumpkin Pie Cheesecake Bars,15 mins,40 mins, 1 hr 55 mins,24 ,1 9x13-inch pan,24,231,15g,9g,62mg,159mg,20g,1g,4g,33mg,1mg,56mg,,,14g, 1 hr,
13,6593794,Gingersnap Strips,20 mins,12 mins,32 mins,60 ,5 dozen,60,56,3g,1g,3mg,63mg,8g,0g,1g,4mg,0mg,26mg,4.6,11,4g,,
14,6583237,Crispy Vegan Gingersnaps,20 mins,15 mins,35 mins,24 ,2 dozen cookies,24,120,9g,3g,,73mg,10g,1g,2g,24mg,0mg,67mg,1.0,1,6g,,0mg
15,6648792,White Chocolate Gingersnaps,15 mins,25 mins,45 mins,60 ,60 gingersnaps,60,161,8g,2g,1mg,98mg,23g,0g,1g,26mg,1mg,90mg,,,,5 mins,1mg
16,6590799,Crispy Gingersnaps,10 mins,12 mins,22 mins,36 ,3 dozen,36,94,5g,1g,5mg,105mg,13g,0g,1g,7mg,1mg,45mg,4.7,156,7g,,
17,6567422,Gingersnap-Cream Cookie Cups,30 mins,10 mins, 1 hr,36 ,36 cookie cups,36,206,11g,3g,23mg,168mg,26g,1g,3g,26mg,1mg,121mg,,,14g,20 mins,1mg
