,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Yield:,Chill Time:
0,6600475,15 mins,20 mins,35 mins,4 ,4,1144,58g,26g,175mg,1215mg,104g,16g,19g,55g,85mg,203mg,11mg,2829mg,4.8,15,,,
1,6595889,10 mins, 1 hr 20 mins, 1 hr 40 mins,4 ,4,284,19g,8g,95mg,370mg,2g,0g,0g,24g,1mg,33mg,2mg,352mg,5.0,3,10 mins,,
2,6738482,45 mins,5 mins, 1 hr 20 mins,28 ,28,35,2g,1g,11mg,78mg,1g,0g,0g,3g,1mg,8mg,0mg,46mg,4.7,424,30 mins,28 skewers,
3,6737579,15 mins,45 mins, 2 hrs,10 ,10,179,12g,5g,59mg,97mg,2g,1g,1g,16g,1mg,25mg,2mg,230mg,4.2,391, 1 hr,1 7x4-inch loaf,
4,6595174,15 mins,45 mins, 3 hrs 15 mins,12 ,12,425,41g,7g,61mg,620mg,43g,3g,4g,22g,6mg,158mg,4mg,367mg,4.5,32, 2 hrs 15 mins,,
5,6602655,20 mins,10 mins,30 mins,4 ,4,439,26g,8g,80mg,501mg,26g,2g,2g,24g,7mg,93mg,3mg,472mg,4.8,38,,4 1/4-pound burgers,
6,6584213,15 mins,30 mins,45 mins,4 ,4,690,46g,18g,223mg,1097mg,2g,1g,0g,63g,3mg,55mg,5mg,879mg,4.6,80,,,
7,6590000,20 mins, 1 hr 5 mins, 1 hr 25 mins,8 ,8,502,24g,12g,118mg,1470mg,41g,5g,4g,30g,9mg,161mg,2mg,470mg,4.8,9,,,
8,6573799,15 mins,10 mins, 2 hrs 25 mins,8 ,8,311,23g,8g,76mg,665mg,6g,1g,2g,20g,5mg,41mg,2mg,383mg,4.7,136, 2 hrs,,
9,6595763,30 mins,25 mins, 1 hr 25 mins,8 ,8,260,18g,7g,114mg,494mg,4g,1g,1g,21g,3mg,98mg,2mg,320mg,5.0,3,30 mins,8 kabobs,
10,6582933,20 mins,30 mins,50 mins,30 ,30,105,7g,3g,12mg,135mg,7g,0g,0g,3g,8mg,6mg,1mg,54mg,4.1,45,,30 samosas,
11,6606376,25 mins,10 mins,35 mins,5 ,5,376,19g,7g,113mg,370mg,25g,2g,3g,26g,4mg,105mg,4mg,381mg,4.6,25,,5 burgers,
12,6599369,15 mins,20 mins,35 mins,4 ,4,298,16g,7g,77mg,235mg,16g,1g,8g,22g,1mg,76mg,2mg,413mg,4.3,3,,21 meatballs,
13,6663827,45 mins,25 mins, 1 hr 15 mins,8 ,8,386,21g,11g,97mg,561mg,30g,3g,5g,17g,16mg,149mg,3mg,710mg,4.8,386,5 mins,8 servings,
14,6663600,20 mins, 1 hr 15 mins, 1 hr 35 mins,8 ,8,224,14g,6g,80mg,538mg,1g,0g,0g,22g,1mg,25mg,2mg,267mg,4.7,32,,1 9x5-inch loaf,
15,6580565,35 mins, 1 hr, 2 hrs 35 mins,4 ,4,385,23g,8g,77mg,1471mg,23g,8g,12g,24g,29mg,94mg,4mg,1309mg,4.6,55, 1 hr,4 servings,
16,6738926,15 mins,40 mins, 1 hr 55 mins,8 ,8,255,18g,7g,72mg,549mg,3g,1g,1g,19g,2mg,32mg,2mg,266mg,4.9,90, 1 hr,8 servings,
17,6739399,10 mins,15 mins,25 mins,4 ,4,237,16g,6g,76mg,140mg,3g,1g,0g,20g,3mg,44mg,2mg,346mg,4.5,73,,4 servings,
18,6737029,20 mins, 1 hr, 1 hr 50 mins,4 ,4,610,44g,16g,154mg,2323mg,24g,4g,11g,31g,16mg,146mg,7mg,1110mg,4.8,45,30 mins,4 servings,
19,6573100,25 mins,30 mins,55 mins,4 ,4,522,32g,9g,259mg,893mg,29g,2g,3g,30g,2mg,105mg,5mg,426mg,4.3,82,,2 1/2 dozen,
20,6741726,30 mins,35 mins, 1 hr 10 mins,4 ,4,409,30g,12g,125mg,735mg,12g,2g,4g,22g,7mg,97mg,3mg,431mg,4.9,9,5 mins,1 9x5-inch loaf pan,
21,6590601,20 mins,50 mins, 1 hr 10 mins,4 ,4,649,39g,15g,115mg,1523mg,39g,7g,14g,41g,53mg,435mg,7mg,1523mg,4.7,28,,4 servings,
22,6738232,15 mins,10 mins,25 mins,4 ,4,478,22g,11g,101mg,1004mg,38g,2g,2g,29g,3mg,240mg,3mg,441mg,4.7,177,,4 servings,
23,6579663,40 mins, 2 hrs, 2 hrs 40 mins,6 ,6,613,35g,17g,170mg,535mg,40g,6g,10g,37g,45mg,268mg,5mg,1425mg,3.8,24,,,
24,6582170,15 mins, 1 hr, 1 hr 15 mins,6 ,6,273,17g,8g,50mg,912mg,19g,3g,7g,12g,102mg,159mg,2mg,497mg,4.5,108,,4 to 6 servings,
25,6737175,10 mins,15 mins,25 mins,4 ,4,338,25g,11g,84mg,408mg,6g,1g,1g,20g,2mg,40mg,3mg,319mg,4.5,294,,,
26,6592266,20 mins,4 mins,24 mins,6 ,6,181,12g,4g,74mg,284mg,5g,1g,1g,14g,2mg,32mg,2mg,199mg,5.0,4,,36 meatballs,
27,6602891,45 mins, 1 hr 15 mins, 2 hrs,32 ,32,101,5g,2g,19mg,902mg,9g,0g,0g,7g,7mg,90mg,2mg,94mg,4.5,53,,,
28,6594100,20 mins,15 mins, 1 hr 20 mins,18 ,18,412,29g,8g,34mg,162mg,26g,1g,1g,13g,3mg,14mg,3mg,174mg,4.6,34,45 mins,36 small pies,
29,6605022,20 mins,5 mins,25 mins,8 ,8,459,46g,9g,87mg,646mg,34g,2g,5g,28g,4mg,180mg,4mg,413mg,4.9,9,,8 sliders,
30,6648857,35 mins,10 mins,45 mins,4 ,4,808,48g,24g,187mg,2031mg,42g,3g,10g,50g,10mg,373mg,5mg,606mg,4.8,43,,,
31,6664972,5 mins,20 mins,25 mins,4 ,4,513,41g,18g,124mg,885mg,6g,2g,2g,30g,6mg,63mg,3mg,549mg,4.3,146,,,
32,6664148,30 mins,50 mins, 1 hr 20 mins,6 ,6,465,14g,6g,56mg,1337mg,57g,16g,16g,28g,14mg,126mg,7mg,1201mg,4.8,43,,,
33,6737963,30 mins,10 mins, 2 hrs 10 mins,4 ,4,301,21g,9g,87mg,820mg,5g,1g,2g,23g,6mg,45mg,3mg,340mg,4.8,19, 1 hr 30 mins,,
34,6595515,20 mins,25 mins,45 mins,4 ,4,650,47g,23g,139mg,761mg,25g,2g,4g,31g,8mg,220mg,4mg,595mg,4.7,96,,,
35,6586101,,,,4 ,4,476,17g,7g,76mg,888mg,52g,6g,12g,29g,47mg,149mg,7mg,1070mg,4.3,36,,4 lahmahjoons,
36,6576386,25 mins,25 mins,55 mins,6 ,6,484,31g,13g,147mg,2071mg,16g,1g,2g,34g,2mg,130mg,4mg,471mg,4.7,71,5 mins,6 burgers,
37,6561787,25 mins, 1 hr 30 mins, 1 hr 55 mins,4 ,4,420,26g,8g,124mg,1284mg,22g,7g,8g,25g,11mg,84mg,3mg,808mg,4.8,117,,,
38,6584247,30 mins,45 mins, 1 hr 45 mins,8 ,8,364,23g,9g,80mg,664mg,16g,4g,1g,23g,3mg,33mg,3mg,389mg,5.0,2,30 mins,,
39,6577082,25 mins,20 mins, 1 hr 45 mins,24 ,24,136,10g,5g,45mg,145mg,3g,0g,1g,7g,3mg,18mg,1mg,142mg,4.4,22, 1 hr,24 servings,
40,6737676,45 mins, 1 hr 5 mins, 2 hrs 5 mins,8 ,8,449,28g,11g,111mg,1086mg,24g,3g,5g,25g,6mg,61mg,4mg,554mg,4.4,11,15 mins,1 9-inch pie,
41,6580879,30 mins, 2 hrs, 2 hrs 45 mins,12 ,12,402,25g,7g,91mg,1292mg,34g,3g,3g,26g,5mg,75mg,3mg,527mg,,,15 mins,12 servings,
