,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Yield:,Freeze Time:
0,7570594,15 mins,25 mins,40 mins,4 ,4,487,32g,11g,194mg,988mg,14g,3g,3g,37g,4mg,273mg,4mg,473mg,,,,,
1,7562426,20 mins,30 mins,50 mins,4 ,4,556,34g,10g,183mg,767mg,27g,4g,6g,38g,132mg,235mg,5mg,825mg,4.0,1,,,
2,7560812,10 mins,15 mins,25 mins,8 ,8,316,17g,7g,42mg,809mg,27g,1g,4g,14g,3mg,286mg,2mg,178mg,5.0,1,,,
3,6600519,10 mins,20 mins,40 mins,6 ,6,315,11g,3g,115mg,920mg,25g,1g,3g,28g,1mg,96mg,3mg,287mg,4.5,680,10 mins,6 burgers,
4,7371801,20 mins, 8 hrs, 8 hrs 20 mins,12 servings,12,221,10g,2g,61mg,483mg,14g,4g,6g,21g,28mg,139mg,4mg,883mg,,,,,
5,6648248,15 mins,15 mins,30 mins,12 ,12,184,10g,3g,90mg,355mg,2g,0g,0g,21g,2mg,23mg,2mg,293mg,4.6,"2,612",,12 burgers,
6,7969063,10 mins,8 mins,38 mins,4 ,4,470,22g,6g,120mg,662mg,32g,2g,4g,35g,4mg,166mg,5mg,456mg,,,,,20 mins
7,6575247,15 mins,10 mins,25 mins,4 ,4,302,18g,4g,88mg,682mg,13g,2g,2g,24g,40mg,82mg,3mg,414mg,4.5,158,,4 servings,
8,6737168,10 mins,20 mins,30 mins,3 ,3,201,10g,3g,89mg,799mg,6g,2g,,21g,4mg,50mg,3mg,403mg,4.7,206,,,
9,6649790,15 mins, 1 hr, 1 hr 15 mins,8 ,8,296,13g,3g,85mg,881mg,25g,1g,13g,20g,4mg,65mg,2mg,297mg,4.7,401,,1 meatloaf,
10,6599504,10 mins,15 mins,25 mins,8 ,8,176,9g,2g,84mg,545mg,2g,0g,2g,23g,0mg,32mg,2mg,237mg,4.7,183,,,
11,6587558,10 mins, 4 hrs 10 mins, 4 hrs 20 mins,10 ,10,238,5g,1g,42mg,878mg,29g,9g,5g,20g,14mg,61mg,3mg,532mg,4.6,94,,,
12,6582603,5 mins,15 mins,20 mins,8 ,8,169,9g,2g,84mg,500mg,1g,0g,,23g,0mg,24mg,2mg,231mg,4.7,404,,,
13,6648202,10 mins,35 mins,45 mins,6 ,6,394,17g,7g,90mg,724mg,37g,2g,12g,26g,9mg,170mg,3mg,456mg,4.7,543,,6 sandwiches,
14,6663293,20 mins,15 mins,35 mins,8 ,8,233,13g,5g,143mg,266mg,2g,1g,1g,27g,2mg,144mg,3mg,373mg,4.6,855,,8 turkey burgers,
15,6738743,10 mins,15 mins,25 mins,4 ,4,267,11g,3g,130mg,350mg,16g,1g,3g,27g,2mg,71mg,3mg,360mg,4.1,49,,8 meatballs,
16,6649486,10 mins,20 mins,30 mins,6 ,6,218,14g,3g,106mg,218mg,5g,0g,0g,19g,0mg,29mg,2mg,247mg,4.4,"1,071",,18 meatballs,
17,6581228,10 mins,15 mins,25 mins,4 ,4,463,20g,4g,125mg,852mg,42g,2g,2g,31g,1mg,52mg,5mg,371mg,4.1,550,,,
18,6738110,20 mins,40 mins, 1 hr,4 ,4,510,27g,13g,170mg,979mg,30g,3g,,37g,9mg,381mg,4mg,805mg,4.4,344,,1 8-inch square casserole,
19,6602408,30 mins,15 mins,45 mins,6 ,6,253,12g,4g,93mg,495mg,11g,1g,,23g,7mg,89mg,3mg,341mg,4.7,333,,30 meatballs,
20,6649363,10 mins,20 mins,30 mins,10 ,10,135,7g,2g,67mg,517mg,0g,0g,,18g,0mg,21mg,1mg,185mg,4.8,125,,20 patties,
21,6602875,15 mins,25 mins,40 mins,12 ,12,65,3g,1g,42mg,41mg,1g,0g,0g,8g,1mg,12mg,1mg,97mg,4.8,5,,12 kebabs,
22,6589922,10 mins,10 mins,20 mins,4 ,4,275,16g,4g,107mg,349mg,4g,1g,1g,29g,3mg,44mg,3mg,381mg,4.7,3,,4 servings,
23,6648292,20 mins, 1 hr 20 mins, 1 hr 50 mins,5 ,5,259,11g,3g,121mg,968mg,15g,1g,7g,25g,5mg,53mg,3mg,430mg,4.6,"2,422",10 mins,1 meatloaf,
24,6604536,30 mins, 6 hrs, 6 hrs 30 mins,8 ,8,250,7g,2g,38mg,621mg,33g,7g,9g,16g,16mg,94mg,4mg,865mg,4.7,303,,,
25,6663511,20 mins,30 mins,50 mins,12 ,12,192,5g,1g,27mg,600mg,23g,6g,6g,17g,42mg,79mg,3mg,612mg,4.7,482,,,
26,6604352,15 mins,40 mins,55 mins,4 ,4,414,25g,5g,105mg,1352mg,19g,5g,13g,33g,26mg,82mg,5mg,1317mg,4.6,30,,,
27,6648309,20 mins,45 mins, 1 hr 5 mins,12 ,12,255,14g,6g,108mg,575mg,11g,1g,3g,23g,2mg,198mg,2mg,278mg,4.9,40,,12 servings,
28,6736432,15 mins,35 mins,55 mins,8 ,8,247,8g,2g,45mg,1085mg,27g,9g,6g,19g,15mg,85mg,5mg,510mg,4.8,33,5 mins,8 servings,
29,6569531,5 mins,20 mins,25 mins,4 ,4,619,17g,5g,94mg,1419mg,79g,8g,21g,37g,8mg,160mg,5mg,1066mg,4.5,8,,4 servings,
30,6589075,25 mins, 1 hr 10 mins, 1 hr 40 mins,8 ,8,310,17g,5g,125mg,783mg,15g,2g,5g,26g,12mg,58mg,3mg,448mg,4.6,70,5 mins,8 servings,
31,6736361,15 mins, 2 hrs 15 mins, 2 hrs 30 mins,14 ,14,214,6g,1g,48mg,562mg,22g,8g,2g,20g,10mg,78mg,4mg,607mg,4.6,185,,14 cups,
32,6584885,25 mins,47 mins, 1 hr 17 mins,4 ,4,327,14g,4g,136mg,342mg,20g,1g,3g,29g,4mg,98mg,4mg,501mg,4.1,24,5 mins,4 servings,
33,6589927,15 mins,9 mins,24 mins,5 ,5,301,6g,2g,85mg,803mg,27g,6g,16g,34g,47mg,88mg,4mg,1151mg,4.8,54,,5 servings,
34,6570902,10 mins,10 mins,20 mins,4 ,4,251,14g,4g,136mg,626mg,6g,1g,1g,23g,3mg,41mg,2mg,335mg,4.1,39,,,
35,6603507,10 mins, 6 hrs, 6 hrs 10 mins,6 ,6,323,9g,2g,70mg,1575mg,35g,12g,1g,29g,17mg,131mg,6mg,816mg,4.5,152,,6 servings,
36,6595638,20 mins,35 mins,55 mins,8 ,8,326,6g,3g,69mg,768mg,34g,5g,7g,33g,15mg,302mg,4mg,719mg,4.4,162,,8 servings,
37,6575932,15 mins, 1 hr 40 mins, 2 hrs,8 ,8,305,17g,6g,130mg,728mg,11g,1g,4g,26g,11mg,55mg,3mg,438mg,4.5,21,5 mins,1 9x5-inch meat loaf,
38,6605870,15 mins,30 mins,45 mins,8 ,8,238,10g,3g,86mg,856mg,16g,1g,2g,21g,1mg,59mg,3mg,254mg,4.4,63,,8 servings,
39,6585786,10 mins,10 mins,20 mins,6 ,6,238,10g,4g,96mg,817mg,16g,3g,0g,24g,2mg,153mg,2mg,295mg,4.7,137,,6 burgers,
40,6603787,15 mins,30 mins, 1 hr 45 mins,4 ,4,260,10g,3g,125mg,707mg,14g,1g,4g,26g,6mg,65mg,3mg,404mg,4.7,31, 1 hr,4 burgers,
41,6601767,30 mins, 2 hrs 30 mins, 3 hrs 15 mins,12 ,12,390,15g,7g,81mg,1129mg,33g,4g,6g,33g,16mg,623mg,4mg,865mg,4.6,72,15 mins,12 servings,
42,6605875,10 mins,50 mins, 1 hr 5 mins,6 ,6,163,7g,2g,87mg,651mg,8g,2g,4g,18g,6mg,41mg,2mg,437mg,4.6,223,5 mins,1 meatloaf,
43,6594827,10 mins,10 mins,20 mins,4 ,4,354,19g,7g,124mg,907mg,12g,1g,2g,34g,1mg,209mg,3mg,351mg,4.7,401,,4 turkey burgers,
44,6738900,5 mins,20 mins,25 mins,6 ,6,275,7g,2g,56mg,770mg,33g,8g,5g,22g,17mg,70mg,4mg,656mg,4.7,27,,,
45,6600193,15 mins,30 mins,45 mins,40 ,40,32,2g,1g,15mg,114mg,1g,0g,0g,3g,0mg,11mg,0mg,25mg,4.8,22,,40 meatballs,
46,6599229,15 mins,25 mins,40 mins,6 ,6,246,11g,2g,56mg,590mg,18g,3g,9g,18g,22mg,58mg,3mg,526mg,4.7,84,,6 servings,
47,6737465,15 mins,20 mins,35 mins,8 ,8,265,9g,2g,80mg,647mg,33g,1g,26g,15g,3mg,46mg,2mg,226mg,4.6,92,,32 meatballs,
48,6598082,20 mins,30 mins,50 mins,2 ,2,661,33g,7g,169mg,2155mg,43g,5g,10g,52g,46mg,187mg,8mg,1099mg,4.7,18,,2 servings,
49,6606263,15 mins,55 mins, 1 hr 10 mins,4 ,4,463,27g,13g,130mg,1314mg,22g,6g,8g,36g,82mg,66mg,4mg,525mg,4.9,14,,4 stuffed pepper halves,
50,6739159,35 mins,35 mins, 1 hr 10 mins,12 ,12,486,25g,9g,130mg,1621mg,26g,4g,12g,38g,8mg,456mg,4mg,704mg,4.8,376,,36 meatballs,
51,6573509,15 mins, 3 hrs 10 mins, 3 hrs 25 mins,6 ,6,338,9g,2g,56mg,857mg,42g,11g,14g,25g,20mg,133mg,7mg,967mg,4.5,257,,6 servings,
52,6580773,10 mins,30 mins,40 mins,4 ,4,390,10g,2g,86mg,2588mg,44g,9g,3g,32g,19mg,107mg,4mg,616mg,4.6,70,,4 servings,
53,6571035,20 mins,20 mins,40 mins,24 ,24,50,3g,1g,20mg,105mg,1g,0g,0g,5g,1mg,54mg,1mg,84mg,4.6,13,,24 meatballs,
54,6570556,20 mins, 1 hr 5 mins, 1 hr 25 mins,12 ,12,266,13g,4g,90mg,224mg,12g,5g,3g,28g,11mg,68mg,4mg,636mg,4.5,16,,1 9x13-inch casserole,
55,6597714,30 mins,45 mins, 1 hr 15 mins,14 ,14,323,11g,5g,54mg,622mg,31g,4g,7g,24g,4mg,266mg,3mg,531mg,4.6,392,,14 servings,
56,6590990,25 mins, 1 hr 30 mins, 1 hr 55 mins,6 ,6,373,15g,3g,56mg,1560mg,40g,11g,14g,26g,56mg,146mg,7mg,1170mg,4.8,137,,6 servings,
57,6738759,25 mins, 2 hrs, 2 hrs 25 mins,6 ,6,258,14g,5g,106mg,1423mg,15g,2g,5g,19g,13mg,49mg,3mg,562mg,4.5,104,,20 to 24 small meatballs,
58,6592538,15 mins, 3 hrs 5 mins, 3 hrs 20 mins,10 ,10,198,4g,1g,34mg,838mg,25g,9g,3g,17g,17mg,91mg,5mg,724mg,4.4,13,,10 servings,
59,6582528,30 mins,35 mins, 1 hr 5 mins,8 ,8,516,32g,17g,145mg,552mg,32g,2g,2g,27g,5mg,282mg,3mg,253mg,4.0,558,,8 servings,
