,id_recipe,Prep Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Cholesterol,Cook Time:
0,6648298,5 mins,5 mins,1 ,1 cocktail,1,369,7g,5g,31mg,49g,1g,43g,0g,20mg,20mg,0mg,128mg,4.6,55,,,
1,6648810,10 mins, 2 hrs 10 mins,4 ,4 main course servings,4,396,14g,2g,3696mg,9g,2g,2g,58g,8mg,91mg,4mg,1270mg,4.5,184, 2 hrs,102mg,
2,6648739,25 mins, 5 hrs 25 mins,10 ,10 pieces,10,276,12g,4g,866mg,35g,1g,10g,7g,1mg,10mg,2mg,118mg,4.6,181, 4 hrs 30 mins,24mg,30 mins
3,6587727,15 mins,50 mins,12 ,12 sliders,12,484,17g,13g,899mg,47g,3g,1g,26g,2mg,174mg,1mg,151mg,4.8,192,,99mg,35 mins
4,6664859,10 mins, 20 hrs 10 mins,12 ,,12,243,15g,5g,715mg,,,,26g,0mg,20mg,9mg,348mg,4.7,"1,828",,82mg, 20 hrs
5,6650586,15 mins,30 mins,2 ,,2,608,25g,10g,963mg,60g,1g,9g,34g,13mg,75mg,6mg,550mg,4.8,50,,267mg,15 mins
6,6738450,10 mins, 1 hr 40 mins,12 ,,12,338,13g,4g,1304mg,22g,1g,19g,33g,2mg,47mg,3mg,346mg,4.7,"1,170", 1 hr,114mg,30 mins
7,7104308,20 mins,45 mins,8 ,1 (12-inch) pizza,8,322,14g,5g,844mg,34g,1g,,14g,,,,72mg,4.5,6,5 mins,32mg,20 mins
8,6588502,25 mins, 3 hrs 25 mins,18 ,1 braided loaf,18,214,9g,2g,148mg,27g,1g,3g,6g,,18mg,2mg,70mg,4.3,243, 2 hrs 20 mins,110mg,40 mins
9,6575319,10 mins,10 mins,16 ,16 servings,16,86,6g,1g,116mg,8g,1g,6g,0g,8mg,15mg,0mg,75mg,4.6,120,,4mg,
10,6591528,10 mins,55 mins,6 ,3 cups,6,92,6g,1g,4736mg,10g,3g,6g,2g,44mg,58mg,1mg,235mg,4.3,8,45 mins,,
11,6738575,10 mins,50 mins,6 ,,6,301,19g,5g,645mg,20g,1g,7g,12g,6mg,40mg,2mg,278mg,4.7,198,,127mg,40 mins
12,6600126,5 mins, 1 hr 5 mins,12 ,1 - 9x13 inch pan,12,463,14g,8g,156mg,78g,2g,47g,7g,,104mg,1mg,170mg,4.7,199,,104mg, 1 hr
13,6737529,30 mins, 5 hrs 30 mins,12 ,12 servings,12,251,19g,7g,1495mg,,,,19g,0mg,21mg,1mg,273mg,4.6,151,,74mg, 5 hrs
14,6650310,10 mins, 2 hrs 25 mins,8 ,,8,203,4g,1g,413mg,17g,1g,15g,24g,7mg,26mg,1mg,257mg,4.5,795, 2 hrs,61mg,15 mins
15,6664474,5 mins, 1 hr 5 mins,6 ,,6,521,31g,11g,776mg,20g,0g,18g,39g,6mg,37mg,2mg,460mg,4.1,85,,162mg, 1 hr
16,6601071,20 mins, 1 hr 45 mins,8 ,1 9-inch pie,8,654,43g,26g,179mg,70g,2g,47g,5g,1mg,87mg,3mg,308mg,4.4,233, 1 hr,64mg,25 mins
