,id_recipe,name,Prep Time:,Additional Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Cook Time:,Freeze Time:,Chill Time:,Yield:,Cool Time:,Process Time:
0,6648342,Easy Strawberry Ice Cream,10 mins,50 mins, 1 hr,8 ,8,354,23g,15g,86mg,121mg,34g,1g,31g,4g,35mg,120mg,0mg,227mg,4.7,262,,,,,,
1,6572638,Strawberry Ice Cream,25 mins, 1 hr, 1 hr 40 mins,6 ,6,390,25g,15g,184mg,34mg,43g,2g,33g,3g,61mg,67mg,1mg,211mg,4.6,113,15 mins,,,,,
2,6664599,Mason Jar Ice Cream,5 mins,, 4 hrs 10 mins,2 ,2,440,36g,23g,135mg,203mg,24g,,,5g,,,,214mg,5.0,1,, 4 hrs 5 mins,,,,
3,6664572,How to Make Vanilla Ice Cream,5 mins, 2 hrs 20 mins, 2 hrs 30 mins,4 ,4,425,25g,15g,93mg,79mg,46g,,44g,6g,1mg,200mg,0mg,255mg,4.6,161,5 mins,,,,,
4,7852324,No-Churn Blackberry Ice Cream,15 mins,, 5 hrs 35 mins,8 ,8,499,28g,17g,90mg,102mg,57g,6g,52g,9g,26mg,262mg,1mg,490mg,4.7,3,20 mins, 4 hrs, 1 hr,,,
5,7554240,3 Ingredient Mango Ice Cream,15 mins,,1 day 15 mins,12 ,12,149,7g,5g,22mg,7mg,21g,2g,18g,1g,34mg,25mg,0mg,187mg,5.0,1,0 mins,1 day,,,,
6,6762266,Avocado Ice Cream,10 mins, 3 hrs, 3 hrs 10 mins,10 ,10,297,17g,9g,,15mg,40g,7g,27g,2g,11mg,21mg,2mg,394mg,5.0,2,,,,,,
7,6573446,Banana Ice Cream,5 mins, 5 hrs, 5 hrs 5 mins,6 ,6,149,8g,5g,29mg,17mg,20g,2g,11g,2g,7mg,41mg,0mg,327mg,4.5,4,,,,3 cups,,
8,6740991,Blueberry Cheesecake Ice Cream,25 mins, 2 hrs 30 mins, 3 hrs 15 mins,16 ,16,459,30g,18g,99mg,239mg,47g,0g,37g,3g,2mg,79mg,0mg,104mg,4.8,30,20 mins,,,,,
9,7487374,Raspberry Ice Cream,15 mins,, 5 hrs 10 mins,10 ,10,149,8g,5g,94mg,41mg,16g,2g,14g,3g,7mg,29mg,1mg,78mg,,,5 mins, 4 hrs,,,30 mins,20 mins
10,7371979,Carrot Cake Ice Cream,20 mins,,26 mins,8 ,8,619,44g,24g,120mg,201mg,50g,1g,47g,9g,3mg,273mg,1mg,440mg,4.8,12,6 mins, 4 hrs,,,,
11,7092819,Pumpkin Ice Cream for Ninja Creami,10 mins,,1 day 10 mins,8 ,8,78,4g,2g,2mg,7mg,10g,0g,,1g,,,,39mg,,,,1 day,,,,
12,6663518,Fried Ice Cream,15 mins, 4 hrs, 4 hrs 25 mins,8 ,8,372,29g,7g,29mg,150mg,25g,1g,15g,4g,3mg,89mg,3mg,161mg,4.6,209,10 mins,,,8 balls,,
13,6650772,Very Chocolate Ice Cream,10 mins, 4 hrs, 4 hrs 20 mins,8 ,8,353,27g,16g,161mg,111mg,27g,1g,24g,4g,0mg,84mg,1mg,119mg,4.8,650,10 mins,,,1 quart,,
14,6600563,Easy Homemade Vanilla Ice Cream,5 mins,20 mins,25 mins,12 ,12,263,13g,8g,42mg,80mg,14g,,11g,4g,1mg,85mg,0mg,108mg,4.5,270,,,,1 1/2 quarts,,
15,6648629,Snow Ice Cream,20 mins,,20 mins,8 ,8,132,1g,1g,5mg,40mg,28g,,28g,2g,0mg,87mg,,99mg,4.6,250,,,,,,
16,6648645,Gelato,,, 3 hrs,4 ,4,416,29g,17g,296mg,81mg,33g,,31g,8g,1mg,203mg,1mg,246mg,4.6,103, 3 hrs,,,,,
17,6651180,Five Ingredient Ice Cream,10 mins, 4 hrs, 4 hrs 10 mins,12 ,12,237,15g,9g,59mg,77mg,22g,,21g,4g,0mg,122mg,,47mg,4.6,193,,,,3 pints,,
18,6584442,Easy Mint Chocolate Chip Ice Cream,10 mins, 2 hrs 30 mins, 2 hrs 40 mins,8 ,8,439,30g,18g,86mg,195mg,43g,1g,40g,4g,1mg,117mg,1mg,216mg,4.7,671,,,,2 quarts,,
19,6583308,Georgia Peach Homemade Ice Cream,15 mins, 4 hrs 20 mins, 4 hrs 35 mins,32 ,32,106,5g,3g,16mg,42mg,14g,,13g,3g,12mg,104mg,0mg,135mg,4.6,139,,,,1 gallon,,
20,6593458,Coconut Ice Cream,5 mins,25 mins,30 mins,8 ,8,407,29g,22g,64mg,87mg,36g,2g,32g,3g,0mg,68mg,0mg,179mg,4.7,351,,,,,,
21,6575000,Super Lemon Ice Cream,15 mins, 12 hrs 10 mins, 12 hrs 45 mins,10 ,10,315,23g,14g,177mg,32mg,27g,0g,23g,3g,11mg,71mg,0mg,102mg,4.8,127,20 mins,,,,,
22,6569588,Five-Minute Ice Cream,5 mins,,5 mins,4 ,4,258,15g,9g,54mg,17mg,33g,2g,28g,1g,29mg,37mg,1mg,134mg,4.7,617,,,,,,
23,6664046,2-Ingredient Ice Cream,10 mins, 6 hrs, 6 hrs 10 mins,4 ,4,725,53g,33g,196mg,170mg,57g,,53g,10g,3mg,356mg,0mg,453mg,4.6,15,,,,,,
24,6579808,Rocky Road Ice Cream,5 mins, 1 hr 20 mins, 1 hr 30 mins,16 ,16,254,19g,10g,59mg,53mg,19g,1g,16g,4g,1mg,109mg,1mg,188mg,4.8,261,5 mins,,,2 quarts,,
25,6599833,Cinnamon Ice Cream,10 mins, 4 hrs 50 mins, 5 hrs 15 mins,8 ,8,279,18g,11g,104mg,48mg,28g,0g,25g,4g,1mg,80mg,0mg,102mg,4.7,479,15 mins,,,4 cups,,
26,6604693,Blackberry Ice Cream,15 mins, 2 hrs 30 mins, 2 hrs 45 mins,4 ,4,560,45g,28g,166mg,58mg,37g,4g,30g,4g,16mg,133mg,1mg,252mg,5.0,6,,,,,,
27,6595974,Vanilla Ice Cream,15 mins, 7 hrs 20 mins, 7 hrs 35 mins,8 ,8,361,29g,18g,104mg,48mg,23g,,,3g,1mg,103mg,0mg,126mg,4.4,150,,,,4 cups,,
28,6601961,Peach Ice Cream,20 mins, 4 hrs 20 mins, 4 hrs 40 mins,32 ,32,229,14g,8g,81mg,86mg,25g,,24g,2g,13mg,44mg,0mg,66mg,4.7,302,,,,4 quarts,,
29,6663672,Butter Pecan Ice Cream,5 mins,30 mins,55 mins,16 ,16,128,8g,4g,42mg,34mg,13g,0g,12g,2g,0mg,44mg,0mg,71mg,4.4,186,20 mins,,,1 quart,,
30,6650238,Easy Banana Ice Cream,5 mins,,5 mins,2 ,2,126,0g,0g,1mg,27mg,30g,3g,18g,3g,10mg,83mg,0mg,518mg,3.0,5,,,,2 servings,,
31,6581833,Matcha Green Tea Ice Cream,10 mins, 8 hrs 40 mins, 9 hrs,8 ,8,315,24g,15g,131mg,53mg,22g,,20g,4g,1mg,81mg,0mg,105mg,4.7,37,10 mins,,,,,
32,6736772,Classic Vanilla Ice Cream,5 mins, 4 hrs 20 mins, 4 hrs 25 mins,32 ,32,142,10g,6g,32mg,28mg,12g,,10g,2g,1mg,68mg,,85mg,4.4,414,,,,1 gallon,,
33,6664584,Frozen Vanilla Custard,15 mins, 7 hrs 50 mins, 8 hrs 10 mins,8 ,8,341,26g,15g,210mg,91mg,20g,0g,20g,7g,0mg,94mg,1mg,145mg,4.8,37,5 mins,,,1 quart,,
34,6576694,Ice Cream Base,5 mins, 10 hrs 30 mins, 10 hrs 45 mins,8 ,8,370,26g,15g,279mg,93mg,30g,,25g,6g,1mg,136mg,1mg,159mg,4.8,139,10 mins,,,8 servings,,
35,6592852,No-Cook Eggnog Ice Cream,10 mins, 2 hrs 45 mins, 2 hrs 55 mins,10 ,10,324,24g,15g,105mg,81mg,24g,,20g,5g,2mg,177mg,0mg,224mg,4.8,49,,,,5 cups,,
36,6598393,Easy Ice Cream in a Bag,10 mins,10 mins,20 mins,1 ,1,167,9g,6g,29mg,20979mg,18g,,16g,4g,1mg,146mg,0mg,172mg,4.7,7,,,,1 cup,,
37,6587621,Maple Walnut Ice Cream,30 mins, 3 hrs, 4 hrs 5 mins,8 ,8,487,33g,13g,193mg,77mg,46g,1g,37g,7g,1mg,149mg,2mg,302mg,4.8,33,35 mins,,,5 cups,,
38,6574842,Cookie Dough for Ice Cream (Eggless),5 mins,15 mins,20 mins,8 ,8,88,3g,2g,8mg,22mg,15g,0g,9g,1g,,6mg,0mg,15mg,4.4,215,,,,8 servings,,
39,6600435,Homemade Peanut Butter Ice Cream,10 mins, 3 hrs, 3 hrs 10 mins,10 ,10,340,17g,7g,27mg,189mg,39g,1g,37g,11g,2mg,248mg,1mg,412mg,4.5,37,,,,10 servings,,
40,6581285,Vanilla Ice Cream III,45 mins, 1 hr, 1 hr 45 mins,32 ,32,105,3g,2g,11mg,47mg,16g,,16g,3g,1mg,119mg,0mg,151mg,4.4,69,,,,1 gallon,,
41,6569802,Chocolate Frosty,5 mins, 2 hrs, 2 hrs 5 mins,12 ,12,228,9g,7g,18mg,101mg,32g,1g,30g,5g,1mg,185mg,0mg,265mg,4.7,13,,,,12 servings,,
42,6590308,Vanilla Cherry Ice Cream, 3 hrs 15 mins, 2 hrs, 5 hrs 15 mins,8 ,8,325,23g,14g,84mg,35mg,28g,1g,26g,3g,3mg,80mg,0mg,174mg,4.6,87,,,,4 cups,,
43,6570152,Keto Ice Cream,10 mins, 3 hrs, 3 hrs 10 mins,3 ,3,291,29g,18g,109mg,92mg,3g,1g,0g,2g,1mg,66mg,,62mg,4.8,8,,,,,,
44,6737091,Chef John's Strawberry Ice Cream,10 mins, 2 hrs 45 mins, 2 hrs 55 mins,12 ,12,205,15g,9g,56mg,40mg,17g,1g,15g,2g,17mg,54mg,0mg,104mg,4.7,137,,,,12 servings,,
45,6586119,Irish Cream Ice Cream,15 mins, 4 hrs, 4 hrs 15 mins,16 ,16,223,15g,9g,52mg,26mg,19g,,16g,2g,1mg,57mg,0mg,72mg,4.9,32,,,,2 quarts,,
