,id_recipe,name,Prep Time:,Cook Time:,Release Pressure Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Rest Time:,Yield:
0,7511106,Instant Pot Baked Potatoes,5 mins,30 mins,10 mins,35 mins,4 ,4,290,0g,0g,0mg,44mg,64g,7g,3g,8g,25mg,56mg,3mg,1645mg,,,,,
1,7498471,Instant Pot Steel Cut Oats,5 mins,30 mins,25 mins, 1 hr,7 ,7,210,7g,1g,0mg,11mg,31g,5g,1g,6g,0mg,31mg,2mg,167mg,4.0,1,,,
2,7494907,Instant Pot Quinoa,5 mins,15 mins,15 mins,35 mins,4 servings,4,61,1g,0g,2mg,350mg,10g,1g,1g,3g,0mg,12mg,1mg,96mg,,,,,
3,6663989,Instant Pot Carnitas,15 mins, 1 hr,, 1 hr 30 mins,24 ,24,154,11g,4g,43mg,471mg,2g,0g,1g,12g,7mg,24mg,1mg,211mg,4.9,424,15 mins,,
4,7113541,Instant Pot Dump and Go Seven Can Soup,5 mins,40 mins,5 mins,50 mins,6 ,6,288,7g,3g,22mg,1726mg,45g,9g,,15g,,,,525mg,,,,,
5,7104671,Dump-and-Go Instant Pot Tortilla Soup,5 mins,20 mins,5 mins,30 mins,4 ,4,297,16g,3g,52mg,2198mg,48g,7g,,24g,,,,514mg,4.0,1,,,
6,6744701,Instant Pot Chicken Tortilla Soup,10 mins,20 mins,,30 mins,4 ,4,244,3g,0g,38mg,1515mg,34g,10g,,23g,,,,763mg,4.0,1,,,
7,6741492,Instant Pot Candied Jalapeños,20 mins,30 mins,,5 days 1 hr,20 ,20,132,0g,,,5mg,33g,1g,,1g,,,,98mg,5.0,1,,5 days 10 mins,
8,6564823,Instant Pot Wheat Berries,5 mins,40 mins,, 1 hr,10 ,10,126,1g,0g,,102mg,27g,5g,0g,5g,,17mg,1mg,141mg,5.0,2,15 mins,,5 cups
9,6596794,Instant Pot Peach Cobbler,10 mins,25 mins,, 1 hr,4 ,4,432,16g,8g,31mg,306mg,72g,5g,56g,4g,12mg,109mg,2mg,459mg,4.0,1,25 mins,,
10,6663160,Instant Pot Corned Beef,5 mins, 1 hr 30 mins,, 2 hrs,4 ,4,417,28g,9g,146mg,1697mg,5g,0g,,28g,1mg,25mg,3mg,253mg,4.6,209,25 mins,,4 servings
11,6650194,Easy Pressure Cooker Pot Roast,15 mins, 1 hr 10 mins,, 1 hr 25 mins,8 ,8,450,22g,8g,78mg,311mg,38g,5g,4g,25g,40mg,56mg,4mg,1151mg,4.4,241,,,
12,6648625,Beef Stroganoff for Instant Pot,20 mins,35 mins,, 1 hr,8 ,8,536,26g,10g,121mg,1313mg,45g,2g,2g,29g,2mg,60mg,5mg,503mg,4.5,956,5 mins,,
13,6598703,Instant Pot Pinto Beans (No Soaking),15 mins, 1 hr,, 1 hr 25 mins,8 ,8,236,3g,1g,7mg,973mg,39g,9g,3g,15g,32mg,73mg,3mg,880mg,4.9,46,10 mins,,
14,6578560,Instant Pot Best Beef Stew,20 mins,55 mins,, 1 hr 25 mins,4 ,4,352,16g,7g,59mg,1321mg,32g,4g,5g,20g,8mg,49mg,3mg,542mg,4.6,205,10 mins,,
15,6663926,Instant Pot Mexican Rice,10 mins,20 mins,,35 mins,4 ,4,225,4g,1g,2mg,788mg,41g,1g,2g,5g,4mg,26mg,2mg,186mg,4.4,105,5 mins,,
16,6664647,Instant Pot Chicken Cacciatore,15 mins,40 mins,, 1 hr,4 ,4,392,25g,6g,96mg,1073mg,14g,3g,7g,30g,14mg,81mg,4mg,715mg,4.7,305,5 mins,,
17,6603227,Instant Pot Venison Pot Roast,5 mins, 2 hrs 35 mins,, 3 hrs,6 ,6,275,6g,2g,114mg,682mg,21g,2g,2g,33g,1mg,20mg,5mg,324mg,5.0,17,20 mins,,
18,6649479,Instant Pot Beef Bone Broth,10 mins, 2 hrs 55 mins,, 3 hrs 15 mins,8 ,8,21,0g,,,248mg,5g,1g,2g,1g,3mg,28mg,3mg,132mg,4.9,28,10 mins,,
19,6738154,Pressure Cooker Hard-Boiled Eggs,5 mins,6 mins,,46 mins,8 ,8,63,4g,1g,164mg,70mg,0g,,,6g,,32mg,1mg,62mg,4.8,129,35 mins,,
20,6648704,Instant Pot Pot Roast,20 mins, 1 hr 30 mins,, 2 hrs 5 mins,12 ,12,233,14g,5g,52mg,536mg,11g,2g,3g,15g,6mg,33mg,2mg,458mg,4.5,72,15 mins,,
21,6585400,Pressure Cooker Beef Stew,15 mins,30 mins,,45 mins,8 ,8,487,24g,9g,76mg,900mg,42g,6g,4g,26g,45mg,49mg,4mg,1372mg,4.5,141,,,
22,6737892,Instant Pot Mushroom Risotto,15 mins,30 mins,,50 mins,4 ,4,545,32g,12g,48mg,577mg,43g,3g,10g,15g,8mg,145mg,4mg,840mg,4.7,325,5 mins,,
23,6650598,Instant Pot Salsa Chicken,5 mins,25 mins,,50 mins,2 ,2,300,5g,1g,118mg,1546mg,14g,1g,5g,46g,1mg,37mg,2mg,477mg,4.8,186,20 mins,,
24,6663906,Pressure Cooker Chili,10 mins,20 mins,,35 mins,6 ,6,353,15g,5g,46mg,790mg,35g,12g,8g,22g,29mg,120mg,6mg,630mg,4.7,133,5 mins,,
25,6605855,Instant Pot Simple Steamed Crab Legs,5 mins,15 mins,,25 mins,4 ,4,199,16g,10g,83mg,324mg,1g,,0g,13g,6mg,41mg,0mg,244mg,4.9,20,5 mins,,
26,6739005,Instant Pot Meatloaf,20 mins,40 mins,, 1 hr 5 mins,8 ,8,295,15g,6g,71mg,466mg,19g,1g,8g,22g,3mg,44mg,3mg,338mg,4.6,66,5 mins,,
27,6603266,Instant Pot Ribs from Frozen,5 mins, 1 hr,, 1 hr 20 mins,4 ,4,309,22g,8g,88mg,1286mg,8g,0g,4g,18g,0mg,36mg,1mg,267mg,4.9,10,15 mins,,
28,6650164,Instant Pot Baked Beans,15 mins, 1 hr 10 mins,, 2 hrs 5 mins,12 ,12,321,15g,5g,17mg,392mg,36g,9g,12g,11g,2mg,88mg,3mg,655mg,4.8,48,40 mins,,
29,6595117,Instant Pot Steel-Cut Oats,5 mins,15 mins,,30 mins,2 ,2,300,5g,1g,,11mg,54g,8g,2g,10g,,11mg,4mg,4mg,4.9,17,10 mins,,
30,6571244,Easy Pressure Cooker Potatoes,5 mins,10 mins,,25 mins,8 ,8,224,0g,0g,,16mg,51g,4g,2g,6g,16mg,39mg,2mg,1183mg,5.0,5,10 mins,,
31,6648283,Fall-off-the-Bone Instant Pot Ribs,10 mins,40 mins,,55 mins,8 ,8,415,23g,8g,88mg,1175mg,33g,2g,25g,19g,4mg,76mg,3mg,469mg,4.7,95,5 mins,,2 racks of ribs
32,6603376,Instant Pot Lasagna Soup,10 mins,30 mins,,45 mins,4 ,4,608,22g,7g,70mg,1415mg,64g,7g,19g,38g,7mg,113mg,4mg,998mg,4.8,88,5 mins,,
33,6604385,Instant Pot Basic Cabbage Rolls,20 mins,55 mins,, 1 hr 35 mins,6 ,6,316,9g,3g,50mg,2253mg,42g,11g,16g,22g,91mg,137mg,5mg,1610mg,4.6,35,20 mins,,
34,6572584,Pressure Cooker Corned Beef Brisket,10 mins, 1 hr 40 mins,, 2 hrs,10 ,10,222,15g,5g,80mg,923mg,2g,0g,0g,15g,0mg,9mg,2mg,135mg,4.6,48,10 mins,,
35,6649092,Afghani Kabli Pulao,25 mins,42 mins,, 1 hr 39 mins,6 ,6,378,8g,1g,,402mg,71g,4g,10g,9g,7mg,89mg,2mg,292mg,4.9,7,32 mins,,6 servings
36,6584554,Instant Pot Frozen Salmon,5 mins,5 mins,,15 mins,2 ,2,172,7g,1g,51mg,131mg,3g,0g,1g,25g,15mg,47mg,1mg,446mg,4.2,39,5 mins,,
37,6595910,Instant Pot Navy Bean and Ham Soup,15 mins, 1 hr 10 mins,, 1 hr 45 mins,10 ,10,384,11g,3g,29mg,1380mg,46g,18g,6g,25g,23mg,131mg,5mg,1077mg,4.7,99,20 mins,,
38,6572433,Frozen Pork Chops in the Instant Pot,15 mins,35 mins,, 1 hr 10 mins,4 ,4,266,17g,9g,77mg,805mg,11g,2g,3g,18g,4mg,54mg,1mg,536mg,4.7,9,20 mins,,
39,6570780,Instant Pot Italian Wedding Soup,10 mins,30 mins,,55 mins,4 ,4,309,14g,5g,67mg,410mg,25g,4g,5g,21g,9mg,133mg,3mg,622mg,4.8,110,15 mins,,
40,6566448,Copycat V8 Juice,20 mins,55 mins,, 1 hr 15 mins,4 ,4,61,0g,0g,,757mg,14g,3g,10g,2g,28mg,31mg,1mg,488mg,4.0,15,,,1 quart
41,6583894,Best Instant Pot Scalloped Potatoes,15 mins,25 mins,,45 mins,4 ,4,506,27g,17g,88mg,852mg,44g,4g,1g,22g,0mg,511mg,1mg,82mg,4.6,69,5 mins,,
42,6576019,Instant Pot Pork Chops,5 mins,15 mins,,30 mins,4 ,4,208,13g,7g,56mg,662mg,12g,1g,6g,11g,24mg,27mg,0mg,251mg,4.4,50,10 mins,,
43,6740932,Instant Pot Turkey Breast,10 mins,35 mins,, 1 hr 5 mins,8 ,8,584,22g,6g,220mg,655mg,5g,1g,1g,86g,2mg,79mg,4mg,915mg,4.6,84,20 mins,,6 pounds
44,6592927,Instant Pot Creamy Mushroom Soup,10 mins,30 mins,,55 mins,6 ,6,254,19g,12g,69mg,1341mg,15g,2g,3g,6g,4mg,46mg,2mg,443mg,4.8,51,15 mins,,
45,6591018,"Pressure Cooker Bone-In Pork Chops, Baked Potatoes, and Carrots",15 mins,20 mins,,35 mins,4 ,4,574,22g,11g,101mg,404mg,60g,5g,7g,35g,21mg,81mg,5mg,1807mg,4.5,125,,,
46,6598196,Instant Pot Southern Cabbage,20 mins,15 mins,,35 mins,8 ,8,136,11g,5g,22mg,155mg,9g,4g,5g,3g,54mg,61mg,1mg,274mg,4.7,75,,,
47,6736397,Instant Pot Vegan Cabbage Detox Soup,15 mins,25 mins,,50 mins,6 ,6,67,0g,0g,,348mg,13g,4g,7g,2g,27mg,79mg,2mg,367mg,4.5,242,10 mins,,
48,6651192,Instant Pot Shepherd's Pie,10 mins,35 mins,, 1 hr,6 ,6,347,18g,8g,65mg,576mg,29g,5g,3g,18g,30mg,73mg,3mg,847mg,4.5,52,15 mins,,1 8-inch square dish
