,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:
0,6664392,20 mins,45 mins, 1 hr 5 mins,6 ,6 servings,6,465,20g,6g,73mg,1633mg,42g,3g,2g,28g,20mg,67mg,4mg,666mg,4.7,"1,127",
1,6738206,15 mins, 1 hr, 1 hr 15 mins,4 ,,4,495,25g,10g,221mg,1909mg,37g,5g,3g,30g,44mg,106mg,6mg,694mg,4.7,812,
2,6650653,20 mins, 3 hrs, 3 hrs 20 mins,12 ,,12,235,14g,4g,99mg,688mg,6g,1g,3g,20g,18mg,64mg,3mg,348mg,4.5,"2,953",
3,6737405,15 mins,30 mins,45 mins,6 ,,6,488,14g,4g,74mg,1083mg,59g,2g,3g,29g,20mg,52mg,4mg,498mg,4.5,783,
4,6663645,10 mins,40 mins,50 mins,6 ,,6,861,53g,18g,103mg,2802mg,65g,2g,1g,28g,4mg,38mg,2mg,395mg,4.8,40,
5,6664640,20 mins,30 mins,50 mins,8 ,8 servings,8,414,15g,4g,114mg,979mg,50g,3g,5g,20g,37mg,60mg,3mg,318mg,4.8,49,
6,6736531,25 mins,40 mins, 1 hr 5 mins,12 ,12 servings,12,349,14g,5g,72mg,1177mg,32g,2g,1g,23g,23mg,63mg,4mg,536mg,4.7,"1,037",
7,6738345,45 mins, 2 hrs, 2 hrs 45 mins,16 ,16 servings,16,541,26g,10g,125mg,1858mg,48g,3g,5g,29g,30mg,86mg,5mg,700mg,4.6,440,
8,6568809,30 mins, 1 hr 10 mins, 1 hr 40 mins,6 ,,6,622,23g,10g,157mg,1880mg,67g,4g,8g,35g,41mg,105mg,7mg,968mg,4.7,106,
9,6737630,15 mins,30 mins,45 mins,6 ,6 servings,6,260,9g,3g,167mg,975mg,15g,4g,4g,32g,70mg,81mg,4mg,794mg,4.8,346,
10,6738019,20 mins,45 mins, 1 hr 5 mins,6 ,6 servings,6,550,29g,11g,96mg,1610mg,45g,5g,11g,29g,65mg,164mg,5mg,785mg,4.4,448,
11,6606094,10 mins,30 mins,45 mins,8 ,,8,321,19g,6g,144mg,939mg,7g,2g,4g,27g,22mg,75mg,5mg,443mg,4.9,18,5 mins
12,6598637,10 mins,30 mins,40 mins,6 ,,6,420,28g,12g,56mg,1091mg,26g,3g,4g,15g,2mg,30mg,2mg,257mg,4.6,59,
13,6648779,10 mins,35 mins,45 mins,6 ,6 servings,6,504,34g,13g,217mg,1316mg,13g,4g,2g,36g,25mg,55mg,3mg,504mg,4.9,8,
14,6579409,15 mins,30 mins,45 mins,4 ,,4,308,9g,4g,75mg,563mg,30g,2g,3g,25g,21mg,36mg,3mg,280mg,4.5,176,
15,6576123,10 mins,35 mins,45 mins,6 ,,6,400,12g,3g,23mg,1541mg,53g,10g,3g,17g,25mg,107mg,4mg,335mg,4.6,109,
16,6591256,25 mins, 4 hrs 30 mins, 4 hrs 55 mins,6 ,6 servings,6,334,10g,2g,,965mg,41g,4g,5g,20g,25mg,106mg,7mg,402mg,4.5,32,
17,6572340,30 mins,25 mins, 1 hr,4 ,4 servings,4,380,8g,2g,133mg,1016mg,48g,3g,5g,28g,28mg,80mg,5mg,594mg,4.8,6,5 mins
18,6594171,25 mins, 3 hrs 10 mins, 6 hrs 30 mins,50 ,50 servings,50,462,20g,7g,202mg,1272mg,27g,2g,3g,40g,16mg,94mg,6mg,583mg,4.7,58, 2 hrs 55 mins
19,6592046,30 mins,30 mins, 1 hr,4 ,4 servings,4,375,17g,5g,80mg,1064mg,32g,2g,4g,21g,17mg,76mg,5mg,416mg,4.5,117,
20,6595801,15 mins,20 mins,35 mins,6 ,6 servings,6,529,28g,12g,54mg,846mg,48g,4g,9g,18g,30mg,71mg,5mg,344mg,4.5,38,
21,6594849,19 mins, 4 hrs 30 mins, 4 hrs 49 mins,12 ,12 servings,12,404,19g,6g,123mg,843mg,32g,2g,3g,26g,11mg,68mg,5mg,375mg,4.5,35,
22,6564525,20 mins, 4 hrs 40 mins, 5 hrs,8 ,8 servings,8,301,12g,4g,122mg,1108mg,27g,2g,4g,20g,24mg,60mg,4mg,339mg,,,
23,6576935,40 mins, 9 hrs 20 mins, 10 hrs,8 ,8 servings,8,270,5g,1g,145mg,441mg,30g,3g,4g,27g,24mg,76mg,5mg,574mg,4.1,51,
24,6601768,20 mins,30 mins,50 mins,6 ,6 servings,6,611,33g,11g,263mg,1158mg,26g,3g,4g,51g,66mg,100mg,6mg,927mg,4.3,4,
25,6589459,25 mins, 1 hr 30 mins, 1 hr 55 mins,8 ,8 servings,8,302,7g,3g,29mg,705mg,44g,5g,3g,18g,33mg,66mg,2mg,567mg,4.7,32,
