,id_recipe,name,Prep Time:,Additional Time:,Total Time:,Servings:,Average_Review,Review_Count,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Calcium,Iron,Potassium,Vitamin C,Cook Time:
0,6738141,Pudding Shots,5 mins,30 mins,35 mins,15 ,3.8,96,,,,,,,,,,,,,,,,
1,6565707,RumChata Pudding Shots,15 mins, 3 hrs, 3 hrs 15 mins,15 ,4.9,31,15 pudding shots,15,138,6g,5g,5mg,127mg,17g,0g,13g,1g,21mg,0mg,45mg,,
2,6648174,Halloween Candy Corn Jell-O Shots,15 mins, 3 hrs 30 mins, 3 hrs 45 mins,16 ,4.4,24,16 shots,16,202,2g,1g,8mg,81mg,22g,,22g,3g,71mg,0mg,92mg,1mg,
3,6564146,Chocolate Pudding Shots,10 mins,,10 mins,16 ,4.9,24,,16,113,4g,3g,1mg,106mg,13g,0g,12g,1g,15mg,0mg,36mg,,
4,6563263,Tainted Fruit Shots,5 mins, 1 hr, 1 hr 5 mins,20 ,4.9,86,,,,,,,,,,,,,,,,
5,6563501,White Russian Pudding Shot,10 mins,,10 mins,12 ,5.0,5,12 servings,12,145,5g,4g,1mg,126mg,16g,,15g,1g,20mg,,31mg,0mg,
6,6591678,Margarita Jell-O® Shots,5 mins, 5 hrs, 5 hrs 5 mins,15 ,5.0,3,15 shots,15,52,,,,27mg,7g,,7g,1g,1mg,,1mg,,
7,6563996,Raspberry Party Shots,20 mins, 1 hr, 1 hr 25 mins,10 ,4.5,18,10 party shots,,,,,,,,,,,,,,,5 mins
8,6564498,Buttery Nipple Gourmet Pudding Shots,15 mins,30 mins,45 mins,12 ,5.0,3,12 pudding shots,12,97,1g,1g,3mg,139mg,14g,,12g,1g,42mg,,55mg,0mg,
9,6576183,Mangonada Jell-O Shots,10 mins, 4 hrs 5 mins, 4 hrs 25 mins,20 ,4.0,1,20 shots,20,49,,,,28mg,5g,,5g,1g,1mg,,2mg,1mg,10 mins
10,6578295,Oreo Cookie Gourmet Pudding Shots,10 mins,30 mins,40 mins,12 ,5.0,2,12 pudding shots,12,140,5g,4g,2mg,131mg,14g,,12g,1g,25mg,,34mg,,
11,6591331,Pink Brain Shooter,20 mins, 4 hrs 20 mins, 4 hrs 40 mins,12 ,4.8,25,1 brain,12,252,3g,2g,9mg,141mg,41g,,40g,5g,84mg,0mg,101mg,1mg,
12,6563404,Piña Colada Pudding Shots!,10 mins,30 mins,40 mins,24 ,4.8,6,24 pudding shots,24,71,3g,2g,0mg,47mg,6g,0g,5g,0g,7mg,,13mg,,
13,6561666,Sex on the Beach Jell-O Shots,5 mins, 4 hrs, 4 hrs 5 mins,20 ,5.0,2,,20,82,,,,31mg,11g,,11g,1g,1mg,,2mg,,
14,6566884,Strawberry Cheesecake Jell-O Shots,20 mins, 1 hr 30 mins, 1 hr 50 mins,12 ,4.0,3,,12,225,11g,6g,32mg,192mg,14g,0g,10g,3g,3mg,0mg,11mg,,
15,6580930,St. Patrick's Day Jell-O Shots,10 mins, 8 hrs, 8 hrs 10 mins,8 ,,,8 shots,8,126,,,,34mg,14g,,11g,1g,1mg,,1mg,,
16,6564134,Baileys® and Coffee Jell-O® Shots,10 mins, 4 hrs, 4 hrs 10 mins,8 ,,,8 shots,8,68,0g,,,8mg,7g,,6g,3g,2mg,,4mg,,
17,6737682,French 75 Jell-O Shots,10 mins, 8 hrs, 8 hrs 10 mins,16 ,5.0,3,,16,65,,,,20mg,6g,,3g,1g,3mg,0mg,26mg,,
18,6563666,Caramel Apple Martini Pudding Shots,10 mins,,10 mins,12 ,4.7,7,12 pudding shots,12,148,5g,4g,1mg,136mg,18g,,16g,1g,19mg,,28mg,,
19,6561772,Chocolate-Strawberry-Baileys® Pudding Shots,15 mins, 1 hr, 1 hr 15 mins,16 ,,,16 servings,16,160,5g,4g,3mg,168mg,22g,0g,19g,1g,37mg,0mg,61mg,0mg,
20,6739754,Top Shelf Sparkling Margarita Jell-O,15 mins, 4 hrs 15 mins, 4 hrs 30 mins,24 ,5.0,3,,24,145,,,,76mg,20g,,20g,1g,2mg,,3mg,0mg,
21,6563211,Tart Lemon Drop Jelly Shots,10 mins, 6 hrs 15 mins, 6 hrs 45 mins,50 ,4.7,3,50 servings,50,106,0g,,,4mg,16g,1g,14g,1g,13mg,0mg,28mg,14mg,20 mins
