,id_recipe,name,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Total Sugars,Yield:
0,6664633,Doc's Best Beef Jerky,20 mins, 4 hrs, 8 hrs, 12 hrs 20 mins,10 ,10,228,14g,5g,57mg,733mg,5g,0g,19g,1mg,13mg,2mg,362mg,4.7,442,,
1,6650919,Homemade Beef Jerky,15 mins, 3 hrs, 3 hrs, 6 hrs 15 mins,6 ,6,286,11g,4g,81mg,2179mg,14g,1g,33g,6mg,55mg,6mg,679mg,4.7,218,7g,
2,6595952,Deer Jerky,20 mins, 6 hrs, 8 hrs, 14 hrs 20 mins,8 ,8,111,5g,1g,48mg,786mg,3g,0g,14g,1mg,14mg,3mg,275mg,4.7,134,1g,
3,6663960,"Jerky Lover's Jerky - Sweet, Hot and Spicy!",15 mins, 5 hrs, 3 hrs 15 mins, 8 hrs 30 mins,4 ,4,527,28g,7g,60mg,3319mg,47g,1g,23g,7mg,85mg,5mg,674mg,4.8,302,39g,
4,6594479,Sweet and Spicy Venison Jerky,15 mins, 4 hrs,1 day,1 day 4 hrs 15 mins,8 ,8,208,7g,1g,48mg,2186mg,22g,1g,15g,4mg,47mg,4mg,429mg,4.7,63,18g,
5,6565630,Dad's Jerky Marinade,10 mins,,,10 mins,8 ,8,72,0g,,,993mg,17g,0g,1g,1mg,25mg,1mg,130mg,4.7,53,15g,1 cup
6,6590258,Smoked Beef Jerky,10 mins, 6 hrs, 8 hrs, 14 hrs 10 mins,6 ,6,362,23g,9g,101mg,2489mg,6g,2g,32g,1mg,38mg,6mg,624mg,4.5,19,1g,
7,6603267,Ground Beef Jerky,15 mins, 5 hrs 30 mins,, 5 hrs 45 mins,8 ,8,126,8g,3g,39mg,619mg,1g,0g,12g,0mg,6mg,1mg,165mg,3.6,20,0g,8 servings
8,6581237,Venison Jerky,15 mins, 5 hrs,10 mins, 5 hrs 25 mins,15 ,15,81,2g,1g,51mg,895mg,0g,0g,14g,0mg,6mg,2mg,200mg,4.4,9,0g,1 pound
9,6600951,Air Fryer Oven Beef Jerky,10 mins, 3 hrs, 9 hrs, 12 hrs 10 mins,16 ,16,133,8g,3g,36mg,1397mg,1g,,13g,,4mg,2mg,168mg,,,0g,1 pound of jerky
10,6603141,Spicy Salmon Jerky,10 mins,, 10 hrs, 10 hrs 10 mins,12 ,12,232,11g,2g,77mg,1317mg,8g,0g,26g,2mg,24mg,1mg,465mg,4.8,4,5g,12 servings
11,6593968,Mike's Peppered Beef Jerky,25 mins, 10 hrs,1 day,1 day 10 hrs 25 mins,24 ,24,169,4g,1g,68mg,569mg,4g,0g,28g,1mg,17mg,3mg,350mg,4.6,33,2g,24 servings
12,6587196,Teriyaki Beef Jerky,15 mins, 6 hrs, 6 hrs, 12 hrs 15 mins,12 ,12,207,4g,2g,26mg,3069mg,29g,0g,13g,5mg,35mg,2mg,322mg,3.9,11,26g,12 servings
13,6606067,Air Fryer Steak Jerky,10 mins, 2 hrs 15 mins, 16 hrs, 18 hrs 25 mins,4 ,4,147,5g,2g,39mg,1277mg,4g,0g,21g,0mg,33mg,2mg,321mg,3.0,2,2g,4 servings
