,id_recipe,name,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:
0,6581968,Korean BBQ Short Ribs (Galbi),15 mins,10 mins, 7 hrs, 7 hrs 25 mins,5 ,5,710,56g,22g,112mg,2231mg,23g,1g,17g,29g,4mg,53mg,4mg,430mg,4.7,257,
1,6738209,Kalbi (Korean BBQ Short Ribs),15 mins,15 mins, 3 hrs, 3 hrs 30 mins,4 ,4,1096,86g,36g,172mg,2831mg,45g,1g,41g,36g,2mg,72mg,5mg,709mg,4.8,247,
2,6648646,Korean BBQ Galbi,30 mins,10 mins, 9 hrs, 9 hrs 40 mins,6 ,6,1092,79g,31g,155mg,2501mg,58g,2g,51g,39g,5mg,74mg,5mg,611mg,4.8,46,
3,6587749,Kalbi (Marinated Beef Short Ribs),10 mins,30 mins, 8 hrs, 8 hrs 40 mins,6 ,6,995,80g,31g,155mg,1888mg,29g,1g,26g,39g,2mg,64mg,5mg,483mg,4.5,45,6 servings
4,6579245,Instant Pot Galbi (Korean-Style Short Ribs),20 mins,55 mins, 1 hr 10 mins, 2 hrs 25 mins,6 ,6,657,47g,18g,93mg,1589mg,31g,3g,21g,25g,11mg,78mg,4mg,563mg,4.4,9,
5,6603467,Easy and Simple Korean BBQ Ribs,15 mins,15 mins, 2 hrs, 2 hrs 30 mins,4 ,4,771,49g,19g,93mg,3660mg,57g,1g,51g,26g,3mg,49mg,4mg,418mg,4.8,33,4 servings
6,6585861,Kalbi (Korean BBQ Short Ribs): Authentic Recipe,15 mins,6 mins, 2 hrs, 2 hrs 21 mins,4 ,4,647,52g,19g,93mg,956mg,21g,1g,18g,23g,2mg,40mg,3mg,298mg,4.7,3,4 servings
7,6605808,Kalbi (Korean Marinated Short Ribs),20 mins,8 mins, 9 hrs, 9 hrs 28 mins,10 ,10,347,29g,11g,56mg,753mg,8g,1g,6g,14g,2mg,34mg,2mg,208mg,5.0,1,3 pounds ribs
8,6568349,The Real Deal Korean Beef Ribs,15 mins,15 mins,1 day 1 hr,1 day 1 hr 30 mins,6 ,6,692,27g,11g,123mg,787mg,47g,1g,43g,42g,1mg,35mg,6mg,494mg,4.4,21,6 servings
9,6573685,Gluten-Free Kalbi Beef,10 mins,20 mins, 1 hr 15 mins, 1 hr 45 mins,10 ,10,608,48g,19g,93mg,2444mg,17g,1g,14g,26g,2mg,45mg,4mg,345mg,4.0,2,10 servings
10,6601140,Korean BBQ-Inspired Short Ribs,10 mins,15 mins, 3 hrs 5 mins, 3 hrs 30 mins,4 ,4,619,50g,19g,93mg,1593mg,20g,2g,14g,23g,4mg,67mg,4mg,341mg,3.5,2,4 servings
11,6594039,Stewed Korean Short Ribs (Kalbi Jim),20 mins, 1 hr,, 1 hr 20 mins,6 ,6,647,55g,24g,115mg,805mg,14g,1g,11g,23g,3mg,41mg,3mg,498mg,4.0,9,6 servings
12,6578465,Las Vegas Galbi (Korean-Style Beef Ribs),20 mins,16 mins, 8 hrs, 8 hrs 36 mins,8 ,8,383,18g,6g,58mg,1847mg,34g,2g,30g,22g,11mg,39mg,3mg,372mg,5.0,1,8 servings
