,id_recipe,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count
0,6663654,15 mins,5 mins, 1 hr, 1 hr 20 mins,8 ,1 9-inch pie,8,553,21g,10g,45mg,325mg,85g,1g,74g,11g,11mg,353mg,1mg,502mg,4.8,"4,220"
1,6650829,20 mins,15 mins,,35 mins,8 ,1 9-inch pie,8,324,14g,5g,145mg,217mg,46g,1g,37g,7g,6mg,160mg,1mg,235mg,4.7,"1,526"
2,6595259,20 mins,20 mins,30 mins, 1 hr 10 mins,18 ,"1 8-inch, 3-layer cake",18,477,30g,9g,75mg,284mg,50g,0g,,4g,6mg,30mg,1mg,76mg,4.5,351
3,6595284,20 mins,5 mins, 1 hr, 1 hr 25 mins,12 ,12 mini pies,12,451,20g,10g,47mg,272mg,63g,1g,50g,9g,13mg,267mg,1mg,373mg,4.8,48
4,6599694,,,,,8 ,1 to 10 - inch pie,8,495,26g,17g,17mg,256mg,62g,1g,52g,6g,6mg,151mg,1mg,238mg,4.6,128
5,6600952,30 mins,10 mins, 1 hr, 1 hr 40 mins,8 ,8 servings,8,731,32g,20g,99mg,287mg,52g,1g,43g,6g,7mg,39mg,1mg,81mg,4.7,123
6,6738210,15 mins,15 mins, 4 hrs, 4 hrs 30 mins,8 ,1 to 9 - inch pie,8,420,25g,15g,146mg,234mg,43g,1g,35g,8g,9mg,178mg,1mg,294mg,4.6,306
7,6574869,,,,,8 ,1 pie,8,921,43g,24g,120mg,561mg,108g,1g,96g,17g,8mg,425mg,1mg,145mg,4.5,122
8,6583009,20 mins,25 mins, 8 hrs, 8 hrs 45 mins,8 ,1 9-inch pie,8,456,27g,13g,165mg,177mg,47g,1g,37g,9g,6mg,195mg,1mg,285mg,4.8,253
9,6573571,,,,,8 ,1 to 9 - inch pie,8,282,9g,3g,74mg,212mg,49g,0g,35g,4g,3mg,17mg,1mg,74mg,4.2,77
10,6591033,,,,,8 ,1 pie,8,405,22g,14g,31mg,242mg,50g,0g,41g,4g,10mg,31mg,1mg,92mg,3.9,34
11,6594447,20 mins,, 2 hrs, 2 hrs 20 mins,8 ,1 to 10 - inch pie,8,440,21g,11g,17mg,390mg,60g,1g,43g,6g,12mg,150mg,1mg,243mg,4.6,287
12,6566646,15 mins,15 mins, 5 hrs, 5 hrs 30 mins,8 ,1 8-inch pie,8,460,17g,8g,172mg,252mg,69g,0g,62g,11g,7mg,300mg,1mg,413mg,4.5,2
13,6592790,15 mins,, 2 hrs 15 mins, 2 hrs 30 mins,12 ,12 mini pies,12,302,13g,9g,25mg,101mg,44g,1g,39g,3g,12mg,106mg,0mg,156mg,5.0,1
14,6590291,35 mins,, 4 hrs, 4 hrs 35 mins,8 ,8 servings,8,415,41g,20g,93mg,268mg,5g,2g,1g,7g,0mg,68mg,1mg,148mg,3.8,79
15,6567490,25 mins,45 mins, 1 hr, 2 hrs 10 mins,16 ,16 bars,16,134,5g,3g,35mg,55mg,21g,1g,13g,2g,3mg,16mg,1mg,36mg,5.0,1
16,6570046,,,,,8 ,1 pie,8,382,23g,12g,57mg,196mg,40g,0g,27g,6g,7mg,162mg,1mg,238mg,4.3,48
17,6600478,10 mins,, 3 hrs 50 mins, 4 hrs,8 ,1 to 9 - inch pie,8,247,10g,3g,108mg,204mg,34g,0g,26g,6g,3mg,68mg,1mg,149mg,4.7,13
18,6595288,20 mins,22 mins,,42 mins,6 ,6 jars,6,509,29g,17g,217mg,183mg,56g,2g,46g,9g,14mg,228mg,1mg,349mg,4.5,6
19,6562383,20 mins,25 mins, 3 hrs 20 mins, 4 hrs 5 mins,8 ,1 9-inch pie,8,459,27g,17g,144mg,222mg,52g,2g,35g,6g,9mg,165mg,0mg,231mg,,
20,6583600,,,,,8 ,1 pie,8,364,16g,7g,86mg,262mg,49g,1g,41g,8g,5mg,158mg,1mg,247mg,4.5,35
21,6567174,15 mins,20 mins,15 mins,50 mins,8 ,1 9-inch pie,8,355,19g,11g,124mg,170mg,41g,1g,32g,6g,6mg,157mg,1mg,234mg,,
22,6602309,15 mins,7 mins, 23 hrs 38 mins,1 day,8 ,1 to 9 - inch pie,8,319,14g,9g,37mg,342mg,44g,1g,32g,5g,4mg,147mg,1mg,213mg,4.4,40
23,6565738,30 mins,25 mins, 2 hrs 30 mins, 3 hrs 25 mins,8 ,1 9-inch pie,8,508,29g,17g,161mg,261mg,58g,2g,43g,7g,18mg,193mg,2mg,301mg,,
24,6588174,20 mins,35 mins, 8 hrs 10 mins, 9 hrs 5 mins,8 ,1 10-inch pie,8,834,29g,13g,198mg,370mg,133g,3g,81g,13g,38mg,336mg,2mg,590mg,4.7,3
25,6562083,20 mins,20 mins, 3 hrs, 3 hrs 40 mins,8 ,1 9-inch pie,8,444,17g,8g,86mg,268mg,67g,1g,57g,8g,8mg,160mg,1mg,298mg,,
26,6564624,30 mins,20 mins, 12 hrs 30 mins, 13 hrs 20 mins,10 ,1 9 1/2-inch pie,10,526,21g,13g,39mg,124mg,73g,1g,60g,8g,8mg,223mg,1mg,120mg,,
