,id_recipe,Prep Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Cook Time:,Additional Time:,Yield:
0,7966165,5 mins,5 mins,1 ,1,243,4g,2g,12mg,61mg,47g,3g,33g,5g,10mg,168mg,0mg,632mg,5.0,2,,,
1,7093845,10 mins,20 mins,4 ,4,340,10g,2g,,347mg,55g,2g,,6g,,,,243mg,2.0,1,10 mins,,
2,6650442,10 mins, 1 hr 15 mins,4 ,4,232,13g,3g,27mg,1157mg,12g,1g,8g,16g,3mg,68mg,2mg,269mg,4.8,"1,166",5 mins, 1 hr,4 servings
3,6581968,15 mins, 7 hrs 25 mins,5 ,5,710,56g,22g,112mg,2231mg,23g,1g,17g,29g,4mg,53mg,4mg,430mg,4.7,257,10 mins, 7 hrs,
4,6582302,10 mins,15 mins,4 ,4,288,23g,3g,,508mg,15g,3g,1g,16g,21mg,110mg,3mg,671mg,4.6,72,5 mins,,
5,6736465, 1 hr,4 days 7 hrs,56 ,56,12,0g,,,1917mg,2g,1g,1g,1g,12mg,37mg,23mg,135mg,4.4,83,,4 days 6 hrs,14 cups
6,6650013,30 mins, 1 hr,4 ,4,569,19g,5g,243mg,574mg,63g,4g,7g,35g,30mg,152mg,7mg,1012mg,4.6,84,30 mins,,
7,6738209,15 mins, 3 hrs 30 mins,4 ,4,1096,86g,36g,172mg,2831mg,45g,1g,41g,36g,2mg,72mg,5mg,709mg,4.8,247,15 mins, 3 hrs,
8,6736572,10 mins, 1 hr 15 mins,6 ,6,226,10g,3g,49mg,844mg,11g,1g,8g,21g,2mg,27mg,6mg,316mg,4.7,183,5 mins, 1 hr,
9,6597632,5 mins,25 mins,4 ,4,363,11g,2g,,1073mg,65g,1g,14g,2g,,39mg,2mg,85mg,4.7,35,5 mins,15 mins,
10,6649829,15 mins,25 mins,1 ,1,938,70g,34g,515mg,2595mg,50g,6g,15g,32g,42mg,432mg,6mg,718mg,4.9,37,10 mins,,1 large sandwich
