,id_recipe,name,Prep Time:,Cook Time:,Rest Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Yield:
0,7563610,Roasted Butternut Squash and Spinach Lasagna,40 mins, 1 hr 10 mins,10 mins, 2 hrs,10 ,10,600,29g,16g,120mg,1353mg,54g,9g,11g,32g,35mg,650mg,4mg,1197mg,,,,
1,6580300,Butternut Squash Lasagna,30 mins, 1 hr 30 mins,, 2 hrs,12 ,12,296,12g,6g,35mg,484mg,31g,2g,9g,16g,6mg,461mg,2mg,506mg,4.6,28,,
2,6664254,World's Best Lasagna,30 mins, 2 hrs 30 mins,, 3 hrs 15 mins,12 ,12,448,21g,10g,82mg,1400mg,37g,4g,9g,30g,17mg,442mg,4mg,876mg,4.8,"20,198",15 mins,
3,6664293,Homemade Lasagna, 1 hr 25 mins, 1 hr 15 mins,, 2 hrs 50 mins,8 ,8,638,27g,13g,161mg,2053mg,54g,5g,4g,46g,13mg,637mg,5mg,785mg,4.6,351,10 mins,1 9x13-inch lasagna
4,6738880,Slow Cooker Lasagna,20 mins, 4 hrs 10 mins,, 4 hrs 30 mins,10 ,10,446,20g,10g,72mg,1420mg,36g,3g,8g,31g,11mg,453mg,3mg,715mg,4.2,"1,132",,
5,6649446,Easy Lasagna,10 mins, 1 hr 10 mins,, 1 hr 30 mins,12 ,12,377,17g,8g,90mg,870mg,26g,3g,8g,29g,2mg,332mg,2mg,463mg,4.6,"1,122",10 mins,1 9x13-inch lasagna
6,6663480,No-Noodle Zucchini Lasagna,30 mins, 1 hr,, 1 hr 35 mins,8 ,8,494,27g,14g,118mg,2200mg,23g,6g,11g,41g,39mg,806mg,5mg,1418mg,4.6,666,5 mins,1 (9x13-inch) lasagna
7,6664364,Hearty Vegetable Lasagna,25 mins, 1 hr,, 1 hr 40 mins,12 ,12,463,20g,9g,77mg,843mg,50g,5g,14g,23g,12mg,369mg,3mg,700mg,4.7,"1,009",15 mins,1 9x13-inch lasagna
8,6663310,White Cheese Chicken Lasagna,25 mins,50 mins,, 1 hr 15 mins,12 ,12,369,21g,12g,77mg,671mg,23g,2g,3g,24g,4mg,395mg,2mg,368mg,4.4,"2,505",,1 9x13-inch lasagna
9,6650680,Spinach Lasagna,20 mins, 1 hr 15 mins,, 1 hr 50 mins,12 ,12,289,17g,9g,50mg,851mg,15g,2g,,20g,4mg,548mg,1mg,382mg,4.7,728,15 mins,1 9x13-inch lasagna
10,6663912,Classic and Simple Meat Lasagna,25 mins, 1 hr,, 1 hr 35 mins,8 ,8,501,19g,9g,115mg,999mg,47g,6g,12g,36g,2mg,361mg,4mg,717mg,4.6,223,10 mins,1 9x13-inch lasagna
11,6601349,Cheese Lasagna,20 mins,45 mins,, 1 hr 5 mins,8 ,8,436,14g,6g,120mg,711mg,58g,5g,12g,20g,3mg,224mg,3mg,524mg,4.3,174,,1 9x13-inch lasagna
12,6648319,Ultimate Low-Carb Zucchini Lasagna,20 mins, 1 hr,, 1 hr 20 mins,6 ,6,424,27g,12g,117mg,1427mg,15g,3g,8g,30g,15mg,476mg,3mg,667mg,4.8,135,,1 8-inch baking dish
13,6663146,Eggplant Lasagna,30 mins, 1 hr,, 1 hr 35 mins,8 ,8,405,21g,8g,108mg,1496mg,30g,9g,12g,28g,16mg,400mg,4mg,1117mg,4.7,382,5 mins,1 9x13-inch lasagna
14,6570797,Taco Lasagna,20 mins,45 mins,, 1 hr 5 mins,12 ,12,475,29g,15g,97mg,1041mg,28g,4g,4g,27g,4mg,336mg,3mg,542mg,4.6,574,,1 9x13-inch pan
15,6664627,Chef John's Lasagna,25 mins, 3 hrs 15 mins,, 4 hrs,12 ,12,730,39g,20g,159mg,1514mg,50g,5g,14g,43g,5mg,524mg,4mg,846mg,4.8,445,20 mins,1 10x15-inch lasagna
16,6738871,Deep Dish Lasagna,40 mins, 1 hr,, 1 hr 50 mins,12 ,12,391,18g,8g,94mg,1467mg,34g,4g,9g,25g,17mg,438mg,4mg,810mg,4.7,120,10 mins,1 9x13-inch lasagna
17,6739101,Creamy Chicken Lasagna,25 mins, 1 hr 5 mins,, 1 hr 30 mins,6 ,6,495,26g,14g,104mg,1061mg,36g,4g,12g,28g,2mg,257mg,3mg,578mg,4.6,789,,1 9x13-inch lasagna
18,6580896,Simple Spinach Lasagna,20 mins, 1 hr 35 mins,, 2 hrs 5 mins,8 ,8,361,12g,5g,48mg,1048mg,42g,6g,13g,23g,12mg,395mg,4mg,738mg,4.6,547,10 mins,1 9x13-inch lasagna
19,6739099,American Lasagna,30 mins, 1 hr,, 1 hr 40 mins,8 ,8,664,30g,15g,168mg,1900mg,48g,4g,14g,51g,23mg,759mg,6mg,872mg,4.7,"2,728",10 mins,1 9x13-inch dish
20,6738314,Easy Lasagna with Uncooked Noodles,35 mins, 1 hr 10 mins,, 1 hr 55 mins,8 ,8,702,30g,15g,142mg,1058mg,63g,5g,12g,44g,3mg,526mg,4mg,783mg,4.5,566,10 mins,
21,6739583,Grandma's Best Ever Sour Cream Lasagna,25 mins, 1 hr 10 mins,, 1 hr 35 mins,8 ,8,670,42g,22g,189mg,2106mg,31g,2g,6g,41g,11mg,888mg,5mg,602mg,4.8,151,,1 9x13-inch lasagna
