,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:,Additional Time:
0,7968859,Green Lentil “Gumbo” Soup,20 mins, 1 hr 20 mins, 1 hr 40 mins,6 ,6,374,23g,6g,76mg,704mg,20g,5g,5g,26g,28mg,74mg,3mg,870mg,5.0,3,,
1,6735371,Autumn Lentil Soup,10 mins, 2 hrs, 2 hrs 10 mins,8 ,8,194,6g,1g,0mg,347mg,21g,7g,4g,7g,5mg,40mg,3mg,383mg,4.6,11,8 servings,
2,6664267,Lentil Soup,15 mins, 1 hr 20 mins, 1 hr 35 mins,8 ,8,349,10g,1g,,131mg,48g,22g,3g,18g,13mg,98mg,6mg,970mg,4.5,"3,204",8 servings,
3,6740637,Moroccan Harira Soup,20 mins, 1 hr 20 mins, 1 hr 40 mins,6 ,6,214,6g,1g,4mg,1241mg,33g,7g,,10g,,,,620mg,5.0,9,,
4,6664173,Lentil Ham Soup,15 mins,30 mins,45 mins,8 ,8,178,5g,2g,16mg,694mg,19g,8g,3g,13g,13mg,35mg,2mg,427mg,4.8,66,,
5,6664963,Greek Lentil Soup (Fakes),10 mins, 1 hr, 1 hr 10 mins,4 ,4,357,16g,2g,,57mg,40g,19g,4g,16g,8mg,64mg,5mg,701mg,4.6,659,,
6,6649134,Lebanese-Style Red Lentil Soup,20 mins,30 mins,50 mins,8 ,8,276,7g,1g,1mg,524mg,39g,9g,3g,17g,13mg,46mg,4mg,616mg,4.6,314,,
7,6740955,Vegan Split Pea Soup,10 mins, 3 hrs 5 mins, 3 hrs 15 mins,10 ,10,247,2g,0g,,387mg,46g,14g,5g,13g,20mg,56mg,3mg,838mg,4.5,464,,
8,6664156,Lentil and Sausage Soup,20 mins, 3 hrs 5 mins, 3 hrs 25 mins,10 ,10,353,8g,3g,17mg,1009mg,50g,16g,5g,19g,11mg,80mg,6mg,719mg,4.6,654,,
9,6576503,Turkish Red Lentil Soup with Mint,10 mins,50 mins, 1 hr,6 ,6,168,6g,1g,1mg,623mg,24g,4g,3g,7g,4mg,32mg,2mg,292mg,4.6,90,,
10,6664880,Slow Cooker Lentil and Ham Soup,20 mins, 11 hrs, 11 hrs 20 mins,6 ,6,222,6g,2g,20mg,1170mg,26g,11g,4g,15g,16mg,51mg,3mg,594mg,4.4,865,,
11,6571755,Beef and Lentil Soup,20 mins, 2 hrs 5 mins, 2 hrs 25 mins,8 ,8,343,9g,3g,36mg,1351mg,38g,17g,7g,25g,16mg,146mg,7mg,805mg,4.7,105,,
12,6650677,"Sweet Potato, Carrot, Apple, and Red Lentil Soup",25 mins,55 mins, 1 hr 20 mins,6 ,6,322,9g,5g,22mg,876mg,53g,10g,15g,9g,9mg,126mg,3mg,879mg,4.7,"1,210",,
13,6588832,Instant Pot® Lentil and Ham Soup,20 mins,30 mins, 1 hr,10 ,10,157,6g,2g,14mg,1104mg,17g,7g,3g,10g,12mg,33mg,2mg,424mg,4.9,35,10 cups,10 mins
14,6604815,Slow Cooker Mediterranean Lentil Stew,20 mins, 3 hrs 10 mins, 3 hrs 30 mins,10 ,10,208,2g,0g,,194mg,36g,14g,4g,12g,18mg,64mg,5mg,805mg,4.5,48,10 servings,
15,6738275,Chef John's Black Lentil Soup,20 mins, 1 hr, 1 hr 20 mins,4 ,4,329,8g,2g,10mg,268mg,44g,21g,5g,20g,14mg,76mg,5mg,892mg,4.9,57,4 servings,
16,6580335,Moroccan Lentil Soup,20 mins, 1 hr 45 mins, 2 hrs 5 mins,6 ,6,329,4g,1g,,317mg,57g,18g,5g,18g,16mg,121mg,7mg,923mg,4.4,547,6 plus servings,
17,6577038,Instant Pot® Lentil Soup,15 mins,30 mins, 1 hr 5 mins,6 ,6,254,8g,1g,,547mg,36g,16g,5g,12g,28mg,86mg,4mg,625mg,4.9,25,6 servings,20 mins
18,6595950,Lentil Soup with Lemon,35 mins,40 mins, 1 hr 15 mins,4 ,4,351,16g,2g,6mg,1247mg,38g,16g,5g,15g,12mg,54mg,4mg,656mg,4.8,840,4 servings,
19,6577140,Egyptian Lentil Soup,15 mins,30 mins,45 mins,4 ,4,196,1g,0g,,316mg,34g,16g,3g,13g,7mg,63mg,7mg,609mg,4.7,45,4 servings,
20,6604515,Roasted Pepper and Lentil Soup,20 mins, 1 hr 40 mins, 2 hrs,6 ,6,204,4g,1g,,720mg,33g,13g,7g,11g,110mg,80mg,4mg,638mg,4.7,7,6 servings,
21,6739627,Adas bil Hamod (Lebanese Lentil Lemon Soup),10 mins,30 mins,40 mins,8 ,8,243,3g,0g,,46mg,40g,19g,3g,17g,17mg,113mg,6mg,787mg,4.0,52,8 servings,
22,6600561,Slow Cooker Lentil Soup,20 mins, 6 hrs, 6 hrs 20 mins,10 ,10,259,9g,3g,25mg,737mg,27g,12g,4g,18g,25mg,62mg,4mg,678mg,5.0,4,,
