,id_recipe,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Cholesterol,Yield:
0,6663120,5 mins,5 mins,10 mins,20 mins,6 ,6,94,1g,0g,14mg,22g,2g,7g,3g,7mg,2mg,1mg,246mg,4.8,520,,
1,6649411,10 mins,15 mins,,25 mins,4 ,4,121,0g,,3mg,32g,4g,27g,0g,6mg,13mg,0mg,150mg,4.8,"3,299",,
2,6664373,10 mins,20 mins,,30 mins,5 ,5,286,6g,1g,697mg,51g,2g,2g,6g,1mg,31mg,2mg,218mg,4.6,"3,164",2mg,
3,6649719,20 mins,20 mins, 2 hrs, 2 hrs 40 mins,40 ,40,129,0g,,61mg,33g,1g,28g,0g,3mg,7mg,0mg,63mg,4.7,453,,Apple filling for 5 (9-inch) pies
4,6663158,5 mins,25 mins,,30 mins,6 ,6,140,1g,0g,354mg,27g,6g,1g,6g,3mg,39mg,2mg,298mg,4.3,"1,299",,
5,6650353,15 mins,30 mins,,45 mins,4 ,4,289,7g,1g,304mg,53g,4g,4g,5g,32mg,31mg,2mg,972mg,4.6,"1,686",,
6,6738625,,35 mins,15 mins,50 mins,6 ,6,216,5g,1g,394mg,39g,1g,1g,4g,1mg,26mg,1mg,39mg,4.5,377,,
7,6651103,10 mins,20 mins,,30 mins,8 ,8,328,10g,3g,154mg,43g,3g,2g,17g,7mg,129mg,3mg,308mg,4.5,"1,079",22mg,
8,6650098,15 mins,20 mins,14 days 8 hrs,14 days 8 hrs 35 mins,48 ,48,8,,,2mg,2g,1g,0g,1g,4mg,11mg,0mg,55mg,4.6,170,,6 (1/2-pint) jars
9,6573552,5 mins, 1 hr,, 1 hr 5 mins,2 ,2,344,7g,1g,462mg,65g,8g,3g,8g,73mg,44mg,8mg,1557mg,4.7,66,,2 baked potatoes
10,6648369,10 mins, 6 hrs,, 6 hrs 10 mins,8 ,8,335,5g,1g,990mg,49g,2g,21g,21g,1mg,74mg,2mg,474mg,4.6,"5,091",49mg,
11,6663460,10 mins,50 mins,, 1 hr,10 ,10,385,1g,1g,168mg,91g,9g,,4g,7mg,105mg,2mg,939mg,4.5,61,3mg,
12,6650463,15 mins,10 mins,10 mins,35 mins,4 ,4,391,12g,3g,1862mg,55g,3g,39g,18g,22mg,130mg,4mg,606mg,4.6,"1,165",27mg,
13,6651199,15 mins,10 mins,,25 mins,8 ,8,193,3g,0g,751mg,38g,3g,1g,4g,10mg,15mg,1mg,444mg,4.5,893,,
14,6664307,10 mins,20 mins,,30 mins,4 ,4,227,7g,1g,596mg,36g,3g,3g,4g,0mg,3mg,0mg,5mg,4.6,706,,
15,6651088,5 mins, 1 hr,, 1 hr 5 mins,4 ,4,181,7g,1g,115mg,28g,4g,9g,3g,26mg,52mg,1mg,643mg,4.6,705,0mg,
16,6664127,10 mins,10 mins,,20 mins,6 ,6,255,0g,,13mg,66g,4g,58g,1g,109mg,68mg,1mg,300mg,4.9,94,,6 wedges
17,6598591,30 mins,10 mins,20 mins, 1 hr,56 ,56,97,0g,,85mg,25g,1g,21g,0g,3mg,5mg,0mg,54mg,4.6,396,,7 quarts
18,6737504,5 mins,25 mins,15 mins,45 mins,36 ,36,124,,,9mg,32g,,25g,,,2mg,,1mg,4.6,205,,
19,6578826,10 mins,20 mins,,30 mins,4 ,4,288,8g,1g,543mg,47g,3g,5g,9g,5mg,26mg,3mg,311mg,4.3,101,,
20,6737824,20 mins,, 1 hr, 1 hr 20 mins,12 ,12,11,0g,,68mg,2g,1g,1g,0g,6mg,8mg,0mg,94mg,4.8,44,,3 cups
21,6587764,50 mins, 1 hr 10 mins, 10 hrs, 12 hrs,112 ,112,47,,,313mg,12g,0g,11g,0g,5mg,4mg,0mg,45mg,4.8,314,,7 1/2-pints
22,6598703,15 mins, 1 hr,10 mins, 1 hr 25 mins,8 ,8,236,3g,1g,973mg,39g,9g,3g,15g,32mg,73mg,3mg,880mg,4.9,46,7mg,
23,6596120,10 mins,30 mins,,40 mins,8 ,8,289,6g,2g,808mg,42g,8g,4g,16g,17mg,63mg,3mg,181mg,4.4,558,35mg,
24,6599292,10 mins,10 mins, 3 hrs, 3 hrs 20 mins,4 ,4,287,4g,1g,1613mg,28g,1g,22g,25g,1mg,42mg,1mg,393mg,4.7,137,47mg,4 fillets
25,6739678,10 mins,15 mins,,25 mins,8 ,8,24,1g,0g,440mg,5g,1g,3g,1g,8mg,13mg,1mg,180mg,4.6,597,,
26,6650276,5 mins,35 mins,,40 mins,2 ,2,202,4g,1g,1261mg,25g,1g,22g,17g,30mg,57mg,2mg,441mg,4.3,64,38mg,
27,6664793,10 mins,10 mins,,20 mins,2 ,2,136,3g,1g,14mg,29g,2g,13g,1g,17mg,13mg,1mg,450mg,4.6,132,,
28,6663926,10 mins,20 mins,5 mins,35 mins,4 ,4,225,4g,1g,788mg,41g,1g,2g,5g,4mg,26mg,2mg,186mg,4.4,105,2mg,
29,6580784,10 mins, 1 hr,30 mins, 1 hr 40 mins,15 ,15,108,0g,,4mg,29g,1g,27g,0g,17mg,17mg,0mg,33mg,4.5,101,,
30,6603569,25 mins,10 mins,,35 mins,48 ,48,25,0g,0g,11mg,5g,0g,3g,1g,,5mg,0mg,8mg,4.5,255,16mg,4 dozen
31,6650067,5 mins,10 mins,,15 mins,1 ,1,107,1g,0g,1mg,27g,3g,14g,1g,10mg,6mg,0mg,422mg,4.5,10,,
32,6737903,15 mins,45 mins,, 1 hr,8 ,8,275,10g,1g,304mg,45g,1g,25g,3g,,5mg,2mg,163mg,4.7,967,,1 9x5-inch loaf cake
33,6575205,15 mins,,,15 mins,16 ,16,25,0g,0g,202mg,1g,,1g,4g,0mg,11mg,0mg,76mg,4.6,106,6mg,2 cups
34,6649375,25 mins,,,25 mins,72 ,72,30,1g,0g,85mg,5g,1g,1g,1g,5mg,9mg,0mg,84mg,4.7,478,,
35,6737316,10 mins, 6 hrs,, 6 hrs 10 mins,8 ,8,71,1g,0g,415mg,2g,,1g,11g,,5mg,0mg,71mg,4.5,167,30mg,
36,6587631,15 mins,20 mins,,35 mins,12 ,12,134,3g,1g,571mg,22g,3g,2g,5g,9mg,94mg,2mg,174mg,4.9,24,31mg,12 patties
37,6648629,20 mins,,,20 mins,8 ,8,132,1g,1g,40mg,28g,,28g,2g,0mg,87mg,,99mg,4.6,250,5mg,
38,6651040,10 mins, 7 hrs 20 mins,, 7 hrs 30 mins,10 ,10,122,0g,,196mg,26g,5g,12g,5g,2mg,53mg,2mg,364mg,4.5,133,,5 cups
39,6603277,10 mins,15 mins,,25 mins,4 ,4,120,4g,1g,47mg,20g,3g,0g,2g,1mg,2mg,0mg,11mg,4.8,12,,
40,6591017,40 mins,25 mins,, 1 hr 5 mins,8 ,8,152,4g,1g,703mg,26g,2g,7g,4g,3mg,12mg,1mg,186mg,4.4,205,6mg,4 cut rolls
41,6739258,15 mins, 3 hrs,, 3 hrs 15 mins,10 ,10,176,4g,1g,402mg,32g,4g,18g,6g,3mg,77mg,2mg,390mg,4.6,184,10mg,
42,6649914,20 mins, 8 hrs,, 8 hrs 20 mins,12 ,12,296,3g,1g,1312mg,57g,13g,23g,12g,7mg,118mg,4mg,741mg,4.2,334,5mg,
43,6602814,15 mins,45 mins,, 1 hr,6 ,6,147,1g,1g,9mg,37g,6g,27g,1g,10mg,29mg,0mg,240mg,4.4,95,2mg,
44,6650376,15 mins,10 mins,40 mins, 1 hr 5 mins,18 ,18,113,2g,0g,3mg,24g,0g,21g,1g,,27mg,1mg,86mg,4.5,117,,18 maple leaves
45,6664087,25 mins,45 mins,10 mins, 1 hr 20 mins,36 ,36,92,4g,1g,55mg,12g,1g,6g,2g,0mg,16mg,1mg,66mg,4.8,"1,811",10mg,36 cookies
46,6741021,30 mins,10 mins, 1 hr 30 mins, 2 hrs 10 mins,16 ,16,92,1g,0g,1mg,18g,,,3g,,30mg,1mg,99mg,4.3,365,,16 macarons
47,6588343,5 mins,25 mins,5 mins,35 mins,4 ,4,348,9g,1g,624mg,59g,7g,4g,10g,12mg,78mg,3mg,413mg,4.3,29,,
48,6664703,15 mins,,30 mins,45 mins,8 ,8,21,0g,,1mg,5g,1g,4g,0g,17mg,6mg,0mg,70mg,4.7,507,,
49,6568407,5 mins,25 mins,,30 mins,4 ,4,212,3g,1g,553mg,42g,1g,1g,5g,2mg,13mg,1mg,151mg,4.5,617,8mg,
50,6650513,15 mins,40 mins,,55 mins,6 ,6,149,5g,1g,651mg,24g,4g,3g,4g,6mg,54mg,3mg,186mg,4.3,391,,
51,6738161,15 mins,35 mins,,50 mins,10 ,10,153,2g,0g,517mg,28g,8g,2g,8g,5mg,41mg,2mg,333mg,4.7,"6,025",,
52,6604031,15 mins,25 mins,,40 mins,18 ,18,335,25g,4g,831mg,23g,1g,,4g,0mg,137mg,2mg,81mg,3.4,108,3mg,18 rounds
53,6602321,5 mins,5 mins,,10 mins,1 ,1,77,1g,0g,14mg,17g,2g,3g,3g,6mg,2mg,1mg,243mg,4.8,57,,
54,6600438,10 mins,15 mins,,25 mins,6 ,6,268,9g,1g,204mg,43g,2g,3g,6g,77mg,151mg,5mg,36mg,4.3,74,,
55,6590457,20 mins,20 mins,20 mins, 1 hr,4 ,4,744,3g,1g,160mg,159g,6g,1g,14g,1mg,61mg,9mg,181mg,4.4,55,,8 onigiri
56,6596425,20 mins,30 mins,,50 mins,16 ,16,14,0g,,481mg,3g,1g,2g,1g,18mg,9mg,1mg,168mg,4.2,39,,
57,6648243,15 mins,20 mins,,35 mins,4 ,4,264,1g,0g,1264mg,52g,11g,4g,12g,17mg,86mg,5mg,602mg,4.5,198,,
58,6582924,10 mins, 2 hrs,5 mins, 2 hrs 15 mins,2 ,2,106,0g,0g,1mg,27g,3g,15g,1g,12mg,6mg,0mg,426mg,2.6,10,,
59,6581353,10 mins,45 mins,,55 mins,6 ,6,24,,,1mg,7g,1g,6g,0g,2mg,3mg,0mg,35mg,4.1,108,,
60,6573260,10 mins,30 mins,,40 mins,4 ,4,338,5g,1g,1882mg,61g,9g,11g,13g,17mg,93mg,6mg,924mg,4.5,215,2mg,
61,6595481,5 mins,5 mins,,10 mins,8 ,8,80,0g,,147mg,17g,1g,0g,2g,,1mg,1mg,33mg,3.6,84,,
62,6571244,5 mins,10 mins,10 mins,25 mins,8 ,8,224,0g,0g,16mg,51g,4g,2g,6g,16mg,39mg,2mg,1183mg,5.0,5,,
