,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:,Additional Time:
0,7507103,5 mins, 1 hr 30 mins, 1 hr 35 mins,6 ,6,190,9g,2g,5mg,363mg,23g,1g,4g,5g,0mg,105mg,1mg,131mg,,,,
1,6828321,10 mins,35 mins,45 mins,5 ,5,603,39g,19g,111mg,771mg,40g,2g,,25g,,,,446mg,5.0,2,,
2,7569687,15 mins,30 mins,45 mins,6 ,6,617,42g,17g,172mg,996mg,26g,2g,8g,34g,4mg,545mg,2mg,597mg,,,,
3,7486525,20 mins,30 mins,50 mins,6 ,6,355,20g,11g,113mg,793mg,29g,1g,4g,15g,1mg,383mg,2mg,204mg,4.6,7,6 slices,
4,6665030,10 mins,45 mins,55 mins,4 ,4,845,48g,30g,142mg,881mg,65g,3g,,37g,1mg,865mg,3mg,522mg,4.2,"2,686",,
5,6651079,10 mins,15 mins,25 mins,4 ,4,630,34g,21g,100mg,777mg,55g,2g,8g,27g,0mg,568mg,3mg,380mg,4.5,"1,001",4 servings,
6,6649005,2 mins,8 mins,10 mins,2 ,2,790,39g,24g,121mg,598mg,72g,3g,,36g,,,,518mg,4.7,6,,
7,6650751,10 mins,35 mins,45 mins,6 ,6,472,22g,14g,66mg,356mg,46g,2g,,22g,0mg,448mg,2mg,294mg,4.1,634,1 (2-quart) casserole,
8,6665043,20 mins,30 mins,50 mins,5 ,5,498,35g,21g,100mg,964mg,30g,1g,7g,16g,0mg,367mg,1mg,269mg,4.5,184,,
9,6649679,15 mins, 3 hrs 15 mins, 3 hrs 30 mins,12 ,12,432,25g,15g,99mg,524mg,34g,1g,5g,18g,0mg,368mg,2mg,229mg,4.5,385,,
10,6739438,40 mins,30 mins, 7 hrs 10 mins,8 ,8,543,32g,14g,147mg,1204mg,42g,2g,7g,20g,1mg,332mg,3mg,265mg,4.4,89,24 pieces, 6 hrs
11,6736731,10 mins,45 mins, 1 hr 5 mins,6 ,6,561,33g,21g,100mg,1194mg,37g,2g,5g,28g,1mg,643mg,2mg,287mg,4.5,"1,129",,10 mins
12,6590145,15 mins,50 mins, 1 hr 15 mins,12 ,12,415,23g,14g,81mg,420mg,30g,1g,1g,22g,0mg,439mg,2mg,176mg,4.6,63,1 9x13-inch dish,10 mins
13,6650372,10 mins,20 mins,30 mins,4 ,4,449,15g,8g,61mg,930mg,48g,2g,7g,28g,1mg,352mg,3mg,468mg,4.3,154,,
