,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:,Freeze Time:,Cool Time:,Rest Time:,Additional Time:
0,7968537,20 mins,25 mins,45 mins,6 ,6,275,15g,4g,142mg,1039mg,3g,1g,2g,31g,7mg,113mg,2mg,482mg,,,,,,,
1,7499734,30 mins,40 mins, 1 hr 10 mins,8 ,8,372,20g,7g,132mg,441mg,23g,4g,11g,26g,21mg,157mg,6mg,1127mg,,,40 meatballs,,,,
2,7113069,20 mins,40 mins, 1 hr,6 ,6,836,26g,7g,59mg,1944mg,135g,13g,,24g,,,,465mg,5.0,9,24 meatballs,,,,
3,7111885,40 mins,20 mins, 2 hrs 15 mins,4 ,4,430,27g,9g,153mg,996mg,17g,1g,,28g,,,,376mg,5.0,4,,15 mins, 1 hr,,
4,6663843,20 mins,30 mins, 1 hr 20 mins,4 ,4,558,39g,14g,97mg,2502mg,27g,1g,,23g,,,,397mg,4.7,23,12 meatballs,,,30 mins,
5,7570245,20 mins,15 mins,35 mins,4 ,4,429,15g,4g,168mg,746mg,41g,3g,7g,34g,25mg,83mg,3mg,1077mg,,,,,,,
6,7562426,20 mins,30 mins,50 mins,4 ,4,556,34g,10g,183mg,767mg,27g,4g,6g,38g,132mg,235mg,5mg,825mg,4.0,1,,,,,
7,7151712,10 mins,45 mins,55 mins,4 ,4,448,26g,9g,74mg,1045mg,33g,5g,8g,22g,4mg,201mg,3mg,590mg,5.0,1,,,,,
8,6651006,20 mins,35 mins, 2 hrs 15 mins,8 ,8,390,31g,12g,91mg,617mg,5g,1g,,21g,4mg,62mg,2mg,349mg,4.8,"2,320",,,,, 1 hr 20 mins
9,6651165,30 mins,30 mins, 1 hr,8 ,8,613,53g,15g,149mg,333mg,7g,0g,0g,27g,1mg,190mg,2mg,315mg,4.7,"1,617",,,,,
10,6648974,15 mins,30 mins,45 mins,6 ,6,343,20g,8g,135mg,612mg,14g,1g,1g,24g,2mg,100mg,3mg,213mg,4.6,126,,,,,
11,6737604,10 mins,20 mins,35 mins,4 ,4,457,33g,13g,114mg,634mg,8g,1g,,30g,1mg,146mg,3mg,402mg,4.8,42,16 meatballs,,,,5 mins
12,6663168,5 mins,15 mins,20 mins,4 ,4,393,32g,17g,140mg,358mg,12g,1g,1g,15g,5mg,77mg,2mg,299mg,4.4,423,,,,,
13,6663975,20 mins, 2 hrs, 2 hrs 20 mins,6 ,6,347,21g,6g,77mg,1493mg,23g,5g,11g,19g,33mg,140mg,6mg,1023mg,4.6,"3,688",6 servings,,,,
14,6664976,10 mins, 3 hrs, 3 hrs 10 mins,24 ,24,340,15g,5g,94mg,176mg,32g,1g,23g,19g,1mg,46mg,2mg,320mg,4.7,201,,,,,
15,6664150,20 mins,20 mins,40 mins,4 ,4,781,32g,13g,141mg,1473mg,78g,6g,13g,44g,6mg,371mg,8mg,780mg,4.6,"1,170",4 meatball subs,,,,
16,6650226,5 mins,15 mins,20 mins,5 ,5,601,26g,10g,114mg,878mg,71g,2g,51g,20g,5mg,102mg,4mg,477mg,4.5,448,,,,,
17,6663773,20 mins, 8 hrs, 8 hrs 20 mins,4 ,4,925,53g,20g,149mg,2012mg,73g,11g,,41g,32mg,177mg,10mg,1847mg,4.2,685,16 meatballs,,,,
18,6737538,10 mins, 4 hrs 30 mins, 4 hrs 40 mins,6 ,6,429,28g,12g,127mg,1072mg,17g,1g,2g,26g,4mg,118mg,4mg,574mg,4.6,47,,,,,
19,6736852,10 mins,50 mins, 1 hr,4 ,4,319,14g,5g,69mg,1415mg,26g,2g,5g,22g,9mg,41mg,4mg,654mg,4.3,291,12 meatballs,,,,
20,6738218,25 mins, 1 hr, 1 hr 35 mins,6 ,6,309,21g,11g,108mg,794mg,12g,1g,3g,17g,1mg,65mg,2mg,290mg,4.7,802,,,,,10 mins
21,6738582,15 mins,20 mins,35 mins,4 ,4,336,23g,9g,123mg,482mg,10g,1g,2g,23g,4mg,45mg,3mg,426mg,4.4,516,,,,,
22,6650147,20 mins,20 mins,40 mins,4 ,4,343,17g,7g,95mg,940mg,15g,2g,3g,31g,4mg,142mg,7mg,513mg,4.6,"4,476",12 meatballs,,,,
23,6649169,5 mins,55 mins, 1 hr,4 ,4,656,32g,12g,109mg,769mg,61g,4g,4g,30g,4mg,151mg,3mg,523mg,4.6,57,,,,,
24,6737223,20 mins,30 mins,50 mins,4 ,4,336,17g,7g,68mg,279mg,28g,1g,22g,19g,29mg,33mg,2mg,327mg,4.3,42,,,,,
25,6649319,20 mins,40 mins, 1 hr,8 ,8,331,21g,7g,75mg,865mg,19g,3g,9g,16g,5mg,109mg,2mg,503mg,4.6,427,32 meatballs,,,,
26,6602408,30 mins,15 mins,45 mins,6 ,6,253,12g,4g,93mg,495mg,11g,1g,,23g,7mg,89mg,3mg,341mg,4.7,333,30 meatballs,,,,
27,6738075,20 mins,15 mins,35 mins,4 ,4,364,16g,4g,115mg,353mg,27g,1g,16g,26g,4mg,52mg,2mg,509mg,,,4 servings,,,,
28,6568291,25 mins,30 mins, 1 hr 10 mins,4 ,4,417,29g,9g,135mg,284mg,13g,1g,,25g,1mg,61mg,2mg,422mg,4.5,30,24 meatballs,,,,15 mins
