,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:,Additional Time:
0,6663440,Easy Meatloaf,15 mins, 1 hr, 1 hr 15 mins,8 ,8,372,25g,10g,98mg,335mg,19g,1g,9g,18g,3mg,81mg,2mg,343mg,4.6,"9,032",,
1,6664414,Best Meatloaf,15 mins, 1 hr 10 mins, 1 hr 25 mins,12 ,12,213,12g,5g,76mg,649mg,9g,1g,3g,18g,4mg,39mg,3mg,335mg,4.5,"1,062",1 meatloaf,
2,6592570,Air Fryer Meatloaf,10 mins,25 mins,45 mins,4 ,4,297,19g,6g,126mg,707mg,6g,1g,1g,25g,3mg,33mg,3mg,361mg,4.3,58,,10 mins
3,6649790,Best Turkey Meatloaf,15 mins, 1 hr, 1 hr 15 mins,8 ,8,296,13g,3g,85mg,881mg,25g,1g,13g,20g,4mg,65mg,2mg,297mg,4.7,401,1 meatloaf,
4,6775097,Hidden Veggie Meatloaf,25 mins, 1 hr 30 mins, 1 hr 55 mins,6 ,6,310,15g,5g,118mg,590mg,16g,2g,7g,28g,15mg,70mg,3mg,524mg,4.6,11,,
5,6737579,Traditional Gyro Meat,15 mins,45 mins, 2 hrs,10 ,10,179,12g,5g,59mg,97mg,2g,1g,1g,16g,1mg,25mg,2mg,230mg,4.2,391,1 7x4-inch loaf, 1 hr
6,6649643,Brown Sugar Meatloaf with Ketchup Glaze,20 mins, 1 hr, 1 hr 20 mins,8 ,8,278,12g,5g,103mg,720mg,23g,1g,18g,19g,3mg,43mg,2mg,327mg,4.7,130,1 9-inch loaf,
7,6664021,Best Bobotie,15 mins, 1 hr 35 mins, 1 hr 50 mins,8 ,8,375,27g,10g,75mg,379mg,17g,1g,,16g,3mg,67mg,2mg,381mg,4.5,61,1 9x13-inch dish,
8,6650692,Brown Sugar Meatloaf,20 mins, 1 hr, 1 hr 20 mins,8 ,8,353,20g,8g,112mg,763mg,24g,0g,18g,18g,3mg,61mg,2mg,375mg,4.6,"9,106",,
9,6741688,Mini Meatloaves,15 mins,45 mins, 1 hr,8 ,8,255,14g,7g,74mg,656mg,17g,1g,13g,15g,3mg,149mg,2mg,248mg,4.6,"2,608",,
10,6663982,Momma's Healthy Meatloaf,15 mins,45 mins, 1 hr,4 ,4,378,20g,7g,157mg,457mg,24g,4g,7g,26g,33mg,62mg,4mg,547mg,4.7,162,1 9x5-inch loaf,
11,6663881,Best Ever Meat Loaf,20 mins, 1 hr, 1 hr 20 mins,6 ,6,410,23g,10g,155mg,1227mg,22g,1g,14g,28g,4mg,223mg,3mg,435mg,4.7,"1,177",,
12,6740988,Best Ever Meatloaf with Brown Gravy,10 mins, 1 hr 15 mins, 1 hr 25 mins,6 ,6,451,34g,14g,133mg,431mg,13g,1g,1g,23g,10mg,43mg,3mg,400mg,4.3,203,1 8x4-inch loaf,
13,6739005,Instant Pot Meatloaf,20 mins,40 mins, 1 hr 5 mins,8 ,8,295,15g,6g,71mg,466mg,19g,1g,8g,22g,3mg,44mg,3mg,338mg,4.6,66,,5 mins
14,6650431,The Best Meatloaf,15 mins, 1 hr, 1 hr 20 mins,6 ,6,288,18g,7g,101mg,867mg,10g,1g,3g,21g,14mg,57mg,3mg,349mg,4.5,"1,363",,5 mins
15,6663943,Classic Meatloaf,30 mins, 1 hr, 1 hr 30 mins,10 ,10,284,15g,6g,85mg,755mg,15g,1g,5g,22g,10mg,48mg,3mg,383mg,4.6,610,,
16,6664521,Stuffing Meatloaf,10 mins,35 mins,55 mins,8 ,8,289,16g,7g,84mg,430mg,16g,1g,2g,20g,1mg,140mg,2mg,209mg,4.4,35,1 9x5-inch pan,10 mins
17,6603745,Cheeseburger Meatloaf,20 mins, 1 hr, 1 hr 20 mins,8 ,8,410,29g,15g,162mg,811mg,4g,0g,1g,32g,1mg,331mg,3mg,312mg,4.4,"1,164",,
18,6596707,Venison Meatloaf,15 mins,50 mins, 1 hr 5 mins,4 ,4,220,5g,2g,143mg,275mg,15g,0g,9g,29g,2mg,30mg,5mg,450mg,4.5,80,,
19,6574000,Super Moist Meatloaf,15 mins,45 mins, 1 hr,8 ,8,262,15g,6g,119mg,715mg,8g,1g,5g,22g,11mg,46mg,2mg,368mg,4.4,31,1 9x5-inch loaf,
20,6739293,Mexican Taco Meatloaf,15 mins,45 mins, 1 hr,8 ,8,272,17g,7g,120mg,468mg,7g,0g,2g,22g,1mg,106mg,2mg,264mg,4.6,281,1 9x5x3-inch loaf,
21,6572512,Low-Carb Meatloaf with Pork Rinds,15 mins, 1 hr, 1 hr 15 mins,6 ,6,470,33g,12g,162mg,715mg,2g,0g,1g,45g,3mg,93mg,2mg,316mg,4.3,22,1 9x5-inch meatloaf,
22,6738439,Glazed Meatloaf,10 mins, 1 hr 10 mins, 1 hr 20 mins,8 ,8,318,17g,6g,90mg,398mg,19g,0g,13g,22g,6mg,38mg,2mg,297mg,4.6,982,1 9x5-inch loaf,
23,6581829,Tennessee Meatloaf,35 mins, 1 hr 5 mins, 1 hr 55 mins,8 ,8,402,21g,8g,147mg,504mg,19g,1g,11g,33g,13mg,77mg,3mg,570mg,4.6,159,2 9x5-inch meatloaves,15 mins
24,6586490,Ham Loaf,10 mins, 1 hr 30 mins, 1 hr 40 mins,8 ,8,760,43g,16g,224mg,310mg,41g,1g,31g,51g,2mg,172mg,3mg,835mg,4.6,99,,
25,6569163,Mushroom Meatloaf,20 mins, 1 hr 45 mins, 2 hrs 5 mins,8 ,8,348,16g,6g,147mg,724mg,14g,1g,5g,36g,2mg,52mg,5mg,696mg,4.5,222,1 9x5-inch meatloaf,
26,6648292,Turkey and Quinoa Meatloaf,20 mins, 1 hr 20 mins, 1 hr 50 mins,5 ,5,259,11g,3g,121mg,968mg,15g,1g,7g,25g,5mg,53mg,3mg,430mg,4.6,"2,422",1 meatloaf,10 mins
27,6585930,Meatloaf for Tomato Haters,15 mins, 1 hr, 1 hr 25 mins,8 ,8,387,21g,8g,124mg,789mg,13g,1g,3g,34g,19mg,67mg,4mg,556mg,4.8,24,,10 mins
28,6663443,Melt-In-Your-Mouth Meatloaf,15 mins, 5 hrs 15 mins, 5 hrs 40 mins,6 ,6,328,17g,7g,136mg,841mg,18g,1g,9g,25g,2mg,87mg,3mg,402mg,4.6,988,,10 mins
29,6649610,Meatloaf with Italian Sausage,10 mins, 1 hr, 1 hr 10 mins,6 ,6,640,50g,19g,170mg,637mg,15g,1g,2g,30g,13mg,57mg,3mg,511mg,4.5,143,6 servings,
30,6663175,Cheesy Meatloaf,15 mins, 1 hr, 1 hr 15 mins,8 ,8,408,23g,10g,136mg,702mg,18g,1g,2g,30g,1mg,285mg,3mg,309mg,4.5,210,8 servings,
31,6739515,Rempel Family Meatloaf,10 mins,45 mins,55 mins,6 ,6,360,24g,10g,143mg,803mg,10g,1g,3g,27g,3mg,134mg,3mg,285mg,4.6,"3,214",6 servings,
32,6664180,Classic Spicy Meatloaf,20 mins, 1 hr 10 mins, 1 hr 30 mins,6 ,6,532,33g,13g,173mg,1691mg,26g,2g,10g,33g,15mg,97mg,5mg,676mg,4.7,68,6 servings,
33,6663514,Easy Salsa Meatloaf,15 mins,45 mins, 1 hr,6 ,6,221,12g,6g,84mg,418mg,9g,1g,1g,18g,1mg,121mg,2mg,286mg,4.5,488,6 servings,
34,6650189,The Most Easy and Delish Meatloaf EVER!,10 mins, 1 hr, 1 hr 10 mins,8 ,8,246,15g,5g,77mg,558mg,11g,1g,1g,17g,3mg,34mg,2mg,248mg,4.6,191,1 - 9x5 inch loaf,
