,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Vitamin C,Marinate Time:,Stand Time:,Refrigerate Time:,Active Time:,Bake Time:,Cool Time:,Rise Time:
0,6736908,20 mins,15 mins,35 mins,15 ,15 large cookies,15,359,5g,1g,25mg,151mg,73g,2g,30g,6g,78mg,4mg,415mg,4.6,51,,,,,,,,,
1,6585796,15 mins,20 mins,45 mins,16 ,,16,244,15g,1g,47mg,181mg,25g,0g,16g,3g,28mg,1mg,31mg,4.2,17,10 mins,0mg,,,,,,,
2,7853525,5 mins,20 mins,25 mins,8 ,8 tacos,8,283,17g,8g,73mg,704mg,11g,1g,3g,22g,157mg,2mg,416mg,4.7,3,,3mg,,,,,,,
3,7567956,15 mins,30 mins,45 mins,12 ,,12,171,7g,2g,8mg,269mg,23g,3g,2g,6g,79mg,2mg,274mg,4.7,3,,9mg,,,,,,,
4,7567853,15 mins,20 mins,35 mins,,,,4573,336g,169g,975mg,8606mg,163g,28g,48g,235g,3355mg,19mg,5074mg,,,,177mg,,,,,,,
5,7561904,5 mins,4 mins,9 mins,1 ,,1,473,30g,15g,248mg,695mg,29g,2g,0g,20g,351mg,3mg,175mg,,,,0mg,,,,,,,
6,7561267,25 mins,15 mins,40 mins,5 ,,5,1167,48g,12g,410mg,3199mg,125g,15g,7g,62g,347mg,9mg,1367mg,5.0,2,,90mg,,,,,,,
7,7564448,10 mins,8 mins,18 mins,8 ,8 tacos,8,165,5g,1g,50mg,60mg,12g,2g,1g,18g,31mg,1mg,207mg,,,,1mg,,,,,,,
8,7554374,15 mins,30 mins,45 mins,24 ,24 bars,24,171,12g,7g,42mg,157mg,14g,1g,8g,3g,29mg,0mg,50mg,4.7,3,,0mg,,,,,,,
9,7561794,10 mins,,10 mins,1 ,,1,2456,83g,29g,161mg,2931mg,321g,22g,2g,101g,458mg,23mg,1476mg,5.0,1,,2mg,,,,,,,
10,7560919,15 mins,,15 mins,8 ,,8,384,10g,6g,37mg,145mg,66g,3g,62g,10g,347mg,1mg,620mg,,,,86mg,,,,,,,
11,7553405,10 mins,12 mins, 4 hrs 22 mins,4 ,12 tacos,4,853,23g,4g,96mg,750mg,121g,19g,31g,48g,300mg,5mg,1252mg,,,,202mg, 4 hrs,,,,,,
12,7553311,20 mins,15 mins, 1 hr 40 mins,4 ,12 tacos,4,636,21g,4g,138mg,602mg,82g,12g,4g,38g,170mg,4mg,746mg,5.0,1,,25mg, 1 hr,5 mins,,,,,
13,7507398,10 mins,40 mins,50 mins,6 ,,6,515,14g,9g,52mg,199mg,84g,0g,57g,15g,472mg,1mg,600mg,5.0,1,,4mg,,,,,,,
14,7511596,10 mins, 1 hr, 1 hr 10 mins,8 ,,8,187,1g,0g,0mg,595mg,36g,8g,14g,7g,66mg,2mg,500mg,4.6,13,,9mg,,,,,,,
15,7505052,15 mins,0 mins, 4 hrs 15 mins,8 ,,8,383,23g,11g,81mg,559mg,25g,3g,2g,20g,270mg,2mg,387mg,,,,19mg,,, 4 hrs,,,,
16,7504105,20 mins,25 mins,45 mins,6 ,6 tortilla pizzas,6,947,46g,17g,55mg,1607mg,100g,14g,5g,36g,554mg,8mg,790mg,5.0,2,,33mg,,,,,,,
17,7501718,10 mins,40 mins,50 mins,2 ,,2,1522,74g,20g,422mg,2426mg,164g,24g,6g,55g,463mg,13mg,1953mg,,,,47mg,,,,,,,
18,6739432, 1 hr, 1 hr 20 mins, 4 hrs 35 mins,35 ,35 tamales,35,131,8g,3g,15mg,229mg,12g,2g,0g,5g,30mg,1mg,109mg,5.0,1, 2 hrs 15 mins,0mg,,,,,,,
19,6598317,10 mins,0 mins,10 mins,2 ,6 tacos,2,697,30g,7g,158mg,177mg,44g,10g,2g,64g,111mg,4mg,1140mg,4.4,9,,18mg,,,,,,,
20,6663989,15 mins, 1 hr, 1 hr 30 mins,24 ,,24,154,11g,4g,43mg,471mg,2g,0g,1g,12g,24mg,1mg,211mg,4.9,424,15 mins,7mg,,,,,,,
21,6649632,20 mins, 1 hr, 1 hr 20 mins,6 ,,6,753,37g,18g,180mg,1788mg,68g,5g,5g,38g,621mg,6mg,477mg,4.7,149,,49mg,,,,,,,
22,6598424,30 mins,45 mins, 1 hr 20 mins,10 ,,10,601,38g,15g,100mg,900mg,38g,4g,3g,30g,396mg,3mg,489mg,4.5,8,5 mins,11mg,,,,,,,
23,6664398,15 mins, 1 hr 15 mins, 1 hr 30 mins,6 ,,6,483,30g,8g,137mg,1915mg,14g,3g,6g,39g,107mg,4mg,592mg,4.8,58,,17mg,,,,,,,
24,6576749,15 mins,30 mins,45 mins,8 ,,8,388,26g,12g,71mg,430mg,21g,3g,1g,19g,285mg,1mg,371mg,4.5,113,,8mg,,,,,,,
25,6575350,5 mins,30 mins,35 mins,8 ,16 tingas,8,402,20g,6g,91mg,396mg,21g,2g,3g,34g,67mg,2mg,359mg,4.5,224,,6mg,,,,,,,
26,6738179,35 mins,10 mins, 6 hrs 45 mins,6 ,,6,416,19g,5g,43mg,644mg,39g,6g,7g,23g,189mg,3mg,751mg,4.6,"1,112", 6 hrs,55mg,,,,,,,
27,6738214,15 mins, 3 hrs 30 mins, 3 hrs 45 mins,12 ,,12,250,19g,6g,63mg,2072mg,2g,0g,1g,16g,23mg,1mg,252mg,4.9,573,,3mg,,,,,,,
28,6738143,35 mins, 8 hrs 10 mins, 8 hrs 55 mins,8 ,,8,303,23g,8g,78mg,150mg,3g,1g,0g,20g,32mg,3mg,226mg,4.7,224,10 mins,3mg,,,,,,,
29,6602236,15 mins,45 mins, 1 hr 15 mins,24 ,1 9x13-inch baking dish,24,271,11g,6g,26mg,281mg,38g,1g,22g,7g,141mg,1mg,122mg,5.0,4,15 mins,0mg,,,,,,,
30,6586245,15 mins,40 mins,55 mins,8 ,,8,244,9g,2g,59mg,659mg,16g,2g,3g,24g,42mg,2mg,375mg,5.0,6,,4mg,,,,,,,
31,7368544,10 mins,25 mins, 1 hr 10 mins,4 ,,4,452,26g,4g,119mg,1092mg,12g,4g,5g,40g,115mg,2mg,878mg,5.0,1,,19mg,,,,,,,
32,6606448,15 mins,, 3 hrs 15 mins,8 ,2 quarts,8,91,1g,0g,2mg,25mg,20g,0g,14g,2g,52mg,0mg,52mg,4.3,13, 3 hrs,0mg,,,,,,,
33,6736676,30 mins,30 mins, 5 hrs,10 ,,10,204,6g,2g,44mg,748mg,23g,3g,16g,17g,45mg,1mg,512mg,4.5,4, 4 hrs,84mg,,,,,,,
34,6584393,45 mins,30 mins, 1 hr 15 mins,20 ,20 tacos,20,147,6g,1g,70mg,163mg,15g,4g,1g,10g,47mg,2mg,248mg,4.9,45,,7mg,,,,,,,
35,6591608,30 mins, 2 hrs 45 mins, 3 hrs 15 mins,10 ,20 burritos,10,832,39g,14g,114mg,1747mg,71g,6g,,44g,367mg,7mg,884mg,4.8,56,,16mg,,,,,,,
36,6649883,35 mins,35 mins, 1 hr 55 mins,18 ,1 cake,18,472,31g,14g,101mg,319mg,46g,2g,33g,8g,196mg,2mg,343mg,4.9,59,45 mins,1mg,,,,,,,
37,6649668,15 mins,15 mins,30 mins,,8 servings,,401,21g,11g,75mg,435mg,30g,4g,8g,25g,302mg,2mg,591mg,4.2,327,,18mg,,,,,,,
38,6739795,20 mins,30 mins,50 mins,,10 servings,,204,7g,2g,37mg,434mg,19g,1g,2g,16g,78mg,2mg,200mg,4.5,"2,598",,4mg,,,,,,,
39,6578654,5 mins,,5 mins,4 ,4 cocktails,4,208,0g,,,62mg,27g,1g,26g,0g,7mg,0mg,35mg,5.0,1,,7mg,,,,,,,
40,6739364,5 mins,,5 mins,4 ,,,,,,,,,,,,,,,4.8,650,,,,,,,,,
41,7105016,45 mins, 1 hr, 1 hr 45 mins,8 ,,8,395,11g,2g,143mg,251mg,36g,6g,,39g,,,961mg,5.0,1,,,,,,,,,
42,6744701,10 mins,20 mins,30 mins,4 ,,4,244,3g,0g,38mg,1515mg,34g,10g,,23g,,,763mg,4.0,1,,,,,,,,,
43,6891651,,, 1 hr 5 mins,8 ,,8,256,5g,1g,51mg,743mg,30g,2g,,23g,,,353mg,4.8,8,,,,,,15 mins,45 mins,,
44,6663220,10 mins,15 mins,25 mins,8 ,,8,107,7g,3g,36mg,328mg,1g,0g,0g,10g,9mg,1mg,134mg,4.7,252,,1mg,,,,,,,
