,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Total Sugars,Yield:,Additional Time:
0,6590366,15 mins,20 mins,35 mins,6 ,6,159,3g,1g,1mg,827mg,26g,6g,7g,10mg,63mg,2mg,225mg,4.8,24,,,
1,7110579,20 mins,35 mins,55 mins,8 ,8,260,8g,1g,17mg,1089mg,33g,8g,15g,,,,531mg,,,,,
2,6664671,35 mins,45 mins, 1 hr 20 mins,8 ,8,228,8g,1g,1mg,1142mg,30g,8g,9g,30mg,112mg,3mg,997mg,4.7,"2,513",11g,,
3,6739482,20 mins, 6 hrs 30 mins, 6 hrs 50 mins,8 ,8,138,2g,1g,2mg,941mg,25g,7g,7g,24mg,145mg,3mg,534mg,4.5,348,8g,,
4,6584700,25 mins, 1 hr 40 mins, 2 hrs 5 mins,6 ,6,292,10g,3g,6mg,766mg,41g,7g,12g,19mg,193mg,5mg,872mg,4.7,514,5g,,
5,6565835,20 mins, 1 hr 25 mins, 1 hr 45 mins,6 ,6,484,23g,5g,16mg,2020mg,54g,14g,18g,44mg,199mg,5mg,1154mg,4.8,364,8g,6 servings,
6,6576566,30 mins,30 mins, 1 hr,6 ,6,201,3g,0g,,611mg,40g,8g,5g,38mg,128mg,5mg,734mg,4.4,293,16g,,
7,6598342,25 mins,30 mins,55 mins,6 ,6,365,7g,1g,3mg,789mg,64g,10g,15g,28mg,142mg,4mg,959mg,4.7,6,14g,6 servings,
8,6590684,15 mins, 2 hrs 10 mins, 2 hrs 25 mins,12 ,12,587,41g,24g,138mg,1592mg,43g,14g,16g,17mg,269mg,4mg,653mg,4.7,89,4g,12 servings,
9,6598077,20 mins, 1 hr, 1 hr 20 mins,8 ,8,216,7g,1g,2mg,388mg,29g,7g,8g,22mg,173mg,5mg,592mg,4.6,23,9g,,
10,6597827,20 mins, 1 hr, 1 hr 25 mins,8 ,8,369,17g,6g,57mg,1215mg,32g,8g,23g,20mg,134mg,5mg,692mg,4.8,8,5g,,5 mins
11,6606179,20 mins,30 mins,50 mins,9 ,9,399,2g,0g,,382mg,81g,18g,20g,80mg,165mg,7mg,1458mg,4.2,113,13g,,
12,6583911,25 mins, 1 hr, 1 hr 25 mins,4 ,4,320,12g,2g,,471mg,45g,10g,12g,35mg,153mg,5mg,1206mg,4.5,289,8g,,
13,6589294,30 mins, 1 hr 5 mins, 1 hr 35 mins,8 ,8,415,20g,8g,53mg,1405mg,35g,3g,21g,19mg,92mg,2mg,681mg,4.6,25,13g,8 servings,
14,6599545,20 mins,30 mins,50 mins,6 ,6,348,10g,2g,6mg,916mg,49g,10g,16g,35mg,199mg,4mg,725mg,4.5,6,10g,6 servings,
15,6584808,,,,6 ,6,387,17g,6g,34mg,1634mg,44g,8g,16g,36mg,150mg,6mg,1237mg,4.6,69,13g,6 servings,
16,6568097,20 mins, 1 hr, 1 hr 20 mins,6 ,6,217,6g,1g,,766mg,36g,9g,7g,39mg,114mg,4mg,690mg,4.5,19,6g,6 servings,
17,6597537,20 mins, 1 hr 26 mins, 1 hr 46 mins,8 ,8,115,1g,0g,3mg,453mg,23g,4g,4g,66mg,54mg,1mg,322mg,5.0,4,7g,8 servings,
18,6569460,30 mins,30 mins, 1 hr 10 mins,8 ,8,215,5g,1g,,232mg,36g,10g,9g,34mg,53mg,3mg,726mg,5.0,1,5g,8 servings,10 mins
