,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Yield:
0,7489045,5 mins,10 mins,15 mins,4 ,4,817,46g,15g,129mg,1970mg,56g,11g,10g,48g,67mg,380mg,8mg,1421mg,5.0,3,,
1,6664642,25 mins,20 mins,45 mins,12 ,12,432,25g,8g,44mg,1081mg,40g,6g,2g,15g,5mg,212mg,3mg,399mg,4.7,161,,
2,6649456,20 mins,35 mins, 1 hr 55 mins,16 ,16,419,27g,12g,58mg,771mg,26g,4g,2g,20g,6mg,390mg,2mg,388mg,4.9,18, 1 hr,
3,6580400,15 mins,5 mins,20 mins,8 ,8,341,18g,8g,32mg,768mg,34g,5g,1g,12g,5mg,88mg,2mg,264mg,4.3,3,,
4,6603556,15 mins,15 mins,30 mins,6 ,6,407,26g,8g,54mg,670mg,24g,3g,2g,21g,6mg,279mg,2mg,335mg,4.6,602,,
5,6597245,20 mins,5 mins,25 mins,6 ,6,504,37g,13g,48mg,414mg,33g,4g,4g,14g,24mg,381mg,2mg,517mg,4.4,23,,6 servings
6,6578575,15 mins,10 mins,25 mins,20 ,20,387,28g,11g,111mg,482mg,15g,1g,1g,20g,2mg,395mg,2mg,169mg,4.8,39,,20 servings
7,6586358,25 mins,15 mins,40 mins,6 ,6,461,25g,10g,71mg,588mg,37g,6g,1g,22g,5mg,295mg,2mg,363mg,4.4,45,,6 servings
8,6601683,15 mins,15 mins,30 mins,6 ,6,593,34g,14g,64mg,1062mg,51g,6g,4g,23g,10mg,498mg,2mg,301mg,4.4,28,,6 servings
9,6596710,10 mins,25 mins,35 mins,4 ,4,336,17g,9g,32mg,780mg,35g,5g,2g,12g,41mg,260mg,2mg,841mg,4.8,16,,4 servings
