,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:,Additional Time:
0,6664109,5 mins,10 mins,15 mins,1 ,1,186,12g,5g,379mg,279mg,3g,1g,1g,16g,9mg,169mg,3mg,317mg,4.5,367,,
1,6650003,10 mins,10 mins,20 mins,1 ,1,491,39g,20g,632mg,751mg,5g,1g,3g,30g,17mg,362mg,3mg,328mg,4.8,69,,
2,6585397,5 mins,5 mins,10 mins,1 ,1,509,45g,24g,579mg,638mg,2g,,2g,26g,0mg,384mg,3mg,237mg,4.7,10,1 omelette,
3,6596719,10 mins,10 mins,20 mins,1 ,1,531,39g,15g,427mg,2380mg,6g,2g,1g,38g,6mg,329mg,3mg,492mg,4.6,7,,
4,6648524,2 mins,5 mins,10 mins,1 ,1,393,36g,19g,552mg,668mg,1g,0g,1g,17g,0mg,77mg,2mg,188mg,4.9,95,,3 mins
5,6664575,10 mins,30 mins,40 mins,6 ,6,185,14g,7g,296mg,546mg,3g,0g,2g,12g,1mg,124mg,2mg,177mg,4.6,218,,
6,6663841,10 mins,10 mins,20 mins,2 ,2,386,30g,16g,430mg,1158mg,9g,2g,5g,22g,51mg,314mg,2mg,339mg,4.6,128,1 large omelet,
7,6739680,15 mins,40 mins,55 mins,4 ,4,314,21g,9g,415mg,738mg,6g,0g,4g,25g,1mg,303mg,2mg,335mg,4.6,464,,
8,6739105,20 mins,30 mins,50 mins,6 ,6,252,22g,4g,124mg,54mg,11g,2g,3g,5g,10mg,35mg,1mg,293mg,4.5,211,,
9,6663314,15 mins,20 mins,35 mins,2 ,2,114,5g,2g,96mg,490mg,6g,2g,3g,13g,25mg,93mg,2mg,450mg,4.6,59,,
10,6738303,10 mins,35 mins,45 mins,4 ,4,345,27g,13g,381mg,712mg,4g,1g,2g,22g,25mg,198mg,2mg,310mg,4.8,705,4 servings,
11,6597955,10 mins,5 mins,15 mins,1 ,1,121,4g,3g,17mg,396mg,7g,1g,2g,15g,22mg,113mg,1mg,443mg,4.7,53,1 serving,
12,6595839,10 mins,10 mins,20 mins,3 ,3,279,23g,11g,408mg,276mg,4g,1g,1g,16g,14mg,118mg,3mg,477mg,4.7,35,3 servings,
13,6740047,10 mins,20 mins,35 mins,2 ,2,259,19g,8g,310mg,485mg,6g,1g,3g,16g,4mg,56mg,2mg,267mg,4.7,36,1 omelet,5 mins
14,6586939,15 mins,30 mins,45 mins,4 ,4,539,39g,18g,645mg,852mg,4g,1g,2g,44g,31mg,510mg,4mg,492mg,4.6,22,4 omelets,
