,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Protein,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Yield:,Total Sugars,Vitamin C
0,6570031,20 mins,5 mins,25 mins,18 ,18,65,4g,1g,10mg,213mg,4g,0g,3g,3mg,0mg,69mg,4.7,6,,,,
1,6573832,10 mins,35 mins,50 mins,4 ,4,294,20g,7g,86mg,900mg,1g,,26g,46mg,1mg,308mg,4.6,14,5 mins,1 pound pork tenderloin,,
2,6664508,10 mins, 1 hr 5 mins, 1 hr 15 mins,8 ,8,185,9g,4g,35mg,931mg,15g,4g,12g,72mg,4mg,785mg,4.7,"1,435",,8 servings,9g,28mg
3,6663818,15 mins, 1 hr 15 mins, 2 hrs,6 ,6,423,32g,7g,97mg,662mg,1g,0g,31g,28mg,2mg,305mg,4.7,"4,102",30 mins,,1g,0mg
4,6650488,15 mins,,15 mins,4 ,4,262,22g,3g,,596mg,18g,11g,4g,35mg,1mg,866mg,4.8,"7,609",,,3g,26mg
5,6649651,10 mins,20 mins,30 mins,6 ,6,58,3g,0g,,185mg,8g,2g,3g,104mg,1mg,337mg,4.5,"2,653",,6 servings,,90mg
6,6649199,20 mins, 1 hr 30 mins, 1 hr 50 mins,8 ,8,300,21g,6g,71mg,58mg,1g,0g,23g,29mg,1mg,428mg,4.5,"1,377",,1 pork loin,,1mg
7,6651208,5 mins,,5 mins,12 ,12,6,0g,,,1mg,1g,1g,0g,11mg,1mg,17mg,4.8,252,,1/4 cup,0g,0mg
8,6650340,10 mins, 1 hr, 1 hr 10 mins,2 ,2,532,43g,9g,97mg,123mg,4g,1g,32g,34mg,2mg,296mg,4.7,905,,10 wings,1g,3mg
9,6663567,10 mins,,40 mins,16 ,16,45,4g,1g,,2mg,3g,2g,1g,7mg,0mg,152mg,4.6,"1,063",30 mins,2 cups,1g,5mg
10,6650983,10 mins,20 mins,30 mins,4 ,4,63,4g,1g,,71mg,7g,3g,3g,46mg,1mg,310mg,4.7,154,,,2g,87mg
11,6663214,10 mins,45 mins, 1 hr 40 mins,2 ,2,615,42g,8g,153mg,570mg,1g,0g,55g,34mg,7mg,466mg,4.7,532,45 mins,2 servings,,0mg
12,6649095,10 mins,5 mins,15 mins,4 ,4,53,4g,1g,,2mg,4g,2g,3g,27mg,2mg,229mg,4.7,878,,,2g,6mg
13,6741038,5 mins, 3 hrs, 3 hrs 5 mins,6 ,6,227,13g,5g,71mg,59mg,,,27g,6mg,2mg,359mg,4.4,"2,414",,,,
14,6738865,5 mins,,5 mins,20 ,20,16,0g,0g,,1048mg,3g,2g,1g,30mg,1mg,90mg,4.8,504,,1 1/4 cups,1g,2mg
15,6650745,5 mins,,5 mins,6 ,6,3,0g,,,1mg,1g,0g,0g,15mg,1mg,11mg,4.8,78,,6 teaspoons,,0mg
16,6736714,30 mins,45 mins, 1 hr 25 mins,16 ,16,603,34g,9g,229mg,571mg,2g,0g,69g,52mg,5mg,926mg,4.8,88,10 mins,,0g,1mg
17,6648345,5 mins,,5 mins,19 ,19,2,,,,1199mg,1g,0g,0g,3mg,0mg,12mg,4.8,109,,19 teaspoons,0g,0mg
18,6663477,15 mins, 1 hr, 1 hr 15 mins,6 ,6,194,13g,4g,19mg,1435mg,16g,6g,6g,96mg,1mg,462mg,4.6,"1,233",,,8g,79mg
19,6738970,15 mins,15 mins,30 mins,4 ,4,213,6g,1g,96mg,158mg,1g,0g,35g,20mg,1mg,343mg,4.4,128,,,1g,1mg
20,6663197,10 mins,10 mins,20 mins,4 ,4,1181,123g,17g,58mg,409mg,0g,0g,21g,12mg,1mg,148mg,4.7,103,,12 chicken wings,0g,
21,6737982,10 mins,15 mins,25 mins,2 ,2,213,11g,2g,67mg,1850mg,8g,3g,24g,117mg,2mg,663mg,4.4,427,,,0g,48mg
22,6740852,10 mins,, 3 hrs 10 mins,8 ,8,104,10g,1g,,170mg,5g,1g,1g,22mg,1mg,234mg,4.3,599, 3 hrs,2 1/2 cups,3g,5mg
23,6648597,5 mins,5 mins,50 mins,6 ,6,72,5g,2g,186mg,70mg,0g,,6g,27mg,1mg,67mg,3.7,337,40 mins,6 hard-boiled eggs,0g,
24,6649212,5 mins,10 mins,15 mins,3 ,3,65,5g,1g,,1286mg,6g,3g,2g,64mg,1mg,234mg,4.7,557,,,1g,15mg
25,6664866,10 mins,10 mins,20 mins,2 ,2,135,3g,1g,67mg,205mg,1g,0g,25g,20mg,1mg,228mg,4.4,"1,201",,2 chicken breast halves,0g,1mg
26,6664721,15 mins,35 mins,50 mins,6 ,6,398,24g,9g,93mg,1294mg,16g,5g,29g,119mg,7mg,852mg,4.6,"1,630",,,10g,59mg
27,6736727,10 mins,10 mins,20 mins,4 ,4,406,19g,3g,,316mg,60g,9g,7g,100mg,3mg,1300mg,4.6,39,,8 skewers,41g,247mg
28,6582751,10 mins,,10 mins,6 ,6,29,1g,0g,,4mg,4g,2g,1g,44mg,1mg,60mg,4.8,24,,about 1/4 cup,0g,1mg
29,6649394,15 mins,30 mins,45 mins,8 ,8,151,11g,2g,,685mg,12g,2g,2g,52mg,2mg,462mg,4.7,"2,185",,4 cups,7g,16mg
30,6664012,7 mins,8 mins, 2 hrs 15 mins,6 ,6,345,23g,8g,103mg,292mg,1g,0g,31g,5mg,0mg,21mg,4.3,180, 2 hrs,,0g,1mg
31,6650665,10 mins,20 mins,30 mins,6 ,6,373,15g,4g,163mg,159mg,2g,0g,54g,209mg,1mg,1079mg,4.6,118,,,1g,8mg
32,6580706,15 mins, 4 hrs, 13 hrs 15 mins,8 ,8,355,24g,7g,112mg,966mg,2g,1g,32g,49mg,3mg,468mg,4.8,57, 9 hrs,,0g,3mg
33,6649873,7 mins,8 mins,15 mins,4 ,4,87,4g,1g,,48mg,11g,2g,4g,153mg,2mg,504mg,4.4,100,,,,135mg
34,6580330,15 mins,45 mins, 1 hr 25 mins,16 ,16,509,40g,15g,120mg,478mg,1g,0g,34g,24mg,5mg,489mg,4.9,195,25 mins,,0g,1mg
35,6664504,15 mins,20 mins,35 mins,2 ,2,386,22g,5g,112mg,407mg,5g,2g,40g,59mg,1mg,894mg,4.5,43,,,2g,19mg
36,6590706,15 mins, 2 hrs 45 mins, 3 hrs,5 ,5,1134,102g,36g,215mg,824mg,10g,2g,42g,84mg,2mg,885mg,4.7,111,,,4g,9mg
37,6663699,15 mins, 1 hr, 1 hr 45 mins,6 ,6,394,25g,9g,121mg,1046mg,2g,1g,38g,24mg,5mg,540mg,4.6,"1,855",30 mins,,0g,1mg
