,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Vitamin C,Yield:
0,6599882,Unleavened Bread,20 mins,15 mins,35 mins,6 ,6,280,7g,4g,105mg,458mg,47g,2g,3g,10g,38mg,3mg,65mg,4.6,9,,,
1,6666385,Overnight Matzo Bake,15 mins,40 mins, 9 hrs 10 mins,8 ,8,311,9g,4g,195mg,273mg,48g,1g,,10g,,,266mg,,, 8 hrs 15 mins,,
2,6663818,Juicy Roasted Chicken,15 mins, 1 hr 15 mins, 2 hrs,6 ,6,423,32g,7g,97mg,662mg,1g,0g,1g,31g,28mg,2mg,305mg,4.7,"4,102",30 mins,0mg,
3,6650609,Pan-Fried Asparagus,5 mins,15 mins,20 mins,4 ,4,188,18g,8g,31mg,525mg,5g,2g,2g,3g,36mg,8mg,247mg,4.6,"1,785",,7mg,
4,6648446,Hot Spinach Artichoke Dip,15 mins,25 mins,40 mins,12 ,12,134,12g,6g,28mg,315mg,3g,1g,0g,4g,88mg,0mg,54mg,4.7,"3,106",,3mg,
5,6649077,Cornish Game Hens with Garlic and Rosemary,20 mins, 1 hr, 1 hr 20 mins,4 ,4,814,58g,15g,340mg,1383mg,10g,2g,0g,59g,93mg,3mg,929mg,4.6,"1,161",,28mg,4 Cornish hens
6,6737797,Simply Steamed Asparagus,10 mins,5 mins,15 mins,4 ,4,32,1g,1g,3mg,160mg,4g,2g,2g,3g,33mg,2mg,231mg,4.6,137,,6mg,
7,6664307,Roast Potatoes,10 mins,20 mins,30 mins,4 ,4,227,7g,1g,,596mg,36g,3g,3g,4g,3mg,0mg,5mg,4.6,706,,0mg,
8,6648333,Easy Baked Beef Brisket,20 mins, 3 hrs 55 mins, 12 hrs 15 mins,8 ,8,338,27g,11g,78mg,1268mg,6g,1g,4g,18g,19mg,2mg,253mg,4.8,81, 8 hrs,2mg,1 3-pound brisket
9,6737244,Roast Leg of Lamb,15 mins, 1 hr 45 mins, 2 hrs 10 mins,12 ,12,382,25g,11g,136mg,136mg,0g,0g,,36g,24mg,3mg,410mg,4.8,135,10 mins,0mg,
