,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Calcium,Iron,Potassium,Average_Review,Review_Count,Vitamin C,Additional Time:,Yield:
0,6664095,5 mins,15 mins,20 mins,4 ,4,764,28g,10g,200mg,1182mg,85g,4g,3g,39g,245mg,5mg,527mg,4.7,99,,,
1,6663574,20 mins,20 mins,40 mins,8 ,8,444,21g,7g,118mg,369mg,45g,2g,2g,16g,102mg,3mg,259mg,4.4,"2,113",2mg,,
2,6593113,10 mins,25 mins,35 mins,6 ,6,614,29g,12g,166mg,750mg,65g,3g,5g,26g,172mg,3mg,469mg,4.5,539,5mg,,
3,6568960,25 mins,50 mins, 1 hr 15 mins,8 ,8,776,46g,20g,315mg,609mg,47g,3g,,44g,283mg,5mg,531mg,4.7,32,5mg,,
4,6588934,20 mins,45 mins, 1 hr 10 mins,4 ,4,928,24g,10g,261mg,1025mg,94g,8g,5g,74g,443mg,8mg,699mg,4.5,90,14mg,5 mins,4 servings
5,6582419,15 mins,25 mins,40 mins,4 ,4,778,56g,32g,156mg,975mg,47g,2g,6g,25g,284mg,3mg,424mg,4.5,81,5mg,,4 servings
6,6573689,15 mins,20 mins,35 mins,8 ,8,512,25g,10g,128mg,431mg,48g,3g,4g,21g,174mg,3mg,342mg,4.8,39,3mg,,8 servings
7,6605586,15 mins,20 mins,35 mins,8 ,8,395,18g,9g,133mg,450mg,42g,2g,2g,18g,144mg,2mg,219mg,4.2,167,3mg,,
8,6572089,10 mins,15 mins,25 mins,4 ,4,161,7g,2g,62mg,354mg,17g,1g,1g,9g,69mg,1mg,105mg,4.6,9,0mg,,4 servings
9,6739742,5 mins,20 mins,25 mins,2 ,2,688,30g,11g,220mg,984mg,66g,3g,3g,36g,460mg,5mg,414mg,4.6,268,0mg,,2 servings
10,6573845,15 mins,25 mins,40 mins,8 ,8,715,43g,23g,373mg,353mg,45g,2g,2g,35g,208mg,4mg,415mg,5.0,4,3mg,,8 servings
11,6603275,10 mins,20 mins,30 mins,6 ,6,231,20g,8g,33mg,761mg,7g,1g,4g,7g,13mg,0mg,169mg,4.3,15,6mg,,6 servings
12,6595528,15 mins,20 mins,35 mins,6 ,6,530,14g,4g,187mg,364mg,85g,3g,2g,17g,114mg,2mg,251mg,4.4,9,5mg,,
13,6576045,20 mins,20 mins,40 mins,6 ,6,471,14g,5g,171mg,338mg,61g,3g,5g,24g,254mg,4mg,357mg,2.8,4,2mg,,
14,6593947,25 mins,25 mins,50 mins,6 ,6,838,53g,26g,264mg,871mg,62g,4g,4g,31g,328mg,5mg,480mg,4.4,53,12mg,,
15,6603240,20 mins,25 mins,45 mins,4 ,4,407,16g,8g,52mg,458mg,51g,4g,6g,19g,75mg,2mg,262mg,4.4,72,4mg,,
16,6739286,15 mins,30 mins,45 mins,5 ,5,583,39g,22g,133mg,1169mg,34g,4g,4g,27g,456mg,2mg,497mg,4.3,97,11mg,,
17,6591056,5 mins,10 mins,15 mins,6 ,6,371,8g,3g,99mg,144mg,58g,3g,3g,17g,106mg,3mg,333mg,4.1,11,1mg,,
18,6593330,15 mins,20 mins,35 mins,4 ,4,372,11g,4g,173mg,434mg,47g,3g,4g,20g,167mg,4mg,345mg,4.4,11,8mg,,4 servings
19,6578439,5 mins,22 mins,27 mins,4 ,4,488,11g,3g,213mg,334mg,75g,3g,3g,21g,45mg,4mg,317mg,4.8,26,,,4 servings
20,6664025,10 mins,10 mins,20 mins,2 ,2,284,15g,6g,121mg,1145mg,20g,4g,4g,19g,298mg,3mg,407mg,4.5,43,47mg,,2 servings
21,6583242,15 mins,30 mins,45 mins,8 ,8,808,56g,27g,235mg,736mg,44g,2g,2g,34g,181mg,3mg,369mg,4.7,26,1mg,,
22,6586725,10 mins,10 mins,20 mins,6 ,6,601,28g,8g,163mg,832mg,58g,2g,2g,28g,184mg,4mg,371mg,3.9,48,,,6 servings
23,6571593,15 mins,20 mins,35 mins,6 ,6,432,15g,6g,141mg,601mg,54g,7g,1g,24g,251mg,5mg,689mg,4.4,10,26mg,,6 servings
24,6578934,10 mins,20 mins,30 mins,4 ,4,443,19g,10g,53mg,495mg,50g,4g,7g,20g,172mg,3mg,360mg,5.0,1,7mg,,4 servings
25,6594963,25 mins,2 mins,30 mins,8 ,8,439,23g,12g,158mg,339mg,43g,2g,2g,17g,106mg,2mg,227mg,4.2,162,0mg,3 mins,8 servings
26,6595106,15 mins,50 mins, 1 hr 5 mins,2 ,2,301,16g,6g,210mg,676mg,26g,0g,1g,18g,232mg,3mg,581mg,4.6,12,18mg,,
27,6566433,20 mins,30 mins,50 mins,6 ,6,771,39g,17g,267mg,793mg,59g,3g,4g,45g,156mg,4mg,568mg,5.0,2,2mg,,6 servings
28,6570207,15 mins,5 mins,20 mins,2 ,2,347,27g,7g,303mg,394mg,14g,4g,6g,17g,154mg,3mg,1051mg,3.8,10,58mg,,2 servings
29,6570871,10 mins,15 mins,25 mins,2 ,2,746,32g,10g,243mg,603mg,86g,10g,1g,30g,304mg,6mg,807mg,3.5,2,13mg,,2 servings
30,6601821,20 mins,20 mins,40 mins,8 ,8,796,52g,26g,266mg,614mg,45g,2g,3g,38g,200mg,3mg,405mg,4.7,3,5mg,,
31,6574959,15 mins,30 mins,45 mins,6 ,6,455,13g,4g,112mg,427mg,63g,3g,8g,20g,112mg,3mg,303mg,5.0,1,0mg,,6 servings
32,6602811,10 mins,20 mins,30 mins,4 ,4,519,17g,6g,218mg,479mg,65g,3g,3g,24g,198mg,4mg,305mg,,,0mg,,4 servings
33,6591493,15 mins,30 mins,45 mins,8 ,8,478,16g,5g,45mg,597mg,54g,4g,6g,25g,157mg,3mg,424mg,4.7,3,11mg,,8 servings
34,6569011,10 mins,20 mins,30 mins,4 ,4,383,13g,5g,205mg,437mg,46g,2g,3g,21g,162mg,3mg,345mg,4.0,4,5mg,,4 servings
