,id_recipe,name,Prep Time:,Cook Time:,Rise Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Stand Time:,Bake Time:,Active Time:,Fry Time:,Cool Time:,Freeze Time:
0,7510692,Sausage Gravy Kolaches,45 mins,30 mins, 2 hrs 15 mins, 3 hrs 30 mins,8 ,8 kolaches,8,379,22g,10g,105mg,502mg,34g,1g,5g,13g,1mg,61mg,2mg,232mg,4.7,3,,,,,,,
1,7504941,Baked Apple Fritters,15 mins,13 mins,,28 mins,10 ,10 apple fritters,10,234,8g,5g,38mg,129mg,37g,1g,22g,3g,1mg,90mg,1mg,77mg,5.0,1,,,,,,,
2,6565970,Cinnamon Roll Monkey Bread,10 mins,20 mins,,35 mins,8 ,,8,246,11g,5g,15mg,337mg,35g,1g,13g,2g,0mg,18mg,1mg,29mg,5.0,1,5 mins,,,,,,
3,6569147,Chinese Sweet Bun Dough,30 mins,20 mins,, 3 hrs 20 mins,12 ,12 buns,12,119,8g,2g,33mg,408mg,10g,0g,9g,2g,,32mg,0mg,63mg,4.6,42, 2 hrs 30 mins,,,,,,
4,6569351,Zeppole,15 mins,25 mins,,40 mins,35 ,,35,69,5g,1g,12mg,24mg,5g,0g,2g,1g,,13mg,0mg,8mg,4.5,161,,,,,,,
5,6892134,Orange Cinnamon Rolls,45 mins,, 1 hr 30 mins, 2 hrs 50 mins,12 ,12 orange cinnamon rolls,12,536,28g,17g,108mg,416mg,59g,1g,,14g,,,,441mg,4.5,2,,10 mins,25 mins,,,,
6,6891086,Mochi Donuts,,,, 1 hr 20 mins,9 ,9 donuts,9,355,11g,3g,33mg,233mg,62g,2g,,5g,,,,49mg,,,,,, 1 hr,10 mins,10 mins,
7,6578125,Nana's Fastnachts,30 mins,15 mins,, 4 hrs,60 ,5 dozen,60,107,4g,1g,10mg,74mg,15g,0g,4g,2g,,14mg,1mg,35mg,4.6,16, 3 hrs 15 mins,,,,,,
8,6745326,Eggnog Cinnamon Rolls,45 mins,25 mins, 3 hrs, 4 hrs 25 mins,12 ,12 eggnog cinnamon rolls,12,511,25g,15g,85mg,371mg,67g,2g,,7g,,,,122mg,4.8,5,,,,,,15 mins,
9,6831139,Homemade Mini Cinnamon Rolls,35 mins,, 2 hrs 30 mins, 3 hrs 45 mins,8 ,32 mini cinnamon rolls,8,642,21g,13g,99mg,283mg,103g,2g,,11g,,,,176mg,5.0,1,,,22 mins,,,10 mins,
