,id_recipe,name,Prep Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Cook Time:,Yield:,Additional Time:
0,6737871,Spinach Basil Pesto,20 mins,20 mins,24 ,24,67,7g,1g,2mg,87mg,1g,0g,0g,2g,1mg,25mg,0mg,37mg,4.8,578,,,
1,6664516,Pesto Sauce,10 mins,10 mins,16 ,16,199,21g,3g,1mg,20mg,2g,1g,0g,2g,2mg,40mg,1mg,76mg,4.5,684,,,
2,6648402,Pesto Alfredo Sauce,,10 mins,3 ,3,277,26g,13g,57mg,343mg,5g,1g,0g,6g,2mg,235mg,1mg,171mg,4.6,27,10 mins,,
3,6576333,Garlic Scape Pesto,10 mins,10 mins,28 ,28,108,9g,2g,3mg,58mg,6g,0g,0g,2g,5mg,69mg,0mg,71mg,4.6,67,,3 1/2 cups,
4,6561853,Basil Cream Sauce,15 mins,25 mins,6 ,6,285,28g,11g,50mg,117mg,4g,1g,1g,6g,4mg,133mg,2mg,153mg,4.5,213,10 mins,,
5,6738331,Proper Pesto,20 mins,20 mins,8 ,8,181,18g,3g,6mg,169mg,2g,0g,0g,4g,3mg,110mg,1mg,81mg,4.9,74,,,
6,6593802,Basil Pesto,15 mins,15 mins,16 ,16,177,18g,3g,4mg,87mg,2g,0g,0g,4g,2mg,78mg,1mg,76mg,4.9,10,,2 cups,
7,6737768,Pesto Genovese (Authentic Italian Basil Pesto),20 mins,20 mins,6 ,6,225,23g,4g,8mg,125mg,1g,0g,0g,4g,3mg,121mg,1mg,72mg,4.9,17,,6 servings,
8,6561751,Basil Pecan Pesto,15 mins,15 mins,12 ,12,232,24g,3g,3mg,132mg,3g,2g,1g,3g,2mg,67mg,1mg,96mg,4.7,61,,12 servings,
9,6566706,Sun-Dried Tomato Pesto,20 mins,20 mins,40 ,40,44,4g,1g,1mg,81mg,2g,1g,1g,1g,2mg,17mg,0mg,119mg,4.5,90,,2 1/2 cups,
10,6664928,Pesto,5 mins,5 mins,16 ,16,92,9g,2g,3mg,59mg,1g,0g,0g,2g,4mg,60mg,1mg,54mg,4.7,"1,031",,2 cups,
11,6564707,Red Pesto Sauce,15 mins,15 mins,8 ,8,282,27g,5g,9mg,210mg,5g,1g,0g,7g,16mg,134mg,2mg,304mg,4.5,2,,,
12,6565307,Simple Garlic and Basil Pesto,15 mins,15 mins,12 ,12,234,24g,4g,4mg,70mg,2g,1g,0g,4g,3mg,72mg,1mg,78mg,4.6,347,,12 servings,
13,6563882,Homemade Pesto,15 mins,15 mins,6 ,6,389,36g,8g,14mg,343mg,5g,2g,1g,14g,7mg,308mg,3mg,245mg,4.7,52,,6 servings,
14,6565026,Easy Pesto,2 mins,12 mins,6 ,6,199,21g,3g,,389mg,2g,1g,0g,2g,2mg,37mg,1mg,81mg,4.5,380,10 mins,6 servings,
15,6562508,Jalapeno Pesto,10 mins,10 mins,14 ,14,126,13g,2g,4mg,66mg,1g,0g,0g,2g,2mg,61mg,0mg,37mg,4.8,18,,14 servings,
16,6568941,Spinach Walnut Pesto,15 mins,15 mins,4 ,4,443,43g,8g,18mg,461mg,5g,2g,1g,11g,21mg,262mg,2mg,183mg,4.5,8,,1 1/2 cups,
17,6585487,Fresh Basil Pesto,10 mins,10 mins,6 ,6,244,24g,5g,10mg,187mg,2g,1g,0g,5g,4mg,135mg,1mg,91mg,4.9,8,,1 cup,
18,6583142,Walnut Pesto,10 mins,10 mins,2 ,2,455,47g,5g,,3mg,7g,3g,1g,6g,12mg,110mg,2mg,278mg,5.0,12,,2 servings,
19,6737456,Salsa di Noci,10 mins,25 mins,4 ,4,1066,72g,17g,61mg,190mg,90g,7g,5g,22g,10mg,115mg,7mg,469mg,4.6,18,15 mins,,
20,6563504,Summer Herb Pesto,10 mins,10 mins,12 ,12,172,18g,3g,3mg,57mg,2g,1g,0g,3g,10mg,67mg,1mg,105mg,4.6,23,,1 1/2 cups,
21,6594861,Swiss Chard and Pecan Pesto,20 mins,25 mins,10 ,10,228,22g,4g,7mg,319mg,4g,2g,1g,5g,16mg,136mg,3mg,261mg,4.8,25,5 mins,1 1/4 cups,
22,6575184,Easy Basil Pesto with Almonds,5 mins,5 mins,4 ,4,226,22g,4g,9mg,154mg,3g,1g,1g,6g,4mg,172mg,1mg,142mg,4.8,4,,,
23,6569986,Sunflower Seed and Basil Pesto,10 mins,10 mins,8 ,8,165,17g,3g,2mg,99mg,3g,1g,0g,2g,16mg,46mg,2mg,87mg,,,,,
24,6563576,Easy Walnut Basil Pesto,10 mins,10 mins,8 ,8,103,10g,2g,2mg,39mg,1g,1g,0g,2g,3mg,52mg,1mg,58mg,4.8,6,,1 cup,
25,6565093,Sun-Dried Tomato Pesto (No Nuts),10 mins,20 mins,8 ,8,204,21g,3g,1mg,452mg,4g,1g,3g,2g,3mg,28mg,1mg,245mg,4.8,19,,1 cup,10 mins
26,6605588,Cilantro Jalapeno Pesto with Lime,10 mins,10 mins,6 ,6,129,12g,2g,4mg,69mg,2g,1g,0g,3g,4mg,58mg,1mg,88mg,4.7,54,,3 /4 cup,
27,6561529,Chive Pesto,10 mins,25 mins,12 ,12,209,22g,5g,10mg,41mg,2g,1g,0g,1g,8mg,36mg,1mg,78mg,5.0,1,,12 servings,15 mins
28,6583869,Basic Basil Pesto,5 mins,15 mins,6 ,6,218,22g,4g,6mg,103mg,2g,0g,0g,4g,3mg,102mg,1mg,73mg,5.0,4,5 mins,6 servings,5 mins
29,6561900,Homemade Best-O Pesto Ever,5 mins,5 mins,16 ,16,178,19g,3g,,146mg,1g,1g,0g,1g,2mg,27mg,1mg,64mg,5.0,1,,2 cups,
30,6565154,Rudy's Garlic Scape Pesto,10 mins,10 mins,16 ,16,138,13g,3g,5mg,80mg,2g,0g,0g,3g,2mg,63mg,0mg,40mg,4.5,31,,2 cups,
31,6737889,Chef John's Garlic Scape Pesto,10 mins,10 mins,8 ,8,199,19g,2g,,124mg,8g,2g,1g,2g,16mg,47mg,1mg,122mg,5.0,2,,1 cup,
32,6564228,Lighter Basil Pesto,15 mins,15 mins,8 ,8,42,3g,1g,5mg,56mg,1g,0g,0g,3g,2mg,69mg,1mg,53mg,4.8,6,,,
33,6566800,Thai Pesto,10 mins,10 mins,10 ,10,84,7g,1g,,197mg,3g,1g,2g,2g,2mg,11mg,0mg,89mg,4.8,32,,1 1/4 cup,
34,6572208,Pesto-Crusted Grouper,5 mins,15 mins,2 ,2,265,15g,8g,79mg,463mg,6g,0g,,27g,0mg,61mg,1mg,502mg,5.0,1,10 mins,2 servings,
35,6738174,Chef John's Almond Arugula Pesto,10 mins,15 mins,4 ,4,210,22g,3g,,40mg,3g,1g,1g,2g,1mg,29mg,1mg,79mg,4.8,21,5 mins,4 servings,
36,6564574,Creamy Pesto Sauce,10 mins,15 mins,10 ,10,115,11g,4g,16mg,148mg,1g,0g,0g,4g,2mg,109mg,0mg,44mg,4.0,10,5 mins,10 servings,
37,6561994,Pesto alla Siciliana,20 mins,20 mins,4 ,4,211,20g,4g,6mg,148mg,5g,1g,0g,5g,17mg,102mg,1mg,250mg,4.5,2,,4 servings,
38,6572870,Yummy Vegan Pesto Classico,15 mins,15 mins,16 ,16,107,11g,2g,,2mg,2g,1g,0g,2g,1mg,12mg,1mg,89mg,4.8,90,,16 servings,
39,6663326,The Best Classic Pesto,10 mins,10 mins,4 ,4,355,35g,6g,9mg,395mg,4g,1g,,7g,,,,170mg,4.7,3,,1 cup,
40,6565354,Borage Pesto,10 mins,10 mins,10 ,10,66,7g,1g,1mg,26mg,1g,0g,,1g,5mg,25mg,1mg,79mg,,,,10 servings,
41,6565782,Easy Creamy Pesto,5 mins,10 mins,4 ,4,345,35g,20g,105mg,740mg,5g,1g,0g,4g,1mg,137mg,1mg,101mg,4.5,2,5 mins,4 servings,
42,6596941,Pepita Pesto,5 mins,5 mins,4 ,4,193,19g,3g,,120mg,3g,1g,0g,3g,13mg,24mg,2mg,154mg,5.0,1,,4 servings,
43,6562200,Faux Pesto,10 mins,10 mins,16 ,16,113,11g,2g,4mg,82mg,1g,1g,0g,3g,3mg,66mg,0mg,66mg,4.7,24,,2 cups,
44,6602782,Three Pepper Pesto,15 mins,15 mins,12 ,12,69,6g,2g,5mg,85mg,1g,0g,0g,2g,9mg,64mg,0mg,26mg,4.4,11,,1 1/2 cups,
45,6561260,15-Year-Old Pesto Sauce,10 mins,10 mins,12 ,12,223,23g,4g,6mg,297mg,2g,0g,0g,4g,2mg,89mg,1mg,66mg,4.5,52,,1 1/2 cups,
46,6565406,Pecan Parsley Pepper Pesto,10 mins,10 mins,32 ,32,196,21g,3g,2mg,98mg,2g,1g,0g,2g,8mg,42mg,1mg,59mg,3.9,8,,5 cups,
47,6565226,Cacao Nib Pesto,10 mins,10 mins,4 ,4,229,22g,4g,,123mg,7g,4g,1g,2g,3mg,20mg,2mg,70mg,,,,4 servings,
48,6564544,Presto Vegan Pesto,5 mins,5 mins,4 ,4,337,33g,5g,,100mg,5g,1g,1g,7g,7mg,48mg,2mg,150mg,5.0,8,,4 servings,
49,6601612,Trofie alla Genovese,20 mins, 2 hrs,4 ,4,470,38g,7g,9mg,437mg,26g,6g,2g,11g,42mg,194mg,3mg,697mg,,,40 mins,4 servings, 1 hr
50,6590927,Easy Ramp Pesto,10 mins,10 mins,12 ,12,151,14g,3g,7mg,129mg,2g,0g,1g,4g,1mg,99mg,0mg,37mg,5.0,1,,12 servings,
51,6664229,Small Batch Dill Pesto,10 mins,10 mins,2 ,2,168,17g,3g,2mg,175mg,5g,2g,,2g,,,,173mg,,,,,
52,6648226,Dill Pesto,10 mins,10 mins,4 ,4,165,16g,3g,4mg,143mg,3g,1g,,4g,,,,115mg,4.0,1,,,
53,6604754,Trofie al Pesto,45 mins, 1 hr 35 mins,6 ,6,405,25g,5g,68mg,205mg,34g,2g,1g,10g,4mg,123mg,3mg,153mg,,,20 mins,6 servings,30 mins
