,id_recipe,name,Prep Time:,Cook Time:,Chill Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Cool Time:,Stand Time:,Active Time:,Bake Time:,Freeze Time:,Additional Time:
0,7563548,Twix Pie,10 mins,10 mins, 2 hrs, 2 hrs 20 mins,10 ,1 pie,10,903,59g,40g,82mg,329mg,86g,3g,62g,9g,1mg,153mg,3mg,355mg,,,,,,,,
1,7565344,Shortcrust Pastry (Pâte Brisée),15 mins,, 2 hrs, 2 hrs 15 mins,8 ,1 9- to 10-inch crust,8,159,12g,7g,31mg,170mg,12g,0g,0g,2g,0mg,6mg,1mg,20mg,,,,,,,,
2,7693661,Pear Galette with Ginger,25 mins,35 mins,, 1 hr,8 ,1 pear galette,8,314,15g,6g,37mg,216mg,42g,3g,16g,4g,3mg,25mg,1mg,146mg,5.0,1,,,,,,
3,7511030,These Homemade Cherry Tarts Are Sure to Sweeten Your Day,20 mins,30 mins,45 mins, 1 hr 35 mins,6 ,6 tarts,6,476,17g,6g,0mg,293mg,79g,3g,22g,3g,5mg,22mg,1mg,220mg,,,,,,,,
4,7508367,Croatian Apple Pie Squares,20 mins,50 mins, 2 hrs, 3 hrs 10 mins,8 ,,8,628,32g,19g,148mg,35mg,82g,5g,41g,7g,8mg,47mg,3mg,321mg,,,,,,,,
5,7501170,Chocolate Potato Chip Pie,20 mins,45 mins,, 3 hrs 10 mins,8 ,1 9-inch pie,8,1305,93g,38g,147mg,727mg,109g,11g,40g,16g,22mg,114mg,9mg,1774mg,1.0,1, 1 hr 35 mins,30 mins,,,,
6,6581405,Apricot and Peach Fried Pies,,30 mins,,30 mins,18 ,18 servings,18,280,14g,3g,1mg,266mg,35g,1g,13g,4g,0mg,25mg,2mg,132mg,4.7,70,,,,,,
7,6944614,Ruffled Milk Pie,,,, 1 hr 5 mins,8 ,,8,439,28g,16g,180mg,253mg,40g,1g,,8g,,,,129mg,3.0,2,,,20 mins,45 mins,,
8,6747006,Brownie Pie,30 mins,, 1 hr, 2 hrs 15 mins,6 ,1 brownie pie,6,775,54g,27g,188mg,355mg,71g,6g,,11g,,,,344mg,5.0,5,,,,45 mins,30 mins,
9,6751344,Pâte Sucrée,20 mins,, 3 hrs, 4 hrs 35 mins,12 ,2 9 1/2-inch tart shells,12,324,18g,11g,82mg,166mg,37g,1g,,4g,,,,45mg,,,40 mins,10 mins,,25 mins,,
10,6828955,Apple Walnut Canadian Butter Tarts,30 mins,10 mins,, 1 hr 10 mins,12 ,12 tarts,12,344,22g,7g,33mg,208mg,35g,2g,,4g,,,,120mg,4.8,6,10 mins,,,20 mins,,
11,6828456,Marbled Chocolate Pumpkin Pie,20 mins,,, 1 hr 10 mins,9 ,1 pumpkin pie,9,174,11g,3g,62mg,249mg,17g,3g,,4g,,,,141mg,5.0,1,,,,50 mins,,
12,6663919,Perfect Pumpkin Pie,10 mins,50 mins,, 1 hr,8 ,1 (9-inch) pie,8,379,14g,6g,64mg,352mg,31g,3g,18g,6g,,21mg,1mg,35mg,4.7,"3,633",,,,,,
