,id_recipe,name,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Calcium,Iron,Potassium,Average_Review,Review_Count,Cholesterol,Vitamin C,Rise Time:
0,6648543,Easy Homemade Pizza Dough,10 mins,15 mins,20 mins,45 mins,8 ,1 12-inch pizza crust,8,170,4g,1g,293mg,28g,1g,1g,5g,7mg,2mg,55mg,4.7,"3,923",,,
1,6648387,No-Yeast Pizza Crust,15 mins,,10 mins,25 mins,8 ,1 12-inch pizza crust,8,112,4g,1g,216mg,17g,1g,1g,3g,59mg,1mg,51mg,4.5,504,0mg,0mg,
2,6738854,Thin-Crust Pizza Dough,10 mins,,5 mins,15 mins,4 ,1 12-inch crust,4,232,1g,0g,294mg,48g,2g,0g,7g,12mg,3mg,87mg,4.7,293,,,
3,6663528,Two-Ingredient Pizza Dough,15 mins,10 mins,,25 mins,8 ,1 12-inch crust,8,116,3g,1g,314mg,18g,1g,1g,4g,79mg,1mg,29mg,4.6,308,6mg,,
4,7568213,South Shore Bar Pizza,30 mins,10 mins,, 5 hrs 40 mins,4 ,4 10-inch pizzas,4,1301,78g,30g,1530mg,104g,5g,7g,44g,869mg,3mg,652mg,4.2,5,122mg,10mg, 5 hrs
5,7496725,Tavern Pizza,10 mins,10 mins,, 1 hr 50 mins,4 servings,1 (12-inch) pizza,4,325,14g,5g,976mg,38g,2g,6g,13g,165mg,3mg,272mg,,,29mg,28mg, 1 hr 30 mins
6,6650997,Amazing Whole Wheat Pizza Crust,25 mins,, 1 hr 55 mins, 2 hrs 20 mins,10 ,1 large pizza crust,10,167,2g,0g,236mg,33g,4g,1g,6g,13mg,2mg,142mg,4.6,"1,094",,,
7,6594917,Perfect Every Time Pizza or Calzone Dough,20 mins,,,20 mins,4 ,4 medium calzones,4,438,8g,1g,296mg,81g,3g,9g,10g,18mg,5mg,142mg,4.7,117,,0mg,
8,6739460,No-Rise Pizza Dough,10 mins,,,10 mins,15 ,1 pizza,15,112,2g,0g,156mg,20g,1g,1g,3g,5mg,1mg,36mg,4.4,"2,862",,,
9,6593046,Bread Machine Thin Crust Pizza Dough, 1 hr 10 mins,5 mins,, 1 hr 15 mins,8 ,1 14-inch crust,8,126,2g,0g,147mg,24g,1g,0g,3g,6mg,2mg,44mg,4.6,212,,,
10,6664071,Jay's Signature Pizza Crust,30 mins,15 mins, 1 hr, 1 hr 45 mins,15 ,1 giant pizza crust,15,119,2g,0g,157mg,22g,1g,0g,3g,6mg,1mg,42mg,4.7,"4,430",,,
11,6648193,Pizza Crust,15 mins,20 mins,35 mins, 1 hr 10 mins,12 ,1 large crust,12,24,2g,0g,195mg,1g,0g,1g,0g,1mg,0mg,12mg,4.5,"1,493",,,
12,6736915,Cauliflower Pizza Crust,15 mins,30 mins,15 mins, 1 hr,6 ,,6,59,4g,2g,109mg,3g,1g,1g,4g,93mg,1mg,180mg,4.3,288,38mg,26mg,
13,6650697,Keto Chicken Crust Pizza,10 mins,35 mins,,45 mins,4 ,1 crust,4,409,15g,7g,1030mg,4g,1g,1g,62g,380mg,2mg,494mg,4.6,15,165mg,2mg,
14,6576244,The Real Chicago Deep-Dish Pizza Dough,10 mins,, 6 hrs 15 mins, 6 hrs 25 mins,8 ,,8,299,14g,2g,362mg,37g,2g,1g,5g,8mg,2mg,73mg,4.6,141,,,
15,6581965,Master Pizza Dough,10 mins,,10 mins,20 mins,16 ,,16,235,5g,1g,293mg,40g,1g,0g,6g,9mg,3mg,57mg,4.7,879,,,
16,6567451,Spelt Pizza Dough,15 mins,, 2 hrs 20 mins, 2 hrs 35 mins,4 ,,4,347,5g,1g,486mg,67g,3g,6g,13g,3mg,3mg,38mg,4.9,29,,,
17,6595643,World's Easiest Bread Machine Pizza Dough, 2 hrs,,5 mins, 2 hrs 5 mins,4 ,,4,476,11g,2g,445mg,82g,3g,10g,11g,24mg,10mg,164mg,4.7,114,,1mg,
18,6737810,Chef John's Easy Homemade Pizza Dough,10 mins,10 mins, 18 hrs 15 mins, 18 hrs 35 mins,4 ,,4,485,8g,1g,732mg,89g,4g,1g,12g,22mg,6mg,154mg,4.4,83,,,
19,6589821,Italian Pizza Dough,15 mins,, 1 hr 10 mins, 1 hr 25 mins,6 ,1 pizza crust,6,208,6g,1g,208mg,33g,1g,1g,6g,12mg,2mg,76mg,4.4,78,31mg,,
20,6592511,Sourdough Pizza Crust Dough,10 mins,7 mins,30 mins,47 mins,4 ,1 pizza crust,4,335,4g,1g,604mg,62g,3g,2g,11g,54mg,5mg,246mg,4.5,18,1mg,0mg,
21,6577960,Valentino's Pizza Crust,15 mins,20 mins,,35 mins,12 ,1 to 16 - inch crust,12,131,4g,1g,195mg,21g,1g,1g,3g,5mg,1mg,43mg,4.6,858,,,
22,6590926,Cauliflower Pizza Crust from Green Giant,10 mins,33 mins,,43 mins,4 ,4 servings,4,67,3g,2g,115mg,4g,2g,0g,6g,94mg,0mg,26mg,4.5,38,54mg,,
23,6579566,New York-Style Pizza Dough,20 mins,, 10 hrs 20 mins, 10 hrs 40 mins,6 ,6 servings,6,67,7g,1g,583mg,2g,0g,1g,0g,2mg,0mg,24mg,4.6,41,,,
24,6737200,Bread Machine Pizza Dough,10 mins,24 mins, 2 hrs, 2 hrs 34 mins,6 ,1 pizza,6,262,4g,3g,418mg,46g,2g,4g,6g,12mg,3mg,98mg,4.7,682,10mg,,
25,6589793,Crazy Crust Pizza Dough,10 mins,35 mins,,45 mins,8 ,1 pizza crust,8,86,2g,1g,317mg,13g,1g,1g,4g,36mg,1mg,68mg,3.8,607,48mg,0mg,
26,6602839,Cauliflower Almond Pizza Crust,15 mins,30 mins,,45 mins,8 ,1 thin-crust pizza,8,138,10g,1g,96mg,8g,4g,2g,7g,30mg,1mg,246mg,4.2,27,70mg,34mg,
27,6566162,Rye Pizza Dough,20 mins,, 1 hr 10 mins, 1 hr 30 mins,8 ,1 24-inch pizza,8,253,4g,1g,294mg,47g,3g,1g,6g,12mg,3mg,99mg,4.9,16,,,
28,6592059,Italian Feather Bread Pizza Dough,15 mins,,5 mins,20 mins,6 ,6 servings,6,307,8g,1g,393mg,51g,3g,2g,8g,14mg,4mg,148mg,4.7,76,,,
29,6648335,Flash Pizza,15 mins,30 mins,20 mins, 1 hr 5 mins,4 ,2 small pizzas,4,619,28g,12g,1725mg,59g,3g,,30g,,,178mg,4.6,7,68mg,,
30,6741841,New York Italian Pizza Dough,30 mins,6 mins, 10 hrs, 10 hrs 36 mins,8 ,8 servings,8,33,2g,0g,584mg,4g,0g,,1g,4mg,0mg,25mg,4.7,166,,,
31,6573807,Premium Pizza Crust,30 mins,10 mins, 14 hrs 20 mins, 15 hrs,8 ,2 to 12 - inch crusts,8,173,1g,0g,223mg,36g,1g,0g,5g,9mg,5mg,67mg,4.7,193,,,
32,6565276,Pizza Dough,25 mins,, 1 hr 20 mins, 1 hr 45 mins,24 ,3 crusts,24,121,2g,0g,245mg,22g,1g,,4g,6mg,1mg,44mg,4.7,756,,,
33,6577041,Famous California Pizza Dough,20 mins,15 mins, 1 hr, 1 hr 35 mins,16 ,4 8-inch pizza dough rounds,16,127,5g,1g,121mg,19g,1g,1g,3g,4mg,1mg,35mg,5.0,8,,,
34,6737216,Chef John's Cauliflower Pizza Crust,15 mins,45 mins,, 1 hr,4 ,1 pizza crust,4,121,7g,4g,479mg,8g,4g,4g,9g,121mg,1mg,481mg,4.6,273,61mg,67mg,
35,6579771,Gluten-Free Pizza Crust or Flatbread,15 mins,25 mins,20 mins, 1 hr,1 ,1 large crust,1,1632,52g,6g,1306mg,277g,38g,11g,38g,266mg,4mg,301mg,4.9,12,,3mg,
36,6564989,Whole Wheat Pizza Dough,15 mins,, 1 hr, 1 hr 15 mins,6 ,6 servings,6,187,5g,1g,100mg,31g,3g,1g,5g,12mg,2mg,120mg,4.7,60,,,
37,6563718,Pizza Sauce and Dough,40 mins,20 mins, 1 hr, 2 hrs,12 ,2 (14 inch) pizzas,12,84,4g,1g,519mg,10g,2g,6g,2g,37mg,2mg,442mg,4.5,87,0mg,14mg,
38,6738084,Double Crust Stuffed Pizza,30 mins, 1 hr 10 mins, 1 hr 15 mins, 2 hrs 55 mins,8 ,,8,410,21g,9g,1063mg,33g,2g,4g,22g,358mg,3mg,387mg,4.7,84,53mg,19mg,
39,6579693,Keto Pepperoni Pizza with Fathead Crust,20 mins,15 mins,,35 mins,6 ,1 12-inch pizza,6,259,15g,3g,660mg,8g,4g,2g,25g,606mg,1mg,284mg,4.7,15,50mg,1mg,
40,6564948,The Best Pizza Crust,20 mins,25 mins, 2 hrs 35 mins, 3 hrs 20 mins,15 ,1 pizza crust,15,78,1g,0g,167mg,15g,1g,1g,3g,10mg,1mg,34mg,4.0,49,0mg,,
41,6738890,Whole Wheat and Honey Pizza Dough,10 mins,5 mins,15 mins,30 mins,12 ,1 12-inch pizza,12,84,1g,0g,196mg,17g,3g,2g,4g,9mg,1mg,115mg,4.3,582,,,
42,6603365,Thin Crust Pizza Dough,20 mins,,30 mins,50 mins,16 ,16 servings,16,92,1g,0g,74mg,18g,1g,3g,2g,4mg,1mg,32mg,4.6,39,,,
43,6588943,Broccoli Pizza Crust,20 mins,40 mins,, 1 hr,4 ,4 individual-sized crusts,4,128,6g,3g,793mg,10g,3g,2g,9g,222mg,1mg,303mg,5.0,2,60mg,68mg,
44,6582510,Brooklyn-Style Pizza Dough,30 mins,0 mins,40 mins,1 day 1 hr 25 mins,8 ,1 14-inch pizza crust,8,34,3g,1g,147mg,1g,0g,,1g,2mg,0mg,30mg,4.3,7,,,
45,6591102,Real Italian Pizza Dough,25 mins,10 mins, 1 hr, 1 hr 35 mins,4 ,4 9-inch pizza crusts,4,533,10g,1g,1168mg,96g,4g,0g,13g,22mg,6mg,145mg,4.0,1,,,
46,6590784,Neapolitan-Style Pizza Dough with Garlic and Italian Seasonings,30 mins,5 mins, 1 hr 10 mins, 1 hr 45 mins,12 ,2 (12-inch) crusts,12,139,3g,0g,244mg,25g,1g,,3g,13mg,2mg,53mg,4.0,30,,0mg,
47,6599492,Pizza Oven Dough,15 mins,, 10 hrs, 10 hrs 15 mins,8 ,2 thin-crust pizzas,8,19,2g,0g,437mg,1g,0g,1g,0g,2mg,0mg,15mg,4.8,12,,,
48,6587062,Thin-Crust Fathead Pizza Dough,20 mins,10 mins,,30 mins,6 ,6 slices,6,212,16g,4g,255mg,7g,3g,1g,13g,255mg,0mg,62mg,5.0,5,49mg,,
