,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Active Time:,Refrigerate Time:,Yield:,Release Pressure Time:
0,7567945,15 mins,30 mins,45 mins,4 ,4,682,27g,8g,104mg,1239mg,68g,4g,8g,45g,54mg,94mg,3mg,1313mg,4.8,5,,,,,
1,7563464,10 mins,20 mins,30 mins,4 ,4,506,23g,7g,236mg,530mg,21g,1g,2g,51g,1mg,109mg,3mg,689mg,4.5,2,,,,,
2,6664464,5 mins,10 mins, 2 hrs 15 mins,6 ,6,380,22g,6g,124mg,1254mg,2g,0g,1g,41g,0mg,22mg,1mg,728mg,4.7,559, 2 hrs,,,,
3,7105793,,10 mins,30 mins,4 ,4,599,39g,9g,112mg,760mg,35g,0g,,36g,,,,570mg,5.0,7,,15 mins,5 mins,4 pork schnitzel,
4,6752090,5 mins,10 mins,15 mins,4 ,,,,,,,,,,,,,,,4.8,14,,,,,
5,6664773,10 mins,20 mins,30 mins,6 ,6,290,13g,4g,95mg,419mg,14g,0g,12g,30g,1mg,34mg,1mg,472mg,4.5,649,,,,,
6,6664334,5 mins,20 mins,25 mins,4 ,4,305,17g,5g,90mg,685mg,2g,0g,0g,35g,1mg,121mg,1mg,457mg,4.8,182,,,,,
7,6648576,10 mins,30 mins,40 mins,4 ,4,210,9g,2g,65mg,924mg,10g,1g,3g,24g,3mg,29mg,2mg,600mg,4.4,"2,196",,,,,
8,6648362,15 mins,30 mins,45 mins,6 ,6,353,25g,11g,118mg,720mg,4g,1g,1g,27g,7mg,59mg,3mg,437mg,4.6,707,,,,6 steaks,
9,6649754,25 mins,35 mins, 1 hr,4 ,4,433,21g,6g,185mg,911mg,35g,2g,3g,25g,3mg,247mg,4mg,362mg,4.5,"2,538",,,,,
10,7487076,10 mins,30 mins,55 mins,4 servings,4,196,10g,2g,8mg,928mg,22g,3g,9g,7g,6mg,123mg,2mg,625mg,5.0,2,,,,,15 mins
11,7095354,20 mins,45 mins, 1 hr 25 mins,4 ,4,672,36g,14g,196mg,2075mg,31g,1g,,55g,,,,1274mg,,,,,,4 pork chops,
12,6648219,15 mins,55 mins, 1 hr 10 mins,4 ,4,370,25g,9g,80mg,79mg,8g,1g,2g,28g,4mg,61mg,1mg,478mg,4.7,859,,,,,
13,6737461,20 mins, 1 hr, 1 hr 20 mins,5 ,5,705,47g,18g,123mg,636mg,38g,4g,5g,33g,36mg,290mg,3mg,1245mg,4.3,518,,,,,
14,6648197,10 mins,20 mins,30 mins,4 ,4,422,14g,6g,128mg,897mg,39g,2g,5g,32g,,71mg,3mg,486mg,4.3,"1,199",,,,,
15,6648266,15 mins, 1 hr, 1 hr 15 mins,6 ,6,166,9g,2g,36mg,256mg,7g,,6g,15g,2mg,20mg,1mg,262mg,4.3,"3,011",,,,,
16,6736855,20 mins,50 mins, 1 hr 10 mins,4 ,4,414,30g,12g,67mg,777mg,19g,1g,3g,17g,1mg,66mg,2mg,295mg,4.6,501,,,,,
17,6663142,15 mins, 1 hr, 1 hr 15 mins,4 ,4,240,9g,2g,64mg,2598mg,12g,3g,3g,27g,18mg,66mg,2mg,702mg,4.5,29,,,,,
