,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:
0,6663608,15 mins, 5 hrs, 5 hrs 15 mins,8 ,8 sandwiches,8,528,23g,9g,98mg,803mg,46g,3g,17g,32g,5mg,119mg,3mg,606mg,4.5,"3,144",
1,6650619,10 mins, 8 hrs, 20 hrs 40 mins,20 ,,20,442,32g,11g,104mg,2691mg,15g,1g,13g,24g,1mg,34mg,3mg,434mg,4.7,262, 12 hrs 30 mins
2,6648362,15 mins,30 mins,45 mins,6 ,6 steaks,6,353,25g,11g,118mg,720mg,4g,1g,1g,27g,7mg,59mg,3mg,437mg,4.6,707,
3,6580706,15 mins, 4 hrs, 13 hrs 15 mins,8 ,,8,355,24g,7g,112mg,966mg,2g,1g,0g,32g,3mg,49mg,3mg,468mg,4.8,57, 9 hrs
4,6738383,45 mins, 2 hrs, 6 hrs 45 mins,12 ,48 boudin balls,12,301,12g,3g,108mg,1569mg,33g,2g,2g,14g,15mg,55mg,4mg,279mg,4.8,29, 4 hrs
5,6738214,15 mins, 3 hrs 30 mins, 3 hrs 45 mins,12 ,,12,250,19g,6g,63mg,2072mg,2g,0g,1g,16g,3mg,23mg,1mg,252mg,4.9,573,
6,6649878,20 mins, 2 hrs 30 mins,2 days 14 hrs 50 mins,16 ,,16,484,26g,9g,127mg,13996mg,22g,,21g,39g,1mg,67mg,2mg,737mg,4.8,30,2 days 12 hrs
7,6737809,10 mins, 10 hrs, 10 hrs 10 mins,10 ,,10,223,14g,5g,73mg,474mg,1g,0g,0g,22g,0mg,25mg,1mg,290mg,4.6,"2,058",
8,6581961,30 mins, 4 hrs 30 mins, 5 hrs,8 ,,8,174,12g,5g,32mg,210mg,9g,2g,4g,8g,48mg,45mg,2mg,365mg,4.6,110,
9,6650237,15 mins, 12 hrs, 12 hrs 15 mins,10 ,,10,293,17g,6g,91mg,776mg,4g,0g,3g,28g,1mg,32mg,1mg,405mg,4.6,628,
10,6736966,25 mins, 2 hrs 25 mins, 2 hrs 50 mins,6 ,,6,401,19g,7g,68mg,769mg,33g,5g,7g,20g,47mg,89mg,2mg,877mg,4.8,322,
11,6603610,45 mins, 3 hrs, 3 hrs 45 mins,10 ,,10,356,24g,8g,62mg,978mg,15g,4g,7g,20g,33mg,79mg,3mg,795mg,4.7,48,
12,6584876,25 mins,20 mins, 10 hrs 15 mins,8 ,8 patties,8,155,10g,3g,45mg,629mg,3g,1g,0g,14g,3mg,27mg,1mg,252mg,4.5,35, 9 hrs 30 mins
13,6594072,25 mins, 1 hr 25 mins, 1 hr 50 mins,8 ,,8,408,17g,6g,81mg,517mg,35g,9g,5g,30g,21mg,78mg,3mg,756mg,4.5,12,
14,6650387,45 mins, 2 hrs, 2 hrs 45 mins,18 ,4 1/2 pounds,18,188,7g,2g,64mg,551mg,20g,1g,1g,11g,18mg,28mg,4mg,211mg,3.7,11,
15,6576887,20 mins, 7 hrs 10 mins, 7 hrs 30 mins,8 ,,8,265,12g,3g,64mg,765mg,12g,1g,6g,23g,6mg,39mg,2mg,387mg,4.6,329,
16,6738271,15 mins, 10 hrs, 10 hrs 15 mins,16 ,,16,209,12g,4g,53mg,568mg,9g,0g,6g,15g,1mg,22mg,1mg,260mg,4.8,271,
17,6591608,30 mins, 2 hrs 45 mins, 3 hrs 15 mins,10 ,20 burritos,10,832,39g,14g,114mg,1747mg,71g,6g,,44g,16mg,367mg,7mg,884mg,4.8,56,
18,6587101,20 mins, 1 hr, 1 hr 20 mins,6 ,,6,178,10g,3g,47mg,427mg,8g,3g,0g,14g,2mg,35mg,3mg,492mg,4.9,10,
19,6572879,30 mins, 4 hrs 5 mins, 5 hrs 5 mins,6 ,6 servings,6,700,54g,13g,104mg,965mg,21g,1g,12g,30g,3mg,105mg,4mg,565mg,4.3,7,30 mins
20,6648793,15 mins, 3 hrs 40 mins, 3 hrs 55 mins,6 ,,6,317,23g,6g,89mg,1036mg,2g,0g,0g,26g,2mg,35mg,2mg,371mg,4.7,184,
21,6589445,15 mins, 6 hrs, 6 hrs 15 mins,12 ,,12,362,20g,7g,97mg,552mg,14g,1g,,30g,6mg,46mg,2mg,725mg,4.6,83,
22,6575732,15 mins,45 mins, 1 hr 10 mins,8 ,,8,263,15g,6g,63mg,601mg,13g,3g,2g,18g,16mg,41mg,2mg,337mg,4.8,26,10 mins
23,6649566, 1 hr, 1 hr, 10 hrs 15 mins,12 ,,12,431,14g,4g,43mg,1339mg,54g,5g,14g,22g,16mg,128mg,4mg,550mg,4.4,11, 8 hrs 15 mins
