,id_recipe,Active Time:,Bake Time:,Stand Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Protein,Potassium,Average_Review,Review_Count,Prep Time:,Cook Time:,Additional Time:,Yield:,Total Sugars,Vitamin C,Calcium,Iron,Rest Time:
0,7092712,30 mins,30 mins,15 mins, 1 hr 15 mins,8 ,8,427,22g,8g,50mg,1023mg,36g,3g,20g,298mg,4.5,2,,,,,,,,,
1,6663603,,,, 1 hr 20 mins,8 ,8,412,24g,9g,55mg,517mg,30g,3g,18g,320mg,4.8,"13,210",20 mins,50 mins,10 mins,1 9-inch pie,3g,6mg,53mg,2mg,
2,6663336,,,, 1 hr 20 mins,12 ,12,539,33g,13g,65mg,651mg,40g,4g,20g,323mg,4.9,"1,471",25 mins,45 mins,10 mins,2 9-inch pot pies,3g,6mg,76mg,4mg,
3,6664115,,,, 1 hr 10 mins,8 ,8,412,23g,10g,65mg,708mg,30g,2g,20g,159mg,4.7,882,20 mins,40 mins,10 mins,1 7x11-inch pot pie,,5mg,77mg,3mg,
4,6666167,,,, 1 hr 40 mins,6 ,6,940,55g,21g,212mg,1990mg,59g,5g,48g,1121mg,5.0,3,30 mins, 1 hr,,,,,,,10 mins
5,6648177,,,, 1 hr 30 mins,6 ,6,469,25g,6g,,1198mg,54g,7g,8g,660mg,4.5,492,30 mins, 1 hr,,,7g,27mg,55mg,3mg,
6,6650145,,,,40 mins,6 ,6,463,25g,8g,42mg,920mg,40g,3g,19g,306mg,4.6,426,10 mins,30 mins,,,4g,3mg,64mg,3mg,
7,6663958,,,, 2 hrs 55 mins,6 ,6,527,24g,5g,33mg,661mg,58g,4g,20g,726mg,4.3,247,20 mins, 2 hrs 30 mins,5 mins,1 9-inch pie,4g,14mg,48mg,2mg,
8,6648850,,,, 1 hr 30 mins,8 ,8,620,45g,15g,51mg,847mg,40g,3g,15g,251mg,4.7,19,20 mins, 1 hr 10 mins,,8 servings,3g,5mg,67mg,3mg,
9,6737372,,,, 1 hr 30 mins,6 ,6,451,13g,6g,96mg,2015mg,48g,3g,34g,495mg,4.5,"1,183",30 mins, 1 hr,,1 9x13-inch dish,8g,6mg,90mg,4mg,
10,6576765,,,, 1 hr,8 ,8,472,28g,10g,71mg,644mg,34g,4g,22g,337mg,4.9,13,20 mins,40 mins,,1 9-inch pie,1g,6mg,49mg,3mg,
11,6739531,,,, 1 hr 10 mins,8 ,8,701,41g,16g,55mg,900mg,66g,4g,17g,340mg,4.8,551,10 mins,45 mins,15 mins,1 (9-inch) deep-dish pie,7g,3mg,62mg,4mg,
12,6571111,,,, 1 hr 10 mins,8 ,8,568,26g,8g,103mg,1186mg,41g,3g,40g,577mg,5.0,6,20 mins,50 mins,,1 9x13-inch casserole,6g,10mg,80mg,5mg,
13,6600213,,,,40 mins,4 ,,,,,,,,,,,4.0,132,10 mins,30 mins,,4 servings,,,,,
14,6739155,,,, 1 hr 20 mins,8 ,8,481,27g,9g,38mg,669mg,45g,5g,14g,588mg,4.7,543,20 mins, 1 hr,,1 10-inch pie,3g,18mg,67mg,4mg,
15,6738005,,,,45 mins,6 ,6,380,21g,4g,35mg,873mg,41g,4g,6g,205mg,4.6,477,5 mins,40 mins,,6 servings,1g,3mg,58mg,1mg,
16,6594560,,,,40 mins,4 ,4,658,42g,17g,115mg,2123mg,32g,1g,37g,402mg,4.5,74,10 mins,25 mins,5 mins,4 servings,10g,4mg,472mg,4mg,
17,6578148,,,, 3 hrs,6 ,6,500,32g,8g,77mg,259mg,29g,2g,22g,350mg,4.7,102,25 mins, 2 hrs 35 mins,,1 pot pie,4g,7mg,33mg,3mg,
18,6602415,,,, 1 hr 20 mins,8 ,8,318,16g,5g,43mg,712mg,27g,2g,15g,286mg,4.8,70,20 mins,50 mins,10 mins,1 9-inch pie,4g,8mg,58mg,1mg,
19,6738992,,,, 1 hr 45 mins,6 ,6,678,38g,12g,102mg,2154mg,65g,8g,25g,771mg,4.7,103,45 mins, 1 hr,,1 pot pie,12g,19mg,113mg,4mg,
20,6737868,,,,,8 ,8,246,11g,3g,34mg,627mg,21g,5g,15g,252mg,4.5,587,,,,1 to 9 - inch pie,0g,4mg,35mg,2mg,
