,id_recipe,Prep Time:,Refrigerate Time:,Roast Time:,Stand Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Protein,Potassium,Average_Review,Review_Count,Cook Time:,Additional Time:,Yield:,Vitamin C,Calcium,Iron,Total Sugars
0,6950917,15 mins,1 day, 1 hr 20 mins,20 mins,1 day 1 hr 55 mins,4 ,4,2152,196g,86g,429mg,3176mg,1g,0g,90g,1451mg,4.5,8,,,,,,,
1,6650289,10 mins,,,, 4 hrs 30 mins,4 ,4,1757,161g,70g,362mg,343mg,1g,0g,73g,1189mg,4.8,"2,429", 2 hrs 20 mins, 2 hrs,4 servings,0mg,51mg,8mg,
2,6931031,25 mins,,,, 5 hrs 35 mins,4 ,4,730,60g,27g,134mg,1435mg,14g,1g,31g,698mg,5.0,3, 5 hrs 10 mins,,2 1/2 cups,,,,
3,6664035,15 mins,,,, 14 hrs 15 mins,20 ,20,339,26g,12g,94mg,672mg,0g,0g,25g,351mg,4.8,93, 3 hrs 40 mins, 10 hrs 20 mins,,1mg,16mg,2mg,
4,6574033,10 mins,,,, 9 hrs 35 mins,10 ,10,358,26g,9g,80mg,555mg,2g,1g,27g,409mg,4.6,33, 3 hrs 15 mins, 6 hrs 10 mins,,1mg,26mg,4mg,0g
5,6648968,10 mins,,,, 8 hrs 10 mins,14 ,14,870,73g,31g,171mg,458mg,6g,0g,44g,593mg,4.5,462, 4 hrs 30 mins, 3 hrs 30 mins,,0mg,26mg,5mg,0g
6,6736428,15 mins,,,, 10 hrs 45 mins,12 ,12,410,34g,14g,84mg,466mg,3g,1g,23g,364mg,4.8,229, 2 hrs, 8 hrs 30 mins,1 prime rib roast,2mg,26mg,3mg,1g
7,6598577,5 mins,,,, 1 hr 45 mins,6 ,6,440,33g,12g,108mg,3605mg,2g,1g,33g,517mg,4.9,11, 1 hr 30 mins,10 mins,,1mg,30mg,46mg,
8,6650045,10 mins,,,, 4 hrs 40 mins,6 ,6,391,26g,11g,107mg,30921mg,1g,0g,36g,521mg,4.7,400, 4 hrs 30 mins,,6 to 8 servings,0mg,27mg,4mg,
9,6595413,15 mins,,,, 3 hrs 30 mins,8 ,8,562,45g,20g,110mg,558mg,8g,1g,28g,478mg,4.7,45, 3 hrs,15 mins,1 beef roast,10mg,33mg,8mg,3g
10,6580533,10 mins,,,, 4 hrs 25 mins,6 ,6,393,33g,14g,84mg,450mg,1g,0g,22g,322mg,4.6,16, 4 hrs 15 mins,,6 servings,0mg,17mg,2mg,0g
11,6603564,10 mins,,,, 2 hrs 40 mins,12 ,12,443,26g,11g,133mg,365mg,3g,,47g,659mg,4.5,215, 2 hrs 30 mins,,1 (10 pound) rib roast,1mg,24mg,4mg,
12,6585294,10 mins,,,, 2 hrs 55 mins,10 ,10,437,38g,16g,85mg,246mg,1g,0g,22g,293mg,4.8,34, 1 hr 50 mins,55 mins,10 servings,0mg,18mg,2mg,
13,6603093,5 mins,,,, 1 hr 40 mins,8 ,8,457,40g,16g,85mg,936mg,2g,0g,22g,307mg,4.3,3, 1 hr 20 mins,15 mins,1 4-pound roast,1mg,24mg,3mg,
14,6599404,15 mins,,,, 4 hrs 50 mins,8 ,8,340,22g,9g,90mg,637mg,3g,0g,31g,514mg,4.7,19, 1 hr 15 mins, 3 hrs 20 mins,1 roast,2mg,29mg,4mg,1g
15,6604294,15 mins,,,, 2 hrs 45 mins,20 ,20,295,25g,10g,59mg,462mg,1g,0g,16g,228mg,,, 2 hrs 30 mins,,1 7-pound roast,0mg,13mg,5mg,
16,6578145,15 mins,,,, 2 hrs 25 mins,10 ,10,436,37g,16g,85mg,403mg,3g,,21g,291mg,4.9,19, 2 hrs,10 mins,1 prime rib roast,0mg,13mg,2mg,
17,6580742,15 mins,,,, 2 hrs 55 mins,8 ,8,551,37g,15g,142mg,273mg,4g,0g,45g,626mg,4.9,21, 2 hrs 20 mins,20 mins,8 servings,,25mg,4mg,1g
18,6738402,20 mins,,,, 4 hrs 20 mins,6 ,6,965,58g,23g,468mg,608mg,40g,2g,64g,939mg,4.6,79, 1 hr 30 mins, 2 hrs 30 mins,6 servings,6mg,186mg,9mg,6g
19,6594012,10 mins,,,, 1 hr 25 mins,4 ,,,,,,,,,,,4.3,29, 1 hr,15 mins,,,,,
20,6589508,5 mins,,,, 4 hrs 20 mins,24 ,24,225,15g,6g,60mg,144mg,1g,,21g,331mg,5.0,1, 2 hrs 45 mins, 1 hr 30 mins,,1mg,14mg,2mg,1g
21,6602327,20 mins,,,, 2 hrs 20 mins,5 ,5,614,42g,17g,163mg,982mg,4g,0g,51g,832mg,4.5,79, 2 hrs,,,2mg,43mg,6mg,2g
22,6598674,20 mins,,,, 4 hrs 50 mins,20 ,20,479,38g,14g,84mg,5318mg,4g,2g,29g,456mg,4.8,24, 3 hrs 25 mins, 1 hr 5 mins,,4mg,57mg,4mg,1g
23,6575150,30 mins,,,, 4 hrs 35 mins,20 ,20,1554,115g,47g,318mg,45272mg,42g,2g,82g,1394mg,4.7,94, 3 hrs 15 mins,50 mins,,,,,
24,6590971,10 mins,,,, 3 hrs 5 mins,8 ,8,355,18g,6g,99mg,1151mg,6g,2g,36g,565mg,4.7,111, 2 hrs 55 mins,,,2mg,35mg,5mg,0g
25,6587079,15 mins,,,, 4 hrs 15 mins,12 ,12,630,51g,20g,113mg,320mg,10g,0g,30g,429mg,4.6,81, 2 hrs, 2 hrs,10 to 12 servings,1mg,28mg,3mg,8g
26,6562145,10 mins,,,, 3 hrs 5 mins,8 ,8,697,52g,21g,127mg,2644mg,24g,6g,35g,783mg,4.5,25, 1 hr 55 mins, 1 hr,8 servings,8mg,87mg,6mg,14g
27,6592493,5 mins,,,, 10 hrs 5 mins,6 ,6,565,36g,15g,108mg,3753mg,4g,0g,30g,492mg,4.6,18, 10 hrs,,6 servings,1mg,92mg,3mg,
28,6581597,15 mins,,,, 4 hrs,14 ,14,447,39g,16g,85mg,338mg,2g,1g,22g,323mg,5.0,6, 3 hrs 30 mins,15 mins,14 servings,4mg,30mg,3mg,
