,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Freeze Time:,Yield:,Additional Time:
0,7565207,Baguette Pizza,5 mins,20 mins,25 mins,15 ,15,164,5g,2g,8mg,406mg,24g,1g,2g,7g,1mg,56mg,2mg,114mg,4.7,3,,,
1,7507354,Make These Crowd-Pleasing Air Fryer Stuffed Mini Peppers With Just 3 Ingredients,10 mins,5 mins,15 mins,6 ,6,144,10g,6g,39mg,635mg,6g,2g,4g,8g,97mg,27mg,1mg,287mg,,,,,
2,7497391,Sweet and Spicy Gochujang Chicken,10 mins,15 mins,25 mins,6 ,6,574,16g,4g,183mg,1640mg,66g,1g,17g,42g,4mg,50mg,4mg,541mg,4.3,7,,,
3,7497920,Fried Boursin Balls,10 mins,10 mins,35 mins,14 ,14,200,13g,4g,44mg,240mg,13g,1g,1g,7g,1mg,148mg,1mg,57mg,,,15 mins,70 bites,
4,7496389,Garlic Chili Oil Noodles,5 mins,5 mins,10 mins,1 ,1,616,37g,10g,0mg,2224mg,59g,4g,2g,12g,10mg,66mg,3mg,258mg,4.0,1,,,
5,6565970,Cinnamon Roll Monkey Bread,10 mins,20 mins,35 mins,8 ,8,246,11g,5g,15mg,337mg,35g,1g,13g,2g,0mg,18mg,1mg,29mg,5.0,1,,,5 mins
6,7099470,Air Fryer Tilapia,5 mins,6 mins,11 mins,4 ,4,217,5g,2g,71mg,504mg,2g,1g,,39g,,,,744mg,5.0,1,,,
7,6650746,Blender Hollandaise Sauce,5 mins,,5 mins,6 ,6,163,18g,11g,143mg,119mg,1g,,0g,2g,1mg,15mg,0mg,17mg,4.5,970,,,
8,6827681,Grain-Free Broccoli Fritters,15 mins,10 mins,25 mins,8 ,8,69,5g,1g,48mg,332mg,3g,1g,,3g,,,,102mg,,,,,
9,6826548,Skillet Zucchini and Squash,5 mins,15 mins,20 mins,4 ,4,84,7g,2g,8mg,8mg,6g,2g,,1g,,,,288mg,4.8,4,,,
10,6825902,Air Fryer Scrambled Eggs On The Go,4 mins,6 mins,10 mins,1 ,1,143,10g,3g,372mg,140mg,1g,,,13g,,,,134mg,4.5,2,,,
11,6738678,Basic Air Fryer Hot Dogs,5 mins,5 mins,10 mins,4 ,4,269,15g,6g,24mg,719mg,23g,1g,4g,9g,,66mg,2mg,111mg,4.7,106,,,
12,6736883,Edible Cookie Dough,15 mins,,15 mins,8 ,8,348,19g,11g,34mg,254mg,46g,1g,32g,3g,,45mg,1mg,94mg,4.4,305,,,
13,6651079,Simple Macaroni and Cheese,10 mins,15 mins,25 mins,4 ,4,630,34g,21g,100mg,777mg,55g,2g,8g,27g,0mg,568mg,3mg,380mg,4.5,"1,001",,4 servings,
