,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Cholesterol,Additional Time:,Yield:
0,6648166,Zesty Quinoa Salad,20 mins,15 mins,35 mins,6 ,6,270,12g,1g,675mg,34g,8g,2g,9g,15mg,51mg,2mg,403mg,4.8,"1,516",,,
1,6649399,Quinoa Black Bean Burgers,15 mins,20 mins,35 mins,5 ,5,245,11g,2g,680mg,29g,7g,1g,9g,17mg,69mg,3mg,383mg,4.7,"1,146",37mg,,
2,6738161,Quinoa and Black Beans,15 mins,35 mins,50 mins,10 ,10,153,2g,0g,517mg,28g,8g,2g,8g,5mg,41mg,2mg,333mg,4.7,"6,025",,,
3,6591848,Quinoa Chicken,10 mins,30 mins,40 mins,6 ,6,275,7g,1g,343mg,22g,3g,0g,30g,5mg,43mg,2mg,462mg,4.4,207,69mg,,
4,6736675,Quinoa Side Dish,15 mins,20 mins,35 mins,4 ,4,207,6g,2g,400mg,32g,4g,3g,7g,5mg,41mg,2mg,287mg,4.3,717,8mg,,
5,6648292,Turkey and Quinoa Meatloaf,20 mins, 1 hr 20 mins, 1 hr 50 mins,5 ,5,259,11g,3g,968mg,15g,1g,7g,25g,5mg,53mg,3mg,430mg,4.6,"2,422",121mg,10 mins,1 meatloaf
6,6649191,Best Greek Quinoa Salad,15 mins,15 mins, 1 hr 40 mins,10 ,10,227,11g,3g,666mg,26g,3g,1g,7g,10mg,84mg,2mg,283mg,4.8,154,12mg, 1 hr 10 mins,
7,6651146,One-Skillet Mexican Quinoa,15 mins,25 mins,40 mins,4 ,4,450,15g,2g,1099mg,67g,17g,5g,17g,20mg,82mg,5mg,1021mg,4.7,484,2mg,,
8,6588184,Quinoa with Veggies,10 mins,20 mins,30 mins,4 ,4,280,13g,2g,14mg,34g,5g,2g,7g,42mg,46mg,3mg,397mg,4.4,249,,,4 servings
9,6580438,Garlic Quinoa,5 mins,20 mins,30 mins,4 ,4,193,6g,2g,503mg,29g,3g,1g,7g,1mg,25mg,2mg,249mg,4.5,99,10mg,5 mins,4 servings
10,6649638,"Black Bean, Corn, and Quinoa Salad",15 mins,20 mins,40 mins,6 ,6,250,7g,1g,622mg,38g,8g,2g,10g,23mg,47mg,3mg,497mg,4.9,45,2mg,5 mins,6 servings
11,6586740,Quinoa Summer Salad with Feta,15 mins,15 mins, 1 hr,4 ,4,270,12g,5g,912mg,31g,4g,2g,10g,5mg,158mg,1mg,136mg,4.2,30,25mg,30 mins,4 servings
12,6650555,"Kale, Quinoa, and Avocado Salad with Lemon Dijon Vinaigrette",25 mins,15 mins,40 mins,4 ,4,343,20g,3g,552mg,35g,6g,1g,9g,157mg,188mg,8mg,856mg,4.8,590,2mg,,1 large salad
