,id_recipe,name,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:
0,6650694,Sarah's Rice Pilaf,10 mins,35 mins,5 mins,50 mins,4 ,4,244,7g,4g,18mg,524mg,40g,2g,2g,6g,2mg,20mg,2mg,100mg,4.7,"1,140",
1,6650778,Persian Rice,15 mins,55 mins,, 1 hr 10 mins,8 ,8,255,8g,3g,11mg,2223mg,42g,1g,0g,4g,6mg,20mg,1mg,124mg,4.7,94,
2,6568407,Mushroom Rice,5 mins,25 mins,,30 mins,4 ,4,212,3g,1g,8mg,553mg,42g,1g,1g,5g,2mg,13mg,1mg,151mg,4.5,617,
3,6736408,Classic Rice Pilaf,15 mins,45 mins,10 mins, 1 hr 10 mins,6 ,6,312,9g,3g,11mg,956mg,52g,1g,1g,5g,2mg,27mg,3mg,109mg,4.8,526,
4,6664514,"Baked ""Fried"" Rice",25 mins,50 mins,10 mins, 1 hr 25 mins,6 ,6,361,10g,2g,14mg,1351mg,57g,2g,3g,10g,21mg,36mg,3mg,258mg,4.6,67,
5,6590881,Black Rice,5 mins,35 mins,,40 mins,4 ,4,266,10g,4g,15mg,297mg,38g,1g,1g,5g,1mg,36mg,2mg,198mg,4.8,29,
6,6664373,Best Spanish Rice,10 mins,20 mins,,30 mins,5 ,5,286,6g,1g,2mg,697mg,51g,2g,2g,6g,1mg,31mg,2mg,218mg,4.6,"3,165",
7,6739658,Jasmine Rice,10 mins,50 mins,, 1 hr,4 ,4,325,7g,1g,,1mg,59g,1g,0g,5g,4mg,4mg,1mg,30mg,4.2,131,4 servings
8,6574857,Basmati Rice,,20 mins,,20 mins,4 ,4,175,1g,0g,,15mg,38g,1g,1g,4g,2mg,13mg,1mg,25mg,4.3,107,4 servings
9,6568799,Parmesan-Black Pepper Arborio Rice Pilaf,,,,,8 ,8,275,5g,3g,12mg,170mg,47g,1g,1g,8g,1mg,87mg,1mg,26mg,4.3,82,8 servings
10,6579305,Awesome Rice Pilaf,20 mins,25 mins,10 mins,55 mins,8 ,8,366,5g,3g,11mg,380mg,71g,5g,3g,8g,23mg,63mg,5mg,349mg,4.2,41,8 servings
11,6590986,Basmati Rice Pilaf,10 mins,30 mins,,40 mins,4 ,4,244,7g,3g,8mg,279mg,40g,1g,1g,4g,1mg,20mg,2mg,67mg,4.6,49,4 servings
12,6588957,Fresh Mushroom Rice Pilaf,10 mins,20 mins,,30 mins,4 ,4,150,3g,1g,5mg,185mg,28g,1g,2g,4g,9mg,15mg,2mg,245mg,4.7,68,4 servings
13,6568933,Indian Rice Pilaf,10 mins,20 mins,,30 mins,4 ,4,188,1g,0g,2mg,440mg,40g,1g,1g,4g,2mg,25mg,2mg,98mg,4.4,33,4 servings
14,6590743,Armenian Rice Pilaf,5 mins,30 mins,,35 mins,6 ,6,535,17g,10g,48mg,1976mg,85g,1g,0g,9g,,41mg,4mg,123mg,4.6,118,6 cups
15,6593621,Ann's Rice Pilaf,5 mins,30 mins,,35 mins,4 ,4,357,13g,8g,31mg,1123mg,54g,1g,1g,7g,0mg,29mg,2mg,102mg,4.8,89,4 servings
16,6578764,Guatemalan Rice,10 mins,15 mins,,25 mins,2 ,2,440,11g,2g,0mg,392mg,76g,2g,1g,7g,2mg,43mg,4mg,168mg,4.8,18,
17,6601073,Spanish Rice Original,20 mins,55 mins,, 1 hr 15 mins,6 ,6,373,19g,5g,19mg,1196mg,46g,5g,7g,9g,44mg,76mg,4mg,520mg,4.6,306,
18,6577329,Easy Pilaf,10 mins,45 mins,,55 mins,6 ,6,162,4g,3g,10mg,416mg,28g,1g,1g,3g,1mg,15mg,1mg,64mg,4.5,114,
19,6595915,Cranberry and Almond Rice Pilaf,15 mins,40 mins,,55 mins,8 ,8,213,4g,1g,2mg,285mg,39g,2g,6g,5g,2mg,27mg,2mg,102mg,4.7,58,
20,6588842,Sarah's Feta Rice Pilaf,10 mins,40 mins,,50 mins,4 ,4,295,11g,7g,35mg,740mg,41g,2g,3g,9g,4mg,120mg,2mg,153mg,4.9,60,
21,6572239,Tasty Spicy Rice Pilaf,15 mins,20 mins,,35 mins,4 ,4,287,7g,4g,16mg,937mg,50g,3g,4g,7g,20mg,45mg,4mg,241mg,4.7,29,
22,6592158,Middle Eastern Rice Pilaf with Pomegranate,10 mins,35 mins,,45 mins,4 ,4,376,13g,3g,8mg,351mg,59g,3g,16g,7g,9mg,49mg,3mg,385mg,5.0,4,
23,6585669,Lebanese Restaurant Rice Pilaf,10 mins,35 mins,10 mins,55 mins,12 ,12,203,13g,6g,20mg,641mg,18g,1g,0g,3g,,22mg,1mg,49mg,4.0,9,6 cups
24,6601780,Vegetable Rice Pilaf in the Rice Cooker,20 mins,50 mins,, 1 hr 10 mins,6 ,6,358,1g,0g,0mg,303mg,78g,2g,2g,8g,28mg,102mg,5mg,348mg,3.0,3,6 servings
25,6599025,Asparagus Cashew Rice Pilaf,25 mins,25 mins,,50 mins,8 ,8,249,10g,5g,15mg,173mg,35g,2g,2g,5g,2mg,21mg,2mg,131mg,4.6,651,8 servings
26,6571558,Easy Lemon Rice Pilaf,20 mins,28 mins,,48 mins,6 ,6,282,10g,6g,98mg,668mg,40g,1g,1g,6g,5mg,55mg,1mg,36mg,4.7,15,6 servings
27,6599194,Home-Style Brown Rice Pilaf,,,,,4 ,4,409,17g,7g,116mg,653mg,54g,7g,7g,13g,14mg,82mg,3mg,628mg,4.5,157,4 servings
28,6567102,Caribbean Coconut Rice,10 mins,25 mins,5 mins,40 mins,4 ,4,277,10g,7g,5mg,249mg,43g,2g,2g,4g,1mg,15mg,1mg,44mg,4.3,3,4 servings
29,6741833,Savory Rice and Quinoa Pilaf,10 mins,25 mins,,35 mins,6 ,6,386,3g,1g,,853mg,80g,4g,9g,10g,8mg,51mg,2mg,338mg,4.8,5,6 servings
30,6565891,Persian Tahdig Rice,15 mins,25 mins,,40 mins,6 ,6,276,7g,3g,10mg,415mg,49g,0g,1g,5g,0mg,6mg,0mg,3mg,5.0,1,6 cups
31,6590786,Rice Pilaf with Raisins and Veggies,15 mins,25 mins,,40 mins,6 ,6,268,5g,1g,3mg,702mg,51g,2g,9g,5g,5mg,45mg,3mg,270mg,4.6,16,6 servings
32,6585358,Apricot Almond Pilaf,15 mins,45 mins,, 1 hr,4 ,4,289,10g,4g,15mg,637mg,46g,2g,6g,6g,2mg,38mg,1mg,206mg,4.7,10,4 servings
33,6597820,Instant Pot® Pilau Rice,10 mins,20 mins,10 mins,40 mins,6 ,6,151,3g,1g,,321mg,29g,1g,1g,3g,3mg,20mg,1mg,51mg,4.5,2,3 cups
34,6585174,Cherry Wild Rice,10 mins, 1 hr 1 mins,, 1 hr 11 mins,4 ,4,295,4g,0g,,26mg,61g,3g,35g,6g,14mg,66mg,1mg,362mg,5.0,3,4 servings
35,6572353,Fonio Pilaf,15 mins,15 mins,,30 mins,2 ,2,789,28g,3g,,264mg,125g,6g,17g,13g,4mg,163mg,3mg,429mg,,,2 servings
36,6572508,Baked Vegetable Rice Pilaf,10 mins,35 mins,,45 mins,4 ,4,210,5g,3g,17mg,466mg,33g,1g,2g,7g,3mg,117mg,2mg,119mg,4.0,14,4 servings
37,6595175,Instant Pot® Wild Rice and Barley Pilaf,10 mins,40 mins,20 mins, 1 hr 10 mins,6 ,6,133,3g,0g,3mg,627mg,22g,4g,3g,5g,4mg,18mg,1mg,232mg,5.0,1,6 servings
38,6584705,Tuna with Rice Pilaf,15 mins, 1 hr,, 1 hr 15 mins,4 ,4,338,9g,1g,51mg,191mg,34g,3g,2g,30g,7mg,51mg,2mg,690mg,3.7,3,4 servings
39,6586862,Spanakorizo,10 mins,33 mins,,43 mins,4 ,4,231,4g,2g,8mg,218mg,42g,3g,2g,7g,27mg,155mg,5mg,574mg,4.0,2,4 servings
40,6589101,Basmati with Toasted Noodles,5 mins,20 mins,5 mins,30 mins,6 ,6,220,5g,1g,,199mg,39g,1g,1g,5g,3mg,12mg,1mg,42mg,4.0,5,3 1/2 cups
41,6573096,Three Pepper Pilaf,,,,,4 ,4,467,4g,1g,58mg,551mg,83g,5g,8g,23g,165mg,69mg,6mg,892mg,4.0,24,4 servings
42,6597484,Everybody Loves Pilaf,10 mins,47 mins,,57 mins,6 ,6,312,14g,6g,20mg,82mg,41g,1g,1g,7g,3mg,11mg,2mg,109mg,5.0,1,6 servings
43,6589038,"Couscous Pilaf with Almonds, Coconut, and Cranberries",5 mins,15 mins,4 mins,24 mins,4 ,4,271,6g,2g,,119mg,47g,5g,9g,8g,4mg,34mg,1mg,201mg,3.0,1,2 cups couscous
44,6571338,Apple Almond Rice,15 mins,33 mins,5 mins,53 mins,4 ,4,479,7g,1g,,98mg,99g,4g,39g,7g,5mg,57mg,2mg,455mg,,,4 servings
45,6569448,Delicious Almond Rice Pilaf,5 mins,30 mins,5 mins,40 mins,4 ,4,212,4g,1g,,223mg,39g,1g,1g,4g,1mg,29mg,2mg,99mg,4.0,5,4 servings
46,6563946,Mushroom and Rice Pilaf,10 mins,15 mins,5 mins,30 mins,3 ,3,241,4g,3g,10mg,827mg,41g,3g,4g,9g,4mg,33mg,4mg,279mg,5.0,1,3 servings
