,id_recipe,Prep Time:,Cook Time:,Marinate Time:,Stand Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:,Refrigerate Time:,Roast Time:,Additional Time:
0,7509604,20 mins, 5 hrs,1 day, 1 hr,1 day 6 hrs 20 mins,6 ,6,1002,74g,25g,272mg,1147mg,9g,2g,3g,72g,24mg,123mg,6mg,1168mg,4.5,15,,,,
1,6735743, 1 hr, 2 hrs 20 mins,,, 3 hrs 20 mins,12 ,12,779,44g,17g,296mg,784mg,9g,2g,,80g,,,,1206mg,5.0,1,1 whole turkey,,,
2,6950917,15 mins,,,20 mins,1 day 1 hr 55 mins,4 ,4,2152,196g,86g,429mg,3176mg,1g,0g,,90g,,,,1451mg,4.5,8,,1 day, 1 hr 20 mins,
3,6650289,10 mins, 2 hrs 20 mins,,, 4 hrs 30 mins,4 ,4,1757,161g,70g,362mg,343mg,1g,0g,,73g,0mg,51mg,8mg,1189mg,4.8,"2,429",4 servings,,, 2 hrs
4,6649199,20 mins, 1 hr 30 mins,,, 1 hr 50 mins,8 ,8,300,21g,6g,71mg,58mg,1g,0g,,23g,1mg,29mg,1mg,428mg,4.5,"1,377",1 pork loin,,,
5,6648238,20 mins, 8 hrs 20 mins,,, 8 hrs 40 mins,8 ,8,540,31g,12g,147mg,272mg,18g,3g,2g,46g,18mg,47mg,6mg,1173mg,4.6,"2,411",,,,
6,6664404,5 mins, 8 hrs,,, 8 hrs 5 mins,8 ,8,553,46g,21g,153mg,1053mg,3g,0g,,29g,0mg,31mg,4mg,467mg,4.7,431,,,,
7,6650326,5 mins, 2 hrs 30 mins,,, 2 hrs 35 mins,20 ,20,511,30g,11g,111mg,2172mg,19g,0g,19g,39g,2mg,26mg,2mg,546mg,4.8,930,,,,
8,6650194,15 mins, 1 hr 10 mins,,, 1 hr 25 mins,8 ,8,450,22g,8g,78mg,311mg,38g,5g,4g,25g,40mg,56mg,4mg,1151mg,4.4,241,,,,
9,6650688,5 mins, 1 hr,,, 1 hr 20 mins,6 ,6,484,32g,13g,138mg,271mg,0g,,0g,45g,0mg,12mg,3mg,763mg,4.6,498,,,,15 mins
10,6741038,5 mins, 3 hrs,,, 3 hrs 5 mins,6 ,6,227,13g,5g,71mg,59mg,,,,27g,,6mg,2mg,359mg,4.4,"2,414",,,,
11,6649130,5 mins, 8 hrs,,, 8 hrs 5 mins,24 ,24,360,20g,7g,74mg,1425mg,18g,,18g,26g,,24mg,1mg,367mg,4.6,"1,424",,,,
