,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Active Time:,Refrigerate Time:,Additional Time:
0,7556788,Copycat Chick-Fil-A Honey Mustard,5 mins,0 mins,5 mins,16 ,1 cup,16,34,0g,0g,0mg,108mg,8g,0g,8g,0g,0mg,6mg,0mg,17mg,,,,,
1,7556719,Copycat Wendy’s Ranch Sauce,5 mins,,5 mins,8 ,1 cup,8,114,12g,2g,11mg,137mg,1g,0g,1g,1g,0mg,19mg,0mg,26mg,,,,,
2,7104347,Green Goddess Salad,,,20 mins,4 ,,4,535,53g,8g,11mg,648mg,15g,7g,,5g,,,,677mg,,,20 mins,,
3,6827408,Homemade Red Wine Vinaigrette,5 mins,,4 days 5 mins,9 ,,9,175,19g,3g,,54mg,2g,0g,,0g,,,,23mg,5.0,1,,4 days,
4,6826896,Red Wine Vinaigrette,10 mins,,10 mins,8 ,,8,136,14g,2g,,47mg,3g,,,,,,,13mg,4.4,5,,,
5,6649504,Easy Coleslaw Dressing,5 mins,,5 mins,6 ,6 servings,6,94,7g,1g,5mg,236mg,9g,0g,6g,0g,2mg,4mg,0mg,9mg,4.8,"2,448",,,
6,6651043,Our Favorite Balsamic Vinaigrette,10 mins,,10 mins,8 ,,8,133,14g,2g,,38mg,3g,0g,2g,0g,1mg,6mg,0mg,29mg,4.8,525,,,
7,6663691,Absolutely the BEST Rich and Creamy Blue Cheese Dressing Ever!,10 mins,,10 mins,6 ,,6,93,9g,4g,14mg,251mg,1g,,1g,3g,0mg,80mg,0mg,53mg,4.7,555,,,
8,6650752,Pasta Salad with Homemade Dressing,30 mins,15 mins,45 mins,8 ,,8,443,32g,10g,39mg,836mg,25g,4g,3g,16g,35mg,242mg,3mg,259mg,4.7,276,,,
9,6591610,Dressing for Potato Salad,5 mins,,5 mins,8 ,1 cup,8,136,14g,4g,12mg,117mg,3g,0g,1g,1g,1mg,21mg,0mg,53mg,4.6,120,,,
10,6835628,Mandarin Orange Ginger Dressing,10 mins,,10 mins,4 ,,4,137,14g,2g,,290mg,4g,0g,,0g,,,,18mg,5.0,2,,,
11,6739047,Famous Japanese Restaurant-Style Salad Dressing,10 mins,,10 mins,14 ,1 3/4 cups,14,82,8g,1g,,314mg,3g,0g,3g,0g,1mg,3mg,0mg,28mg,4.3,385,,,
12,6665078,Homemade Ranch Dressing,5 mins,,35 mins,12 ,1 1/2 cups,12,153,17g,3g,11mg,134mg,1g,,0g,1g,0mg,14mg,0mg,20mg,4.6,"1,521",,,30 mins
13,6663924,The Best Lemon Vinaigrette,10 mins,,10 mins,8 ,1 cup,8,128,14g,2g,,214mg,2g,0g,0g,0g,2mg,4mg,0mg,18mg,4.7,225,,,
14,6664907,Absolutely Fabulous Greek Salad Dressing,10 mins,,10 mins,120 ,1 gallon,120,104,11g,2g,,13mg,2g,0g,0g,0g,0mg,9mg,0mg,36mg,4.7,"2,084",,,
15,6593502,Easy Strawberry Vinaigrette,10 mins,,10 mins,7 ,,7,65,4g,1g,,71mg,8g,1g,,0g,13mg,6mg,0mg,55mg,4.8,149,,,
16,6564983,Poppyseed Dressing,15 mins,,15 mins,14 ,1 3/4 cups,14,161,16g,3g,,166mg,5g,0g,5g,0g,,9mg,0mg,5mg,4.7,194,,,
17,6570266,Honey-Lime Vinaigrette,5 mins,,5 mins,8 ,,8,143,14g,2g,,136mg,6g,0g,5g,0g,2mg,3mg,0mg,16mg,4.8,90,,,
18,6598204,Maple-Balsamic Vinaigrette,10 mins,,10 mins,14 ,1 3/4 cups,14,165,16g,2g,,21mg,5g,,5g,,,6mg,0mg,18mg,4.6,145,,,
19,6589464,Hot Bacon Dressing,20 mins,15 mins,35 mins,8 ,1 1/2 cups,8,278,13g,4g,19mg,379mg,39g,,38g,3g,,2mg,0mg,59mg,4.4,255,,,
20,6566191,Homemade Catalina Dressing,10 mins,,10 mins,8 ,,8,185,14g,1g,,86mg,16g,0g,14g,0g,1mg,3mg,0mg,58mg,4.5,49,,,
21,6664781,Asian Ginger Dressing,5 mins,5 mins,10 mins,20 ,,20,86,8g,1g,,361mg,3g,0g,3g,1g,0mg,3mg,0mg,20mg,4.4,489,,,
22,6739051,Orange Vinaigrette,5 mins,,5 mins,4 ,,4,27,,,,96mg,7g,0g,6g,0g,8mg,5mg,0mg,40mg,4.4,157,,,
23,6565897,Miso Sesame Dressing,5 mins,,5 mins,4 ,,4,69,4g,1g,,243mg,8g,1g,6g,1g,1mg,12mg,0mg,29mg,4.9,62,,,
24,6598945,Fresh Raspberry Balsamic Vinaigrette,10 mins,,20 mins,16 ,,16,47,3g,1g,,75mg,4g,1g,4g,0g,2mg,5mg,0mg,20mg,4.5,105,,,10 mins
25,6739492,Honey Mustard Dressing,5 mins,,5 mins,3 ,,3,157,15g,2g,7mg,163mg,7g,0g,6g,0g,1mg,5mg,0mg,16mg,4.8,"1,430",,,
26,6566914,Creamy Balsamic Vinaigrette,10 mins,,10 mins,6 ,3 /4 cup,6,119,12g,2g,3mg,89mg,3g,,2g,0g,0mg,6mg,0mg,12mg,4.6,81,,,
27,6563960,White Balsamic Vinaigrette,5 mins,,5 mins,8 ,,8,147,14g,2g,,112mg,6g,,5g,0g,0mg,3mg,1mg,11mg,4.6,32,,,
28,6650308,Cilantro Lime Salad Dressing,10 mins,,10 mins,16 ,2 cups,16,87,7g,1g,,74mg,6g,0g,6g,0g,2mg,2mg,0mg,15mg,4.7,580,,,
29,6585749,Mustard Vinaigrette,10 mins,,10 mins,12 ,,12,168,18g,3g,,421mg,2g,,1g,,0mg,2mg,0mg,4mg,4.6,223,,,
30,6576619,Quick Thousand Island Dressing,10 mins,,10 mins,12 ,1 1/2 cups,12,144,15g,2g,7mg,207mg,4g,0g,3g,0g,1mg,3mg,0mg,30mg,4.8,20,,,
31,6564733,Strawberry and Spinach Salad with Honey Balsamic Vinaigrette,15 mins,,15 mins,4 ,,4,491,44g,9g,23mg,282mg,19g,4g,14g,9g,49mg,219mg,3mg,617mg,4.8,143,,,
32,6564705,Easiest Salad Dressing,5 mins,,5 mins,4 ,,4,198,22g,3g,10mg,302mg,1g,0g,0g,0g,0mg,3mg,0mg,7mg,4.3,25,,,
33,6650814,Chef John's Green Goddess Dressing,15 mins,,15 mins,16 ,,16,124,13g,3g,10mg,104mg,1g,0g,0g,1g,3mg,19mg,0mg,36mg,4.9,57,,,
34,6584243,Easy Sesame Dressing,5 mins,,5 mins,10 ,,10,170,17g,2g,,307mg,6g,0g,,0g,,10mg,0mg,11mg,4.3,23,,,
35,6566871,Homemade Ranch Seasoning for Dip or Dressing,5 mins,,5 mins,12 ,1 tablespoon,12,1,,,,77mg,0g,0g,,0g,0mg,3mg,0mg,7mg,4.3,195,,,
36,6598681,Creamy Coleslaw Dressing,10 mins,,10 mins,12 ,12 servings,12,127,11g,2g,5mg,179mg,7g,,6g,1g,2mg,20mg,0mg,29mg,4.8,25,,,
37,6593193,Japanese-Style Ginger Salad Dressing,5 mins,,5 mins,12 ,1 1/2 cups,12,170,18g,3g,,312mg,3g,1g,1g,1g,7mg,8mg,0mg,34mg,4.2,167,,,
38,6580490,Korean-Style Salad Dressing,5 mins,,5 mins,8 ,,8,66,5g,1g,,266mg,4g,1g,,1g,1mg,3mg,0mg,36mg,4.7,7,,,
39,6737074,Bill's Blue Cheese Dressing,5 mins,,1 day 5 mins,20 ,2 1/2 cups,20,145,15g,4g,14mg,219mg,1g,,,2g,0mg,42mg,0mg,32mg,4.7,837,,,1 day
40,6561992,No-Salt Vinaigrette,5 mins,,20 mins,8 ,,8,87,9g,1g,,0mg,2g,0g,,0g,1mg,11mg,0mg,29mg,4.6,49,,,15 mins
41,6603912,Creamy Italian Dressing,5 mins,,5 mins,12 ,1 1/2 cups,12,139,15g,2g,7mg,153mg,2g,0g,2g,0g,0mg,4mg,0mg,14mg,4.7,413,,,
42,6593790,Susan's Vinaigrette Coleslaw,15 mins,, 2 hrs 15 mins,6 ,,6,109,7g,1g,,125mg,11g,2g,9g,1g,18mg,28mg,0mg,152mg,4.6,106,,, 2 hrs
43,6599032,French Salad Dressing,10 mins,,10 mins,26 ,26 servings,26,144,13g,2g,,148mg,8g,0g,8g,0g,2mg,3mg,0mg,42mg,4.6,75,,,
44,6602323,Thousand Island Dressing,5 mins,,5 mins,6 ,,6,336,29g,4g,14mg,762mg,21g,1g,17g,1g,4mg,8mg,1mg,93mg,4.7,293,,,
45,6561335,Honey Dijon Balsamic Vinaigrette,5 mins,,5 mins,8 ,1 cup,8,138,14g,2g,,97mg,5g,,4g,,0mg,3mg,0mg,10mg,4.7,182,,,
46,6565008,Creamy Lemon Dressing,5 mins,,20 mins,8 ,,8,156,17g,4g,6mg,112mg,2g,0g,0g,1g,7mg,21mg,0mg,40mg,4.6,34,,,15 mins
47,6603455,Simple Coleslaw Dressing,5 mins,, 1 hr 5 mins,6 ,,6,359,34g,5g,17mg,370mg,13g,0g,12g,1g,0mg,8mg,0mg,22mg,4.8,25,,, 1 hr
48,6736768,Raspberry Vinaigrette Dressing,5 mins,,5 mins,12 ,1 1/2 cups,12,118,9g,1g,,22mg,10g,,8g,,0mg,2mg,0mg,10mg,4.7,345,,,
49,6566444,White Wine Vinaigrette,5 mins,,5 mins,6 ,6 servings,6,117,12g,2g,,195mg,3g,0g,2g,0g,1mg,3mg,0mg,6mg,4.4,82,,,
50,6561588,Best Baconless Spinach Salad Dressing,10 mins,5 mins,15 mins,12 ,1 cup,12,106,9g,1g,,183mg,6g,,6g,0g,0mg,1mg,2mg,10mg,4.9,18,,,
51,6588865,Copycat Zesty Apple Cider Vinaigrette,10 mins,,10 mins,10 ,10 servings,10,152,14g,2g,,235mg,8g,0g,8g,0g,1mg,5mg,0mg,19mg,5.0,8,,,
52,6567801,Homemade Buttermilk Ranch Dressing,10 mins,,30 mins,16 ,2 cups,16,106,11g,2g,6mg,240mg,1g,,1g,1g,0mg,21mg,0mg,31mg,4.8,11,,,20 mins
53,6737951,Lemon Poppyseed Dressing,10 mins,,10 mins,12 ,12 servings,12,139,13g,1g,,108mg,7g,0g,6g,0g,5mg,11mg,0mg,19mg,4.8,45,,,
54,6565848,Pear Vinaigrette,10 mins,,10 mins,12 ,1 1/2 cups,12,101,9g,1g,,60mg,4g,1g,2g,0g,1mg,5mg,1mg,31mg,4.7,58,,,
55,6564736,Sweet and Sour Dressing,10 mins,,10 mins,8 ,8 servings,8,309,27g,4g,,291mg,17g,0g,17g,0g,0mg,4mg,0mg,6mg,4.6,49,,,
56,6565527,Pasta Salad Dressing,10 mins,,10 mins,8 ,8 serving,8,224,24g,4g,5mg,247mg,2g,0g,1g,0g,0mg,5mg,0mg,15mg,4.3,11,,,
57,6564449,Roquefort Dressing,5 mins,,5 mins,16 ,1 quart,16,261,26g,6g,24mg,458mg,3g,,2g,4g,1mg,125mg,0mg,70mg,4.6,22,,,
58,6593762,Ruby French Dressing,10 mins,, 3 hrs 10 mins,24 ,2 cups,24,104,9g,1g,,172mg,6g,0g,6g,0g,1mg,3mg,0mg,31mg,4.7,57,,, 3 hrs
59,6570074,"Orange, Walnut, Gorgonzola and Mixed Greens Salad with Fresh Citrus Vinaigrette",15 mins,5 mins,20 mins,6 ,6 servings,6,368,30g,5g,8mg,128mg,23g,3g,17g,5g,51mg,98mg,1mg,316mg,4.7,251,,,
60,6650555,"Kale, Quinoa, and Avocado Salad with Lemon Dijon Vinaigrette",25 mins,15 mins,40 mins,4 ,1 large salad,4,343,20g,3g,2mg,552mg,35g,6g,1g,9g,157mg,188mg,8mg,856mg,4.8,590,,,
61,6588005,Russian Salad Dressing,10 mins,,10 mins,8 ,8 servings,8,110,11g,2g,5mg,189mg,3g,0g,3g,0g,2mg,3mg,0mg,44mg,4.4,45,,,
62,6565288,Lebanese Lemon Salad Dressing,20 mins,,20 mins,6 ,1 cup,6,176,19g,3g,,321mg,2g,0g,1g,0g,10mg,5mg,0mg,33mg,4.5,116,,,
